,Rank,City,Gasoline (1 liter)
0,,Albania,1.29
1,,Algeria,0.20
2,,Argentina,1.31
3,,Armenia,0.86
4,,Australia,0.95
5,,Austria,1.15
6,,Azerbaijan,0.61
7,,Bahrain,0.24
8,,Bangladesh,1.16
9,,Belarus,0.67
10,,Belgium,1.33
11,,Bosnia And Herzegovina,1.02
12,,Brazil,0.97
13,,Bulgaria,1.13
14,,Cambodia,0.94
15,,Canada,0.80
16,,Chile,1.14
17,,China,0.98
18,,Colombia,0.78
19,,Costa Rica,1.10
20,,Croatia,1.27
21,,Cyprus,1.24
22,,Czech Republic,1.15
23,,Denmark,1.43
24,,Dominican Republic,1.16
25,,Ecuador,0.46
26,,Egypt,0.32
27,,Estonia,1.06
28,,Finland,1.47
29,,France,1.30
30,,Georgia,0.78
31,,Germany,1.38
32,,Greece,1.47
33,,Guatemala,0.77
34,,Hong Kong,1.75
35,,Hungary,1.15
36,,Iceland,1.38
37,,India,0.98
38,,Indonesia,0.56
39,,Iran,0.28
40,,Iraq,0.57
41,,Ireland,1.36
42,,Israel,1.50
43,,Italy,1.51
44,,Jamaica,0.94
45,,Japan,1.03
46,,Jordan,0.87
47,,Kazakhstan,0.57
48,,Kenya,0.90
49,,Kuwait,0.19
50,,Latvia,1.12
51,,Lebanon,0.78
52,,Lithuania,1.13
53,,Luxembourg,1.13
54,,Macedonia,1.06
55,,Malaysia,0.50
56,,Malta,1.39
57,,Mauritius,1.21
58,,Mexico,0.82
59,,Moldova,0.90
60,,Montenegro,1.20
61,,Morocco,0.89
62,,Nepal,0.99
63,,Netherlands,1.57
64,,New Zealand,1.27
65,,Nigeria,0.42
66,,Norway,1.65
67,,Oman,0.29
68,,Pakistan,0.69
69,,Panama,0.70
70,,Peru,1.07
71,,Philippines,0.86
72,,Poland,1.14
73,,Portugal,1.43
74,,Puerto Rico,0.63
75,,Qatar,0.25
76,,Romania,1.23
77,,Russia,0.61
78,,Saudi Arabia,0.12
79,,Serbia,1.19
80,,Singapore,1.43
81,,Slovakia,1.32
82,,Slovenia,1.29
83,,South Africa,0.95
84,,South Korea,1.24
85,,Spain,1.22
86,,Sri Lanka,0.82
87,,Sweden,1.45
88,,Switzerland,1.47
89,,Taiwan,0.80
90,,Tanzania,0.90
91,,Thailand,0.81
92,,Trinidad And Tobago,0.41
93,,Tunisia,0.76
94,,Turkey,1.57
95,,Ukraine,0.92
96,,United Arab Emirates,0.48
97,,United Kingdom,1.57
98,,United States,0.59
99,,Uruguay,1.46
100,,Venezuela,0.01
101,,Vietnam,0.82
102,,Zimbabwe,1.29
