,Rank,City,Gasoline (1 liter)
0,,Algeria,0.22
1,,Argentina,1.00
2,,Australia,1.13
3,,Austria,1.41
4,,Azerbaijan,0.62
5,,Bahrain,0.20
6,,Bangladesh,0.99
7,,Belarus,0.73
8,,Belgium,1.58
9,,Bosnia And Herzegovina,1.24
10,,Brazil,1.03
11,,Bulgaria,1.34
12,,Canada,0.97
13,,Chile,1.24
14,,China,0.99
15,,Colombia,0.93
16,,Costa Rica,1.14
17,,Croatia,1.41
18,,Cyprus,1.40
19,,Czech Republic,1.43
20,,Denmark,1.62
21,,Dominican Republic,1.28
22,,Ecuador,0.30
23,,Egypt,0.21
24,,Estonia,1.31
25,,Ethiopia,0.84
26,,Finland,1.67
27,,France,1.54
28,,Georgia,0.97
29,,Germany,1.59
30,,Ghana,0.93
31,,Greece,1.70
32,,Hong Kong,1.67
33,,Hungary,1.41
34,,Iceland,1.56
35,,India,1.02
36,,Indonesia,0.52
37,,Iran,0.25
38,,Iraq,0.34
39,,Ireland,1.60
40,,Israel,1.60
41,,Italy,1.77
42,,Jamaica,1.02
43,,Japan,1.16
44,,Jordan,1.01
45,,Kazakhstan,0.63
46,,Kenya,1.02
47,,Kuwait,0.17
48,,Latvia,1.36
49,,Lebanon,0.91
50,,Lithuania,1.43
51,,Luxembourg,1.28
52,,Macedonia,1.33
53,,Malaysia,0.52
54,,Malta,1.45
55,,Mexico,0.70
56,,Moldova,1.06
57,,Morocco,1.00
58,,Nepal,1.07
59,,Netherlands,1.75
60,,New Zealand,1.34
61,,Nigeria,0.48
62,,Norway,1.94
63,,Oman,0.24
64,,Pakistan,0.84
65,,Panama,0.86
66,,Peru,1.20
67,,Philippines,0.96
68,,Poland,1.31
69,,Portugal,1.64
70,,Puerto Rico,0.74
71,,Qatar,0.21
72,,Romania,1.36
73,,Russia,0.76
74,,Saudi Arabia,0.10
75,,Serbia,1.36
76,,Singapore,1.28
77,,Slovakia,1.49
78,,Slovenia,1.51
79,,South Africa,0.99
80,,South Korea,1.36
81,,Spain,1.45
82,,Sri Lanka,0.99
83,,Sweden,1.68
84,,Switzerland,1.47
85,,Syria,0.66
86,,Taiwan,0.91
87,,Tanzania,1.01
88,,Thailand,1.01
89,,Trinidad And Tobago,0.55
90,,Tunisia,0.73
91,,Turkey,2.00
92,,Ukraine,1.08
93,,United Arab Emirates,0.37
94,,United Kingdom,1.61
95,,United States,0.74
96,,Uruguay,1.50
97,,Venezuela,0.05
98,,Vietnam,0.90
