,Rank,City,Gasoline (1 liter)
0,,Albania,1.35
1,,Algeria,0.28
2,,Argentina,0.83
3,,Armenia,0.73
4,,Australia,0.83
5,,Austria,1.16
6,,Azerbaijan,0.51
7,,Bahrain,0.43
8,,Bangladesh,0.97
9,,Belarus,0.67
10,,Belgium,1.38
11,,Bolivia,0.49
12,,Bosnia And Herzegovina,1.07
13,,Brazil,0.75
14,,Bulgaria,1.06
15,,Cambodia,0.75
16,,Canada,0.72
17,,Chile,0.94
18,,China,0.85
19,,Colombia,0.60
20,,Costa Rica,0.95
21,,Croatia,1.29
22,,Cyprus,1.12
23,,Czech Republic,1.13
24,,Denmark,1.41
25,,Dominican Republic,0.95
26,,Ecuador,0.55
27,,Egypt,0.44
28,,Estonia,1.32
29,,Finland,1.51
30,,France,1.45
31,,Georgia,0.72
32,,Germany,1.33
33,,Ghana,0.79
34,,Greece,1.52
35,,Guatemala,0.73
36,,Hong Kong,2.02
37,,Hungary,1.11
38,,Iceland,1.47
39,,India,0.94
40,,Indonesia,0.56
41,,Iran,0.42
42,,Iraq,0.44
43,,Ireland,1.36
44,,Israel,1.50
45,,Italy,1.50
46,,Japan,1.16
47,,Jordan,1.03
48,,Kazakhstan,0.37
49,,Kenya,0.91
50,,Kosovo (Disputed Territory),0.99
51,,Kuwait,0.28
52,,Latvia,1.22
53,,Lebanon,0.84
54,,Lithuania,1.12
55,,Luxembourg,1.12
56,,Malaysia,0.40
57,,Malta,1.42
58,,Mauritius,1.04
59,,Mexico,0.80
60,,Moldova,0.82
61,,Montenegro,1.23
62,,Morocco,0.91
63,,Nepal,0.79
64,,Netherlands,1.63
65,,New Zealand,1.17
66,,Nigeria,0.35
67,,North Macedonia,1.04
68,,Norway,1.47
69,,Oman,0.50
70,,Pakistan,0.60
71,,Panama,0.68
72,,Peru,0.95
73,,Philippines,0.86
74,,Poland,1.08
75,,Portugal,1.51
76,,Puerto Rico,0.62
77,,Qatar,0.41
78,,Romania,1.06
79,,Russia,0.60
80,,Saudi Arabia,0.36
81,,Serbia,1.30
82,,Singapore,1.40
83,,Slovakia,1.24
84,,Slovenia,1.19
85,,South Africa,0.80
86,,South Korea,1.08
87,,Spain,1.25
88,,Sri Lanka,0.69
89,,Sweden,1.43
90,,Switzerland,1.46
91,,Syria,0.82
92,,Taiwan,0.80
93,,Tanzania,0.83
94,,Thailand,0.75
95,,Trinidad And Tobago,0.73
96,,Tunisia,0.63
97,,Turkey,0.89
98,,Uganda,0.92
99,,Ukraine,0.89
100,,United Arab Emirates,0.51
101,,United Kingdom,1.36
102,,United States,0.58
103,,Uruguay,1.15
104,,Uzbekistan,0.45
105,,Venezuela,0.42
106,,Vietnam,0.70
