,Rank,City,Gasoline (1 liter)
0,,Argentina,0.81
1,,Australia,1.04
2,,Austria,1.37
3,,Bangladesh,0.76
4,,Belgium,1.56
5,,Bosnia And Herzegovina,1.14
6,,Brazil,1.20
7,,Bulgaria,1.24
8,,Canada,0.90
9,,Chile,1.10
10,,China,0.79
11,,Colombia,0.77
12,,Costa Rica,0.93
13,,Croatia,1.31
14,,Cyprus,1.24
15,,Czech Republic,1.41
16,,Denmark,1.58
17,,Ecuador,0.25
18,,Egypt,0.23
19,,Estonia,1.23
20,,Finland,1.56
21,,France,1.46
22,,Germany,1.52
23,,Greece,1.67
24,,Hong Kong,1.49
25,,Hungary,1.43
26,,Iceland,1.52
27,,India,1.04
28,,Indonesia,0.40
29,,Iran,0.46
30,,Ireland,1.48
31,,Israel,1.47
32,,Italy,1.54
33,,Japan,1.23
34,,Jordan,0.69
35,,Latvia,1.30
36,,Lebanon,0.83
37,,Lithuania,1.33
38,,Macedonia,1.28
39,,Malaysia,0.48
40,,Malta,1.40
41,,Mexico,0.58
42,,Morocco,1.10
43,,Netherlands,1.63
44,,New Zealand,1.19
45,,Norway,1.79
46,,Pakistan,0.70
47,,Panama,0.68
48,,Peru,0.85
49,,Philippines,0.83
50,,Poland,1.33
51,,Portugal,1.55
52,,Puerto Rico,0.63
53,,Qatar,0.19
54,,Romania,1.29
55,,Russia,0.67
56,,Saudi Arabia,0.09
57,,Serbia,1.29
58,,Singapore,1.14
59,,Slovakia,1.45
60,,Slovenia,1.31
61,,South Africa,0.99
62,,South Korea,1.24
63,,Spain,1.35
64,,Sri Lanka,0.78
65,,Sweden,1.55
66,,Switzerland,1.44
67,,Syria,0.66
68,,Taiwan,0.77
69,,Thailand,0.86
70,,Tunisia,0.73
71,,Turkey,1.83
72,,Ukraine,0.89
73,,United Arab Emirates,0.34
74,,United Kingdom,1.52
75,,United States,0.67
76,,Uruguay,1.17
77,,Venezuela,0.10
78,,Vietnam,0.69
