,Rank,City,Gasoline (1 liter)
0,,Albania,1.25
1,,Algeria,0.26
2,,Argentina,1.15
3,,Armenia,0.72
4,,Australia,0.89
5,,Austria,1.16
6,,Azerbaijan,0.44
7,,Bahrain,0.35
8,,Bangladesh,1.01
9,,Belarus,0.56
10,,Belgium,1.35
11,,Bolivia,0.48
12,,Bosnia And Herzegovina,0.96
13,,Brazil,1.03
14,,Bulgaria,1.05
15,,Cambodia,0.82
16,,Canada,0.76
17,,Chile,1.01
18,,China,0.86
19,,Colombia,0.68
20,,Costa Rica,0.97
21,,Croatia,1.28
22,,Cyprus,1.22
23,,Czech Republic,1.17
24,,Denmark,1.38
25,,Dominican Republic,1.05
26,,Ecuador,0.40
27,,Egypt,0.23
28,,Estonia,1.20
29,,Finland,1.48
30,,France,1.32
31,,Georgia,0.82
32,,Germany,1.33
33,,Greece,1.51
34,,Guatemala,0.75
35,,Hong Kong,1.75
36,,Hungary,1.16
37,,Iceland,1.78
38,,India,1.00
39,,Indonesia,0.54
40,,Iran,0.27
41,,Iraq,0.44
42,,Ireland,1.34
43,,Israel,1.53
44,,Italy,1.48
45,,Jamaica,0.98
46,,Japan,1.05
47,,Jordan,0.94
48,,Kazakhstan,0.42
49,,Kenya,0.85
50,,Kosovo (Disputed Territory),1.01
51,,Kuwait,0.27
52,,Latvia,1.13
53,,Lebanon,0.76
54,,Lithuania,1.11
55,,Luxembourg,1.10
56,,Macedonia,1.03
57,,Malaysia,0.47
58,,Malta,1.31
59,,Mauritius,1.13
60,,Mexico,0.82
61,,Moldova,0.85
62,,Montenegro,1.24
63,,Morocco,0.88
64,,Nepal,0.87
65,,Netherlands,1.55
66,,New Zealand,1.26
67,,Nigeria,0.41
68,,Norway,1.58
69,,Oman,0.44
70,,Pakistan,0.62
71,,Panama,0.66
72,,Peru,0.95
73,,Philippines,0.80
74,,Poland,1.11
75,,Portugal,1.47
76,,Puerto Rico,0.63
77,,Qatar,0.40
78,,Romania,1.10
79,,Russia,0.61
80,,Saudi Arabia,0.19
81,,Serbia,1.21
82,,Singapore,1.35
83,,Slovakia,1.28
84,,Slovenia,1.28
85,,South Africa,0.92
86,,South Korea,1.20
87,,Spain,1.22
88,,Sri Lanka,0.71
89,,Sweden,1.44
90,,Switzerland,1.42
91,,Taiwan,0.79
92,,Tanzania,0.83
93,,Thailand,0.75
94,,Trinidad And Tobago,0.50
95,,Tunisia,0.62
96,,Turkey,1.32
97,,Ukraine,0.87
98,,United Arab Emirates,0.46
99,,United Kingdom,1.35
100,,United States,0.58
101,,Uruguay,1.44
102,,Venezuela,0.00
103,,Vietnam,0.71
104,,Zimbabwe,1.23
