,Rank,City,Gasoline (1 liter)
0,,Albania,1.16
1,,Algeria,0.23
2,,Argentina,1.10
3,,Armenia,0.75
4,,Australia,0.80
5,,Austria,1.10
6,,Azerbaijan,0.42
7,,Bahrain,0.36
8,,Bangladesh,1.04
9,,Belarus,0.53
10,,Belgium,1.25
11,,Bolivia,0.48
12,,Bosnia And Herzegovina,0.91
13,,Brazil,0.94
14,,Bulgaria,1.01
15,,Cambodia,0.78
16,,Canada,0.71
17,,Chile,0.95
18,,China,0.83
19,,Colombia,0.63
20,,Costa Rica,0.93
21,,Croatia,1.20
22,,Cyprus,1.15
23,,Czech Republic,1.08
24,,Denmark,1.35
25,,Dominican Republic,1.00
26,,Ecuador,0.41
27,,Egypt,0.28
28,,El Salvador,0.67
29,,Estonia,1.05
30,,Finland,1.41
31,,France,1.24
32,,Georgia,0.70
33,,Germany,1.27
34,,Greece,1.39
35,,Guatemala,0.65
36,,Hong Kong,1.67
37,,Hungary,1.07
38,,Iceland,1.38
39,,India,0.88
40,,Indonesia,0.50
41,,Iran,0.28
42,,Iraq,0.45
43,,Ireland,1.26
44,,Israel,1.36
45,,Italy,1.40
46,,Jamaica,0.85
47,,Japan,0.98
48,,Jordan,0.74
49,,Kazakhstan,0.34
50,,Kenya,0.82
51,,Kosovo (Disputed Territory),0.95
52,,Kuwait,0.26
53,,Latvia,1.07
54,,Lebanon,0.66
55,,Lithuania,1.05
56,,Luxembourg,1.06
57,,Macedonia,1.01
58,,Malaysia,0.40
59,,Malta,1.30
60,,Mauritius,1.01
61,,Mexico,0.66
62,,Moldova,0.75
63,,Montenegro,1.07
64,,Morocco,0.85
65,,Nepal,0.83
66,,Netherlands,1.49
67,,New Zealand,1.13
68,,Nigeria,0.64
69,,Norway,1.52
70,,Oman,0.38
71,,Pakistan,0.59
72,,Panama,0.65
73,,Peru,0.89
74,,Philippines,0.73
75,,Poland,1.00
76,,Portugal,1.39
77,,Puerto Rico,0.54
78,,Qatar,0.32
79,,Romania,1.10
80,,Russia,0.50
81,,Saudi Arabia,0.18
82,,Serbia,1.10
83,,Singapore,1.34
84,,Slovakia,1.20
85,,Slovenia,1.20
86,,South Africa,0.75
87,,South Korea,1.12
88,,Spain,1.12
89,,Sri Lanka,0.73
90,,Sweden,1.42
91,,Switzerland,1.31
92,,Taiwan,0.68
93,,Thailand,0.66
94,,Trinidad And Tobago,0.51
95,,Tunisia,0.68
96,,Turkey,1.40
97,,Ukraine,0.78
98,,United Arab Emirates,0.41
99,,United Kingdom,1.40
100,,United States,0.51
101,,Uruguay,1.25
102,,Venezuela,0.01
103,,Vietnam,0.63
104,,Zimbabwe,1.14
