,Rank,City,Gasoline (1 liter)
0,,Albania,1.40
1,,Algeria,0.28
2,,Argentina,1.10
3,,Armenia,0.81
4,,Australia,0.96
5,,Austria,1.24
6,,Azerbaijan,0.47
7,,Bahamas,1.08
8,,Bahrain,0.42
9,,Bangladesh,0.92
10,,Belarus,0.58
11,,Belgium,1.43
12,,Belize,1.47
13,,Bolivia,0.47
14,,Bosnia And Herzegovina,1.14
15,,Brazil,1.00
16,,Bulgaria,1.13
17,,Cambodia,0.85
18,,Canada,0.86
19,,Chile,1.09
20,,China,0.96
21,,Colombia,0.71
22,,Costa Rica,0.96
23,,Croatia,1.36
24,,Cyprus,1.29
25,,Czech Republic,1.24
26,,Denmark,1.43
27,,Dominican Republic,1.08
28,,Ecuador,0.40
29,,Egypt,0.29
30,,El Salvador,0.79
31,,Estonia,1.34
32,,Fiji,0.89
33,,Finland,1.52
34,,France,1.48
35,,Georgia,0.83
36,,Germany,1.42
37,,Ghana,0.90
38,,Greece,1.58
39,,Guatemala,0.78
40,,Hong Kong,1.72
41,,Hungary,1.21
42,,Iceland,1.78
43,,India,0.99
44,,Indonesia,0.53
45,,Iran,0.21
46,,Iraq,0.47
47,,Ireland,1.42
48,,Israel,1.54
49,,Italy,1.56
50,,Jamaica,1.05
51,,Japan,1.13
52,,Jordan,1.05
53,,Kazakhstan,0.44
54,,Kenya,0.91
55,,Kosovo (Disputed Territory),1.17
56,,Kuwait,0.28
57,,Latvia,1.28
58,,Lebanon,0.81
59,,Lithuania,1.22
60,,Luxembourg,1.20
61,,Macedonia,1.11
62,,Malaysia,0.48
63,,Malta,1.33
64,,Mauritius,1.23
65,,Mexico,0.82
66,,Moldova,0.94
67,,Montenegro,1.32
68,,Morocco,0.94
69,,Namibia,0.88
70,,Nepal,0.85
71,,Netherlands,1.62
72,,New Zealand,1.32
73,,Nigeria,0.35
74,,Norway,1.63
75,,Oman,0.50
76,,Pakistan,0.67
77,,Panama,0.71
78,,Peru,0.96
79,,Philippines,0.85
80,,Poland,1.15
81,,Portugal,1.55
82,,Puerto Rico,0.67
83,,Qatar,0.46
84,,Romania,1.22
85,,Russia,0.59
86,,Saudi Arabia,0.33
87,,Serbia,1.31
88,,Singapore,1.46
89,,Slovakia,1.36
90,,Slovenia,1.32
91,,South Africa,1.03
92,,South Korea,1.28
93,,Spain,1.29
94,,Sri Lanka,0.74
95,,Sweden,1.47
96,,Switzerland,1.43
97,,Taiwan,0.85
98,,Tanzania,0.85
99,,Thailand,0.81
100,,Trinidad And Tobago,0.55
101,,Tunisia,0.63
102,,Turkey,1.17
103,,Uganda,0.92
104,,Ukraine,1.00
105,,United Arab Emirates,0.54
106,,United Kingdom,1.43
107,,United States,0.65
108,,Uruguay,1.45
109,,Uzbekistan,0.44
110,,Venezuela,0.00
111,,Vietnam,0.76
112,,Zimbabwe,1.21
