,Rank,City,Gasoline (1 liter)
0,,Albania,1.34
1,,Algeria,0.20
2,,Argentina,1.15
3,,Armenia,0.86
4,,Australia,1.06
5,,Austria,1.36
6,,Azerbaijan,0.66
7,,Bahrain,0.19
8,,Bangladesh,0.91
9,,Belarus,0.73
10,,Belgium,1.51
11,,Bosnia And Herzegovina,1.21
12,,Brazil,0.98
13,,Bulgaria,1.32
14,,Cambodia,0.92
15,,Canada,0.89
16,,Chile,1.20
17,,China,0.92
18,,Colombia,0.90
19,,Costa Rica,1.07
20,,Croatia,1.39
21,,Cyprus,1.42
22,,Czech Republic,1.33
23,,Denmark,1.58
24,,Dominican Republic,1.13
25,,Ecuador,0.38
26,,Egypt,0.25
27,,Estonia,1.30
28,,Finland,1.62
29,,France,1.47
30,,Georgia,0.87
31,,Germany,1.53
32,,Greece,1.65
33,,Hong Kong,1.61
34,,Hungary,1.36
35,,Iceland,1.61
36,,India,0.95
37,,Indonesia,0.49
38,,Iran,0.22
39,,Iraq,0.35
40,,Ireland,1.52
41,,Israel,1.59
42,,Italy,1.71
43,,Jamaica,0.88
44,,Japan,1.14
45,,Jordan,0.94
46,,Kazakhstan,0.54
47,,Kenya,0.97
48,,Kuwait,0.17
49,,Latvia,1.29
50,,Lebanon,0.92
51,,Lithuania,1.30
52,,Luxembourg,1.27
53,,Macedonia,1.28
54,,Malaysia,0.50
55,,Malta,1.43
56,,Mexico,0.74
57,,Morocco,1.01
58,,Nepal,1.02
59,,Netherlands,1.74
60,,New Zealand,1.33
61,,Nigeria,0.44
62,,Norway,1.84
63,,Oman,0.23
64,,Pakistan,0.79
65,,Panama,0.75
66,,Peru,1.09
67,,Philippines,0.85
68,,Poland,1.29
69,,Portugal,1.56
70,,Puerto Rico,0.69
71,,Qatar,0.20
72,,Romania,1.40
73,,Russia,0.71
74,,Saudi Arabia,0.10
75,,Serbia,1.33
76,,Singapore,1.29
77,,Slovakia,1.47
78,,Slovenia,1.47
79,,South Africa,0.97
80,,South Korea,1.37
81,,Spain,1.40
82,,Sri Lanka,0.93
83,,Sweden,1.60
84,,Switzerland,1.44
85,,Taiwan,0.82
86,,Thailand,0.87
87,,Trinidad And Tobago,0.37
88,,Tunisia,0.71
89,,Turkey,1.75
90,,Ukraine,0.93
91,,United Arab Emirates,0.35
92,,United Kingdom,1.61
93,,United States,0.69
94,,Uruguay,1.32
95,,Venezuela,0.09
96,,Vietnam,0.85
