,Rank,City,Gasoline (1 liter)
0,,Albania,1.45
1,,Algeria,0.28
2,,Argentina,0.92
3,,Armenia,0.79
4,,Australia,0.91
5,,Austria,1.24
6,,Azerbaijan,0.49
7,,Bahrain,0.44
8,,Bangladesh,0.96
9,,Belarus,0.70
10,,Belgium,1.43
11,,Bolivia,0.51
12,,Bosnia And Herzegovina,1.18
13,,Brazil,0.99
14,,Brunei,0.34
15,,Bulgaria,1.14
16,,Cambodia,0.86
17,,Canada,0.81
18,,Chile,1.04
19,,China,0.92
20,,Colombia,0.67
21,,Costa Rica,0.98
22,,Croatia,1.34
23,,Cyprus,1.19
24,,Czech Republic,1.25
25,,Denmark,1.48
26,,Dominican Republic,1.04
27,,Ecuador,0.58
28,,Egypt,0.40
29,,El Salvador,0.83
30,,Estonia,1.34
31,,Ethiopia,0.70
32,,Finland,1.54
33,,France,1.50
34,,Georgia,0.81
35,,Germany,1.43
36,,Greece,1.57
37,,Guatemala,0.80
38,,Honduras,0.93
39,,Hong Kong,1.92
40,,Hungary,1.20
41,,Iceland,1.62
42,,India,0.98
43,,Indonesia,0.56
44,,Iran,0.21
45,,Iraq,0.48
46,,Ireland,1.42
47,,Israel,1.55
48,,Italy,1.56
49,,Jamaica,1.04
50,,Japan,1.16
51,,Jordan,1.05
52,,Kazakhstan,0.38
53,,Kenya,0.98
54,,Kosovo (Disputed Territory),1.15
55,,Kuwait,0.28
56,,Latvia,1.25
57,,Lebanon,0.80
58,,Lithuania,1.19
59,,Luxembourg,1.18
60,,Macedonia,1.10
61,,Malaysia,0.45
62,,Malta,1.41
63,,Mauritius,1.15
64,,Mexico,0.92
65,,Moldova,0.93
66,,Montenegro,1.33
67,,Morocco,0.94
68,,Namibia,0.85
69,,Nepal,0.87
70,,Netherlands,1.64
71,,New Zealand,1.28
72,,Nigeria,0.36
73,,Norway,1.65
74,,Oman,0.50
75,,Pakistan,0.67
76,,Palestinian Territory,1.62
77,,Panama,0.69
78,,Peru,1.01
79,,Philippines,0.88
80,,Poland,1.18
81,,Portugal,1.53
82,,Puerto Rico,0.67
83,,Qatar,0.46
84,,Romania,1.20
85,,Russia,0.62
86,,Saudi Arabia,0.37
87,,Serbia,1.34
88,,Singapore,1.47
89,,Slovakia,1.33
90,,Slovenia,1.30
91,,South Africa,0.97
92,,South Korea,1.14
93,,Spain,1.31
94,,Sri Lanka,0.72
95,,Sweden,1.47
96,,Switzerland,1.48
97,,Taiwan,0.84
98,,Thailand,0.85
99,,Trinidad And Tobago,0.66
100,,Tunisia,0.60
101,,Turkey,1.04
102,,Uganda,0.98
103,,Ukraine,0.99
104,,United Arab Emirates,0.54
105,,United Kingdom,1.44
106,,United States,0.66
107,,Uruguay,1.38
108,,Uzbekistan,0.47
109,,Venezuela,0.00
110,,Vietnam,0.78
