,Rank,City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
115,,"Hyderabad, India",129.90,74.08,62.71,69.55,24.06,7.07,40.36,80.55,53.70
116,,"Ankara, Turkey",129.54,62.00,57.15,70.21,37.33,7.00,35.45,73.46,58.49
117,,"Brasilia, Brazil",129.05,48.71,35.48,41.23,56.06,16.05,30.31,34.66,81.71
118,,"Milan, Italy",128.81,76.86,52.81,70.96,76.81,17.87,37.62,63.64,75.50
119,,"Belgrade, Serbia",127.65,40.31,62.88,55.58,36.28,21.24,33.42,58.53,84.16
120,,"Paris, France",127.47,95.40,47.25,72.71,83.20,16.82,41.62,68.46,73.00
121,,"Istanbul, Turkey",126.44,55.18,49.80,69.69,41.56,11.82,55.67,65.82,86.87
122,,"Athens, Greece",125.52,51.30,49.28,49.76,58.60,10.31,36.59,67.46,91.50
123,,"Tbilisi, Georgia",124.39,32.22,80.04,52.58,27.99,12.54,39.10,78.98,81.57
124,,"Yerevan, Armenia",124.18,33.28,70.82,51.67,34.60,14.67,28.89,60.15,61.87
125,,"Santiago, Chile",123.96,56.32,47.45,62.80,53.60,11.25,36.65,77.72,89.39
126,,"Sarajevo, Bosnia And Herzegovina",123.68,48.90,51.50,63.02,37.63,12.97,27.89,70.45,69.15
127,,"Bucharest, Romania",122.98,53.59,71.08,51.55,38.54,10.98,37.82,71.28,61.02
128,,"London, United Kingdom",120.87,83.32,53.83,69.26,81.63,27.80,47.34,55.72,75.72
129,,"Minsk, Belarus",119.58,36.44,78.65,58.88,34.73,18.80,27.96,42.27,20.07
130,,"Coimbatore, India",117.59,51.61,63.25,72.73,23.46,9.81,51.69,63.89,38.34
131,,"Bangalore, India",117.34,96.06,52.74,68.47,27.06,8.09,52.09,82.98,40.05
132,,"Amman, Jordan",116.82,41.69,55.20,71.59,61.80,8.40,50.32,81.57,88.42
133,,"Jeddah (Jiddah), Saudi Arabia",114.29,111.99,71.22,56.72,50.07,3.47,43.92,78.94,-1.45
134,,"Rome, Italy",113.99,72.41,44.53,58.35,74.06,23.04,46.70,66.63,90.08
