,Rank,City,Gasoline (1 liter)
0,,"Istanbul, Turkey",2.39
1,,"Helsinki, Finland",1.84
2,,"Cairo, Egypt",0.34
3,,"Rio de Janeiro, Brazil",1.48
4,,"Mexico City, Mexico",0.69
5,,"Rome, Italy",1.73
6,,"Sarajevo, Bosnia And Herzegovina",1.25
7,,"Kiev (Kyiv), Ukraine",0.95
8,,"Calgary, Canada",0.92
9,,"Edmonton, Canada",0.90
10,,"Amsterdam, Netherlands",2.02
11,,"Belgrade, Serbia",1.46
12,,"Halifax, Canada",1.00
13,,"Paris, France",1.65
14,,"Ottawa, Canada",1.00
15,,"Thessaloniki, Greece",1.82
16,,"Sofia, Bulgaria",1.79
17,,"Atlanta, GA, United States",0.73
18,,"Berlin, Germany",-
19,,"Beirut, Lebanon",1.00
20,,"Singapore, Singapore",1.31
21,,"Austin, TX, United States",0.71
22,,"Toronto, Canada",0.99
23,,"Auckland, New Zealand",1.23
24,,"Vancouver, Canada",1.12
25,,"Tokyo, Japan",1.36
26,,"Christchurch, New Zealand",1.25
27,,"Winnipeg, Canada",0.94
28,,"Boston, MA, United States",0.74
29,,"Charlotte, NC, United States",0.98
30,,"Chicago, IL, United States",0.79
31,,"Oslo, Norway",1.92
32,,"Bratislava, Slovakia",1.82
33,,"Dallas, TX, United States",0.74
34,,"Denver, CO, United States",0.72
35,,"Zagreb, Croatia",1.54
36,,"Detroit, MI, United States",0.77
37,,"Hamburg, Germany",1.54
38,,"Fort Worth, TX, United States",0.71
39,,"Wellington, New Zealand",1.22
40,,"Tehran, Iran",0.40
41,,"Santiago, Chile",1.20
42,,"Honolulu, HI, United States",0.96
43,,"Houston, TX, United States",0.73
44,,"Dubai, United Arab Emirates",0.46
45,,"Indianapolis, IN, United States",0.74
46,,"Bogota, Colombia",1.13
47,,"Muscat, Oman",-
48,,"Munich, Germany",-
49,,"Leeds, United Kingdom",1.69
50,,"Kansas City, MO, United States",0.72
51,,"Las Vegas, NV, United States",0.69
52,,"London, United Kingdom",1.72
53,,"Los Angeles, CA, United States",0.86
54,,"Panama City, Panama",-
55,,"Manchester, United Kingdom",1.70
56,,"Seoul, South Korea",-
57,,"Prague, Czech Republic",1.62
58,,"Miami, FL, United States",0.80
59,,"Kuala Lumpur, Malaysia",0.57
60,,"New York, NY, United States",0.85
61,,"Copenhagen, Denmark",1.98
62,,"Ljubljana, Slovenia",1.51
63,,"Islamabad, Pakistan",0.88
64,,"Chandigarh, India",1.11
65,,"Athens, Greece",1.83
66,,"Philadelphia, PA, United States",0.74
67,,"Hong Kong, Hong Kong",1.92
68,,"Portland, OR, United States",-
69,,"Lisbon, Portugal",1.66
70,,"Beijing, China",1.00
71,,"Richmond, VA, United States",0.85
72,,"Cape Town, South Africa",1.08
73,,"Budapest, Hungary",1.55
74,,"Saint Louis, MO, United States",0.77
75,,"Vilnius, Lithuania",1.44
76,,"Barcelona, Spain",1.46
77,,"San Francisco, CA, United States",0.88
78,,"San Jose, CA, United States",0.81
79,,"Bucharest, Romania",1.42
80,,"Ahmedabad, India",1.14
81,,"Tampa, FL, United States",0.75
82,,"Cluj-Napoca, Romania",1.36
83,,"Hartford, CT, United States",0.78
84,,"Madrid, Spain",1.48
85,,"Tallinn, Estonia",1.42
86,,"Bangalore, India",1.27
87,,"Washington, DC, United States",0.76
88,,"Chennai, India",1.25
89,,"Doha, Qatar",0.20
90,,"Delhi, India",1.14
91,,"Gurgaon, India",1.14
92,,"Vienna, Austria",1.93
93,,"Hyderabad, India",1.21
94,,"Taipei, Taiwan",1.00
95,,"San Juan, Puerto Rico",0.70
96,,"Kolkata, India",1.20
97,,"Belo Horizonte, Brazil",1.29
98,,"Bangkok, Thailand",0.99
99,,"Shanghai, China",0.94
100,,"Mumbai, India",1.19
101,,"Amman, Jordan",0.93
102,,"Pune, India",1.16
103,,"Geneva, Switzerland",1.24
104,,"Stockholm, Sweden",1.66
105,,"Buenos Aires, Argentina",1.01
106,,"Curitiba, Brazil",1.37
107,,"Cebu, Philippines",1.06
108,,"Montreal, Canada",1.09
109,,"Sao Paulo, Brazil",1.43
110,,"Dublin, Ireland",1.69
111,,"Moscow, Russia",0.84
112,,"Zurich, Switzerland",1.46
113,,"Manila, Philippines",0.92
114,,"Brisbane, Australia",1.07
115,,"Jakarta, Indonesia",0.60
116,,"Canberra, Australia",1.13
117,,"Brussels, Belgium",-
118,,"Melbourne, Australia",1.08
119,,"Perth, Australia",1.05
120,,"Sydney, Australia",1.09
