,Rank,City,Apartment (3 bedrooms) Outside of Centre
0,,"Istanbul, Turkey",815.29
1,,"Helsinki, Finland",1845.68
2,,"Cairo, Egypt",900.00
3,,"Rio de Janeiro, Brazil",934.07
4,,"Mexico City, Mexico",541.80
5,,"Rome, Italy",-
6,,"Sarajevo, Bosnia And Herzegovina",370.37
7,,"Kiev (Kyiv), Ukraine",780.00
8,,"Calgary, Canada",1346.15
9,,"Edmonton, Canada",1468.75
10,,"Amsterdam, Netherlands",1851.85
11,,"Belgrade, Serbia",516.46
12,,"Halifax, Canada",865.38
13,,"Paris, France",2432.38
14,,"Ottawa, Canada",1153.85
15,,"Thessaloniki, Greece",581.48
16,,"Sofia, Bulgaria",659.99
17,,"Atlanta, GA, United States",1092.25
18,,"Berlin, Germany",1419.75
19,,"Beirut, Lebanon",1213.33
20,,"Singapore, Singapore",2345.57
21,,"Austin, TX, United States",1550.00
22,,"Toronto, Canada",1677.88
23,,"Auckland, New Zealand",989.64
24,,"Vancouver, Canada",1899.04
25,,"Tokyo, Japan",3048.91
26,,"Christchurch, New Zealand",925.17
27,,"Winnipeg, Canada",1118.59
28,,"Boston, MA, United States",2082.00
29,,"Charlotte, NC, United States",850.00
30,,"Chicago, IL, United States",1512.50
31,,"Oslo, Norway",1298.30
32,,"Bratislava, Slovakia",709.88
33,,"Dallas, TX, United States",1250.00
34,,"Denver, CO, United States",1600.00
35,,"Zagreb, Croatia",549.38
36,,"Detroit, MI, United States",1000.00
37,,"Hamburg, Germany",1018.52
38,,"Fort Worth, TX, United States",1523.33
39,,"Wellington, New Zealand",1187.07
40,,"Tehran, Iran",1020.00
41,,"Santiago, Chile",600.00
42,,"Honolulu, HI, United States",1999.33
43,,"Houston, TX, United States",1102.50
44,,"Dubai, United Arab Emirates",2576.30
45,,"Indianapolis, IN, United States",1450.00
46,,"Bogota, Colombia",550.00
47,,"Muscat, Oman",1405.00
48,,"Munich, Germany",1604.94
49,,"Leeds, United Kingdom",1095.56
50,,"Kansas City, MO, United States",2600.00
51,,"Las Vegas, NV, United States",1490.00
52,,"London, United Kingdom",2285.71
53,,"Los Angeles, CA, United States",1750.00
54,,"Panama City, Panama",1100.00
55,,"Manchester, United Kingdom",1449.28
56,,"Seoul, South Korea",1249.90
57,,"Prague, Czech Republic",1074.78
58,,"Miami, FL, United States",2990.00
59,,"Kuala Lumpur, Malaysia",486.42
60,,"New York, NY, United States",2985.00
61,,"Copenhagen, Denmark",1476.44
62,,"Ljubljana, Slovenia",934.57
63,,"Islamabad, Pakistan",212.50
64,,"Chandigarh, India",258.84
65,,"Athens, Greece",740.74
66,,"Philadelphia, PA, United States",2025.00
67,,"Hong Kong, Hong Kong",2441.88
68,,"Portland, OR, United States",-
69,,"Lisbon, Portugal",1020.16
70,,"Beijing, China",733.14
71,,"Richmond, VA, United States",1250.00
72,,"Cape Town, South Africa",668.41
73,,"Budapest, Hungary",533.86
74,,"Saint Louis, MO, United States",1011.00
75,,"Vilnius, Lithuania",364.71
76,,"Barcelona, Spain",1141.98
77,,"San Francisco, CA, United States",2800.00
78,,"San Jose, CA, United States",1883.33
79,,"Bucharest, Romania",404.44
80,,"Ahmedabad, India",172.56
81,,"Tampa, FL, United States",1156.67
82,,"Cluj-Napoca, Romania",281.10
83,,"Hartford, CT, United States",2050.00
84,,"Madrid, Spain",1316.87
85,,"Tallinn, Estonia",315.61
86,,"Bangalore, India",324.00
87,,"Washington, DC, United States",2036.00
88,,"Chennai, India",280.41
89,,"Doha, Qatar",1604.94
90,,"Delhi, India",425.17
91,,"Gurgaon, India",394.74
92,,"Vienna, Austria",2119.34
93,,"Hyderabad, India",231.42
94,,"Taipei, Taiwan",674.27
95,,"San Juan, Puerto Rico",1520.00
96,,"Kolkata, India",474.55
97,,"Belo Horizonte, Brazil",494.51
98,,"Bangkok, Thailand",813.03
99,,"Shanghai, China",1173.02
100,,"Mumbai, India",710.02
101,,"Amman, Jordan",305.00
102,,"Pune, India",295.94
103,,"Geneva, Switzerland",1896.55
104,,"Stockholm, Sweden",1033.67
105,,"Buenos Aires, Argentina",486.67
106,,"Curitiba, Brazil",761.90
107,,"Cebu, Philippines",190.58
108,,"Montreal, Canada",1057.69
109,,"Sao Paulo, Brazil",1222.53
110,,"Dublin, Ireland",1296.30
111,,"Moscow, Russia",2130.46
112,,"Zurich, Switzerland",2153.45
113,,"Manila, Philippines",379.52
114,,"Brisbane, Australia",915.25
115,,"Jakarta, Indonesia",619.25
116,,"Canberra, Australia",658.19
117,,"Brussels, Belgium",-
118,,"Melbourne, Australia",1678.67
119,,"Perth, Australia",932.20
120,,"Sydney, Australia",2055.12
