,Rank,City,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)"
0,,"Istanbul, Turkey",-
1,,"Helsinki, Finland",29.51
2,,"Cairo, Egypt",47.00
3,,"Rio de Janeiro, Brazil",-
4,,"Mexico City, Mexico",47.92
5,,"Rome, Italy",30.86
6,,"Sarajevo, Bosnia And Herzegovina",21.40
7,,"Kiev (Kyiv), Ukraine",12.00
8,,"Calgary, Canada",44.47
9,,"Edmonton, Canada",43.27
10,,"Amsterdam, Netherlands",18.52
11,,"Belgrade, Serbia",16.87
12,,"Halifax, Canada",48.08
13,,"Paris, France",37.04
14,,"Ottawa, Canada",36.86
15,,"Thessaloniki, Greece",20.99
16,,"Sofia, Bulgaria",11.32
17,,"Atlanta, GA, United States",38.00
18,,"Berlin, Germany",30.86
19,,"Beirut, Lebanon",56.67
20,,"Singapore, Singapore",30.48
21,,"Austin, TX, United States",15.00
22,,"Toronto, Canada",38.46
23,,"Auckland, New Zealand",33.19
24,,"Vancouver, Canada",39.26
25,,"Tokyo, Japan",26.69
26,,"Christchurch, New Zealand",48.47
27,,"Winnipeg, Canada",33.97
28,,"Boston, MA, United States",51.67
29,,"Charlotte, NC, United States",31.00
30,,"Chicago, IL, United States",28.00
31,,"Oslo, Norway",44.19
32,,"Bratislava, Slovakia",18.52
33,,"Dallas, TX, United States",40.00
34,,"Denver, CO, United States",41.67
35,,"Zagreb, Croatia",24.69
36,,"Detroit, MI, United States",35.00
37,,"Hamburg, Germany",35.80
38,,"Fort Worth, TX, United States",54.00
39,,"Wellington, New Zealand",40.82
40,,"Tehran, Iran",23.00
41,,"Santiago, Chile",53.76
42,,"Honolulu, HI, United States",22.00
43,,"Houston, TX, United States",55.00
44,,"Dubai, United Arab Emirates",95.35
45,,"Indianapolis, IN, United States",33.32
46,,"Bogota, Colombia",-
47,,"Muscat, Oman",-
48,,"Munich, Germany",-
49,,"Leeds, United Kingdom",14.56
50,,"Kansas City, MO, United States",38.33
51,,"Las Vegas, NV, United States",21.67
52,,"London, United Kingdom",21.45
53,,"Los Angeles, CA, United States",35.75
54,,"Panama City, Panama",-
55,,"Manchester, United Kingdom",14.49
56,,"Seoul, South Korea",-
57,,"Prague, Czech Republic",-
58,,"Miami, FL, United States",75.00
59,,"Kuala Lumpur, Malaysia",38.34
60,,"New York, NY, United States",42.99
61,,"Copenhagen, Denmark",30.13
62,,"Ljubljana, Slovenia",32.10
63,,"Islamabad, Pakistan",17.17
64,,"Chandigarh, India",23.01
65,,"Athens, Greece",24.69
66,,"Philadelphia, PA, United States",40.00
67,,"Hong Kong, Hong Kong",20.18
68,,"Portland, OR, United States",50.00
69,,"Lisbon, Portugal",19.75
70,,"Beijing, China",17.60
71,,"Richmond, VA, United States",34.00
72,,"Cape Town, South Africa",68.76
73,,"Budapest, Hungary",29.13
74,,"Saint Louis, MO, United States",49.67
75,,"Vilnius, Lithuania",16.33
76,,"Barcelona, Spain",24.69
77,,"San Francisco, CA, United States",41.67
78,,"San Jose, CA, United States",45.75
79,,"Bucharest, Romania",9.12
80,,"Ahmedabad, India",14.55
81,,"Tampa, FL, United States",75.00
82,,"Cluj-Napoca, Romania",7.52
83,,"Hartford, CT, United States",20.00
84,,"Madrid, Spain",49.38
85,,"Tallinn, Estonia",17.75
86,,"Bangalore, India",17.93
87,,"Washington, DC, United States",35.00
88,,"Chennai, India",23.11
89,,"Doha, Qatar",82.28
90,,"Delhi, India",20.22
91,,"Gurgaon, India",21.21
92,,"Vienna, Austria",43.21
93,,"Hyderabad, India",23.73
94,,"Taipei, Taiwan",21.00
95,,"San Juan, Puerto Rico",74.00
96,,"Kolkata, India",28.03
97,,"Belo Horizonte, Brazil",-
98,,"Bangkok, Thailand",17.41
99,,"Shanghai, China",21.02
100,,"Mumbai, India",20.13
101,,"Amman, Jordan",63.18
102,,"Pune, India",20.49
103,,"Geneva, Switzerland",38.79
104,,"Stockholm, Sweden",27.66
105,,"Buenos Aires, Argentina",34.59
106,,"Curitiba, Brazil",24.73
107,,"Cebu, Philippines",21.57
108,,"Montreal, Canada",34.66
109,,"Sao Paulo, Brazil",43.96
110,,"Dublin, Ireland",33.95
111,,"Moscow, Russia",16.27
112,,"Zurich, Switzerland",56.90
113,,"Manila, Philippines",31.75
114,,"Brisbane, Australia",46.61
115,,"Jakarta, Indonesia",24.56
116,,"Canberra, Australia",42.37
117,,"Brussels, Belgium",-
118,,"Melbourne, Australia",29.08
119,,"Perth, Australia",56.21
120,,"Sydney, Australia",42.36
