,Rank,City,1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans)
0,,"Istanbul, Turkey",0.48
1,,"Helsinki, Finland",0.08
2,,"Cairo, Egypt",0.05
3,,"Rio de Janeiro, Brazil",0.25
4,,"Mexico City, Mexico",0.31
5,,"Rome, Italy",0.12
6,,"Sarajevo, Bosnia And Herzegovina",0.22
7,,"Kiev (Kyiv), Ukraine",0.09
8,,"Calgary, Canada",0.42
9,,"Edmonton, Canada",0.58
10,,"Amsterdam, Netherlands",-
11,,"Belgrade, Serbia",0.12
12,,"Halifax, Canada",0.29
13,,"Paris, France",0.31
14,,"Ottawa, Canada",0.29
15,,"Thessaloniki, Greece",0.43
16,,"Sofia, Bulgaria",0.20
17,,"Atlanta, GA, United States",0.75
18,,"Berlin, Germany",0.15
19,,"Beirut, Lebanon",0.28
20,,"Singapore, Singapore",0.21
21,,"Austin, TX, United States",0.31
22,,"Toronto, Canada",0.72
23,,"Auckland, New Zealand",0.43
24,,"Vancouver, Canada",0.48
25,,"Tokyo, Japan",0.71
26,,"Christchurch, New Zealand",0.37
27,,"Winnipeg, Canada",0.56
28,,"Boston, MA, United States",0.28
29,,"Charlotte, NC, United States",0.35
30,,"Chicago, IL, United States",0.57
31,,"Oslo, Norway",0.15
32,,"Bratislava, Slovakia",0.28
33,,"Dallas, TX, United States",0.67
34,,"Denver, CO, United States",1.00
35,,"Zagreb, Croatia",0.22
36,,"Detroit, MI, United States",0.35
37,,"Hamburg, Germany",0.12
38,,"Fort Worth, TX, United States",0.20
39,,"Wellington, New Zealand",0.34
40,,"Tehran, Iran",0.09
41,,"Santiago, Chile",-
42,,"Honolulu, HI, United States",0.25
43,,"Houston, TX, United States",0.63
44,,"Dubai, United Arab Emirates",0.09
45,,"Indianapolis, IN, United States",0.20
46,,"Bogota, Colombia",-
47,,"Muscat, Oman",-
48,,"Munich, Germany",-
49,,"Leeds, United Kingdom",0.11
50,,"Kansas City, MO, United States",0.30
51,,"Las Vegas, NV, United States",0.13
52,,"London, United Kingdom",0.14
53,,"Los Angeles, CA, United States",0.52
54,,"Panama City, Panama",0.25
55,,"Manchester, United Kingdom",0.14
56,,"Seoul, South Korea",-
57,,"Prague, Czech Republic",-
58,,"Miami, FL, United States",0.85
59,,"Kuala Lumpur, Malaysia",0.16
60,,"New York, NY, United States",0.50
61,,"Copenhagen, Denmark",0.13
62,,"Ljubljana, Slovenia",0.25
63,,"Islamabad, Pakistan",0.04
64,,"Chandigarh, India",0.04
65,,"Athens, Greece",0.37
66,,"Philadelphia, PA, United States",-
67,,"Hong Kong, Hong Kong",0.10
68,,"Portland, OR, United States",-
69,,"Lisbon, Portugal",0.25
70,,"Beijing, China",0.15
71,,"Richmond, VA, United States",0.19
72,,"Cape Town, South Africa",0.31
73,,"Budapest, Hungary",0.26
74,,"Saint Louis, MO, United States",0.42
75,,"Vilnius, Lithuania",0.09
76,,"Barcelona, Spain",0.37
77,,"San Francisco, CA, United States",0.48
78,,"San Jose, CA, United States",0.67
79,,"Bucharest, Romania",0.12
80,,"Ahmedabad, India",0.02
81,,"Tampa, FL, United States",1.50
82,,"Cluj-Napoca, Romania",0.19
83,,"Hartford, CT, United States",0.10
84,,"Madrid, Spain",0.43
85,,"Tallinn, Estonia",0.09
86,,"Bangalore, India",0.02
87,,"Washington, DC, United States",0.25
88,,"Chennai, India",0.02
89,,"Doha, Qatar",0.13
90,,"Delhi, India",0.03
91,,"Gurgaon, India",0.02
92,,"Vienna, Austria",0.31
93,,"Hyderabad, India",0.03
94,,"Taipei, Taiwan",0.19
95,,"San Juan, Puerto Rico",0.86
96,,"Kolkata, India",0.03
97,,"Belo Horizonte, Brazil",-
98,,"Bangkok, Thailand",0.04
99,,"Shanghai, China",0.08
100,,"Mumbai, India",0.03
101,,"Amman, Jordan",0.19
102,,"Pune, India",0.02
103,,"Geneva, Switzerland",0.75
104,,"Stockholm, Sweden",0.14
105,,"Buenos Aires, Argentina",0.31
106,,"Curitiba, Brazil",0.67
107,,"Cebu, Philippines",0.27
108,,"Montreal, Canada",0.20
109,,"Sao Paulo, Brazil",0.92
110,,"Dublin, Ireland",0.31
111,,"Moscow, Russia",0.09
112,,"Zurich, Switzerland",0.52
113,,"Manila, Philippines",0.15
114,,"Brisbane, Australia",0.42
115,,"Jakarta, Indonesia",0.13
116,,"Canberra, Australia",0.16
117,,"Brussels, Belgium",-
118,,"Melbourne, Australia",0.29
119,,"Perth, Australia",0.71
120,,"Sydney, Australia",0.39
