,Rank,City,Imported Beer (0.33 liter bottle)
0,,"Istanbul, Turkey",4.46
1,,"Helsinki, Finland",-
2,,"Cairo, Egypt",3.10
3,,"Rio de Janeiro, Brazil",3.27
4,,"Mexico City, Mexico",1.93
5,,"Rome, Italy",6.17
6,,"Sarajevo, Bosnia And Herzegovina",1.85
7,,"Kiev (Kyiv), Ukraine",3.25
8,,"Calgary, Canada",6.73
9,,"Edmonton, Canada",5.89
10,,"Amsterdam, Netherlands",3.70
11,,"Belgrade, Serbia",2.47
12,,"Halifax, Canada",5.77
13,,"Paris, France",4.94
14,,"Ottawa, Canada",3.85
15,,"Thessaloniki, Greece",4.94
16,,"Sofia, Bulgaria",1.89
17,,"Atlanta, GA, United States",5.00
18,,"Berlin, Germany",3.40
19,,"Beirut, Lebanon",2.00
20,,"Singapore, Singapore",6.43
21,,"Austin, TX, United States",5.25
22,,"Toronto, Canada",6.49
23,,"Auckland, New Zealand",5.10
24,,"Vancouver, Canada",5.29
25,,"Tokyo, Japan",6.58
26,,"Christchurch, New Zealand",4.42
27,,"Winnipeg, Canada",5.05
28,,"Boston, MA, United States",5.50
29,,"Charlotte, NC, United States",4.00
30,,"Chicago, IL, United States",6.00
31,,"Oslo, Norway",7.73
32,,"Bratislava, Slovakia",0.74
33,,"Dallas, TX, United States",3.25
34,,"Denver, CO, United States",4.00
35,,"Zagreb, Croatia",2.47
36,,"Detroit, MI, United States",5.00
37,,"Hamburg, Germany",3.80
38,,"Fort Worth, TX, United States",5.25
39,,"Wellington, New Zealand",5.10
40,,"Tehran, Iran",2.00
41,,"Santiago, Chile",4.94
42,,"Honolulu, HI, United States",4.00
43,,"Houston, TX, United States",3.00
44,,"Dubai, United Arab Emirates",7.03
45,,"Indianapolis, IN, United States",5.00
46,,"Bogota, Colombia",2.08
47,,"Muscat, Oman",5.14
48,,"Munich, Germany",3.70
49,,"Leeds, United Kingdom",4.35
50,,"Kansas City, MO, United States",4.00
51,,"Las Vegas, NV, United States",3.00
52,,"London, United Kingdom",4.53
53,,"Los Angeles, CA, United States",5.12
54,,"Panama City, Panama",2.25
55,,"Manchester, United Kingdom",4.71
56,,"Seoul, South Korea",2.55
57,,"Prague, Czech Republic",1.70
58,,"Miami, FL, United States",4.25
59,,"Kuala Lumpur, Malaysia",4.09
60,,"New York, NY, United States",8.00
61,,"Copenhagen, Denmark",5.79
62,,"Ljubljana, Slovenia",3.70
63,,"Islamabad, Pakistan",-
64,,"Chandigarh, India",1.73
65,,"Athens, Greece",5.56
66,,"Philadelphia, PA, United States",5.00
67,,"Hong Kong, Hong Kong",1.28
68,,"Portland, OR, United States",4.50
69,,"Lisbon, Portugal",2.47
70,,"Beijing, China",4.40
71,,"Richmond, VA, United States",4.50
72,,"Cape Town, South Africa",1.96
73,,"Budapest, Hungary",2.39
74,,"Saint Louis, MO, United States",3.50
75,,"Vilnius, Lithuania",1.07
76,,"Barcelona, Spain",3.70
77,,"San Francisco, CA, United States",5.00
78,,"San Jose, CA, United States",5.00
79,,"Bucharest, Romania",1.76
80,,"Ahmedabad, India",4.31
81,,"Tampa, FL, United States",3.25
82,,"Cluj-Napoca, Romania",2.35
83,,"Hartford, CT, United States",4.25
84,,"Madrid, Spain",5.56
85,,"Tallinn, Estonia",3.16
86,,"Bangalore, India",2.59
87,,"Washington, DC, United States",5.00
88,,"Chennai, India",3.24
89,,"Doha, Qatar",6.17
90,,"Delhi, India",2.59
91,,"Gurgaon, India",1.83
92,,"Vienna, Austria",-
93,,"Hyderabad, India",2.16
94,,"Taipei, Taiwan",1.50
95,,"San Juan, Puerto Rico",2.75
96,,"Kolkata, India",1.73
97,,"Belo Horizonte, Brazil",-
98,,"Bangkok, Thailand",1.85
99,,"Shanghai, China",-
100,,"Mumbai, India",2.80
101,,"Amman, Jordan",5.00
102,,"Pune, India",2.70
103,,"Geneva, Switzerland",4.31
104,,"Stockholm, Sweden",7.35
105,,"Buenos Aires, Argentina",2.50
106,,"Curitiba, Brazil",1.92
107,,"Cebu, Philippines",1.51
108,,"Montreal, Canada",4.81
109,,"Sao Paulo, Brazil",3.64
110,,"Dublin, Ireland",6.17
111,,"Moscow, Russia",6.79
112,,"Zurich, Switzerland",5.60
113,,"Manila, Philippines",1.01
114,,"Brisbane, Australia",5.93
115,,"Jakarta, Indonesia",4.19
116,,"Canberra, Australia",4.66
117,,"Brussels, Belgium",-
118,,"Melbourne, Australia",6.14
119,,"Perth, Australia",5.93
120,,"Sydney, Australia",6.36
