,Rank,City,1 Pair of Nike Running Shoes (Mid-Range)
0,,"Istanbul, Turkey",76.43
1,,"Helsinki, Finland",123.46
2,,"Cairo, Egypt",92.50
3,,"Rio de Janeiro, Brazil",175.82
4,,"Mexico City, Mexico",77.96
5,,"Rome, Italy",148.15
6,,"Sarajevo, Bosnia And Herzegovina",89.51
7,,"Kiev (Kyiv), Ukraine",80.00
8,,"Calgary, Canada",81.73
9,,"Edmonton, Canada",96.15
10,,"Amsterdam, Netherlands",135.80
11,,"Belgrade, Serbia",135.80
12,,"Halifax, Canada",115.37
13,,"Paris, France",97.53
14,,"Ottawa, Canada",84.13
15,,"Thessaloniki, Greece",92.59
16,,"Sofia, Bulgaria",95.91
17,,"Atlanta, GA, United States",70.00
18,,"Berlin, Germany",74.07
19,,"Beirut, Lebanon",88.00
20,,"Singapore, Singapore",86.25
21,,"Austin, TX, United States",45.00
22,,"Toronto, Canada",119.23
23,,"Auckland, New Zealand",139.42
24,,"Vancouver, Canada",81.25
25,,"Tokyo, Japan",85.00
26,,"Christchurch, New Zealand",81.63
27,,"Winnipeg, Canada",96.91
28,,"Boston, MA, United States",145.00
29,,"Charlotte, NC, United States",70.00
30,,"Chicago, IL, United States",66.67
31,,"Oslo, Norway",122.10
32,,"Bratislava, Slovakia",-
33,,"Dallas, TX, United States",50.00
34,,"Denver, CO, United States",62.50
35,,"Zagreb, Croatia",92.49
36,,"Detroit, MI, United States",50.00
37,,"Hamburg, Germany",122.22
38,,"Fort Worth, TX, United States",45.00
39,,"Wellington, New Zealand",108.84
40,,"Tehran, Iran",90.00
41,,"Santiago, Chile",75.00
42,,"Honolulu, HI, United States",89.99
43,,"Houston, TX, United States",50.00
44,,"Dubai, United Arab Emirates",100.00
45,,"Indianapolis, IN, United States",109.00
46,,"Bogota, Colombia",80.00
47,,"Muscat, Oman",-
48,,"Munich, Germany",-
49,,"Leeds, United Kingdom",86.96
50,,"Kansas City, MO, United States",90.00
51,,"Las Vegas, NV, United States",50.00
52,,"London, United Kingdom",81.81
53,,"Los Angeles, CA, United States",57.00
54,,"Panama City, Panama",-
55,,"Manchester, United Kingdom",72.46
56,,"Seoul, South Korea",-
57,,"Prague, Czech Republic",72.71
58,,"Miami, FL, United States",76.00
59,,"Kuala Lumpur, Malaysia",62.37
60,,"New York, NY, United States",74.67
61,,"Copenhagen, Denmark",123.97
62,,"Ljubljana, Slovenia",74.07
63,,"Islamabad, Pakistan",21.50
64,,"Chandigarh, India",86.28
65,,"Athens, Greece",104.94
66,,"Philadelphia, PA, United States",72.33
67,,"Hong Kong, Hong Kong",66.62
68,,"Portland, OR, United States",75.00
69,,"Lisbon, Portugal",92.59
70,,"Beijing, China",146.63
71,,"Richmond, VA, United States",75.00
72,,"Cape Town, South Africa",101.17
73,,"Budapest, Hungary",39.03
74,,"Saint Louis, MO, United States",120.00
75,,"Vilnius, Lithuania",89.39
76,,"Barcelona, Spain",80.25
77,,"San Francisco, CA, United States",85.00
78,,"San Jose, CA, United States",80.00
79,,"Bucharest, Romania",90.09
80,,"Ahmedabad, India",32.36
81,,"Tampa, FL, United States",120.00
82,,"Cluj-Napoca, Romania",102.94
83,,"Hartford, CT, United States",50.00
84,,"Madrid, Spain",95.68
85,,"Tallinn, Estonia",78.90
86,,"Bangalore, India",57.38
87,,"Washington, DC, United States",68.33
88,,"Chennai, India",58.67
89,,"Doha, Qatar",-
90,,"Delhi, India",64.71
91,,"Gurgaon, India",80.89
92,,"Vienna, Austria",123.46
93,,"Hyderabad, India",57.52
94,,"Taipei, Taiwan",66.50
95,,"San Juan, Puerto Rico",40.00
96,,"Kolkata, India",64.71
97,,"Belo Horizonte, Brazil",274.73
98,,"Bangkok, Thailand",61.67
99,,"Shanghai, China",-
100,,"Mumbai, India",70.10
101,,"Amman, Jordan",100.00
102,,"Pune, India",68.31
103,,"Geneva, Switzerland",103.45
104,,"Stockholm, Sweden",89.55
105,,"Buenos Aires, Argentina",93.33
106,,"Curitiba, Brazil",162.09
107,,"Cebu, Philippines",84.14
108,,"Montreal, Canada",89.74
109,,"Sao Paulo, Brazil",186.26
110,,"Dublin, Ireland",101.23
111,,"Moscow, Russia",175.58
112,,"Zurich, Switzerland",125.00
113,,"Manila, Philippines",-
114,,"Brisbane, Australia",101.69
115,,"Jakarta, Indonesia",93.34
116,,"Canberra, Australia",211.86
117,,"Brussels, Belgium",98.77
118,,"Melbourne, Australia",115.25
119,,"Perth, Australia",114.41
120,,"Sydney, Australia",148.31
