,Rank,City,"Milk (regular), (1 liter)"
0,,"Istanbul, Turkey",1.28
1,,"Helsinki, Finland",1.48
2,,"Cairo, Egypt",1.05
3,,"Rio de Janeiro, Brazil",1.24
4,,"Mexico City, Mexico",1.04
5,,"Rome, Italy",1.73
6,,"Sarajevo, Bosnia And Herzegovina",1.11
7,,"Kiev (Kyiv), Ukraine",1.00
8,,"Calgary, Canada",2.02
9,,"Edmonton, Canada",2.74
10,,"Amsterdam, Netherlands",-
11,,"Belgrade, Serbia",0.93
12,,"Halifax, Canada",1.99
13,,"Paris, France",0.99
14,,"Ottawa, Canada",1.96
15,,"Thessaloniki, Greece",1.40
16,,"Sofia, Bulgaria",1.32
17,,"Atlanta, GA, United States",1.69
18,,"Berlin, Germany",0.82
19,,"Beirut, Lebanon",1.67
20,,"Singapore, Singapore",2.34
21,,"Austin, TX, United States",1.28
22,,"Toronto, Canada",2.40
23,,"Auckland, New Zealand",2.09
24,,"Vancouver, Canada",2.40
25,,"Tokyo, Japan",2.14
26,,"Christchurch, New Zealand",1.31
27,,"Winnipeg, Canada",1.94
28,,"Boston, MA, United States",1.84
29,,"Charlotte, NC, United States",1.07
30,,"Chicago, IL, United States",1.59
31,,"Oslo, Norway",2.07
32,,"Bratislava, Slovakia",0.86
33,,"Dallas, TX, United States",0.96
34,,"Denver, CO, United States",0.85
35,,"Zagreb, Croatia",0.90
36,,"Detroit, MI, United States",1.28
37,,"Hamburg, Germany",1.44
38,,"Fort Worth, TX, United States",0.84
39,,"Wellington, New Zealand",1.73
40,,"Tehran, Iran",0.96
41,,"Santiago, Chile",1.01
42,,"Honolulu, HI, United States",1.54
43,,"Houston, TX, United States",1.07
44,,"Dubai, United Arab Emirates",1.27
45,,"Indianapolis, IN, United States",0.74
46,,"Bogota, Colombia",1.10
47,,"Muscat, Oman",-
48,,"Munich, Germany",1.23
49,,"Leeds, United Kingdom",1.29
50,,"Kansas City, MO, United States",1.36
51,,"Las Vegas, NV, United States",0.53
52,,"London, United Kingdom",1.30
53,,"Los Angeles, CA, United States",2.23
54,,"Panama City, Panama",-
55,,"Manchester, United Kingdom",1.52
56,,"Seoul, South Korea",1.67
57,,"Prague, Czech Republic",-
58,,"Miami, FL, United States",1.66
59,,"Kuala Lumpur, Malaysia",1.58
60,,"New York, NY, United States",2.27
61,,"Copenhagen, Denmark",1.27
62,,"Ljubljana, Slovenia",1.15
63,,"Islamabad, Pakistan",0.68
64,,"Chandigarh, India",0.51
65,,"Athens, Greece",1.39
66,,"Philadelphia, PA, United States",1.38
67,,"Hong Kong, Hong Kong",2.58
68,,"Portland, OR, United States",1.33
69,,"Lisbon, Portugal",0.74
70,,"Beijing, China",1.59
71,,"Richmond, VA, United States",1.01
72,,"Cape Town, South Africa",1.08
73,,"Budapest, Hungary",0.97
74,,"Saint Louis, MO, United States",1.49
75,,"Vilnius, Lithuania",0.80
76,,"Barcelona, Spain",1.23
77,,"San Francisco, CA, United States",1.37
78,,"San Jose, CA, United States",1.53
79,,"Bucharest, Romania",1.06
80,,"Ahmedabad, India",0.63
81,,"Tampa, FL, United States",1.39
82,,"Cluj-Napoca, Romania",1.17
83,,"Hartford, CT, United States",2.13
84,,"Madrid, Spain",1.23
85,,"Tallinn, Estonia",0.74
86,,"Bangalore, India",0.45
87,,"Washington, DC, United States",1.42
88,,"Chennai, India",0.52
89,,"Doha, Qatar",0.89
90,,"Delhi, India",0.63
91,,"Gurgaon, India",0.52
92,,"Vienna, Austria",1.85
93,,"Hyderabad, India",0.68
94,,"Taipei, Taiwan",2.25
95,,"San Juan, Puerto Rico",1.80
96,,"Kolkata, India",0.53
97,,"Belo Horizonte, Brazil",-
98,,"Bangkok, Thailand",1.64
99,,"Shanghai, China",-
100,,"Mumbai, India",0.67
101,,"Amman, Jordan",1.72
102,,"Pune, India",0.69
103,,"Geneva, Switzerland",1.16
104,,"Stockholm, Sweden",1.01
105,,"Buenos Aires, Argentina",0.98
106,,"Curitiba, Brazil",1.06
107,,"Cebu, Philippines",1.36
108,,"Montreal, Canada",2.37
109,,"Sao Paulo, Brazil",1.36
110,,"Dublin, Ireland",1.57
111,,"Moscow, Russia",1.24
112,,"Zurich, Switzerland",1.10
113,,"Manila, Philippines",1.33
114,,"Brisbane, Australia",1.63
115,,"Jakarta, Indonesia",1.34
116,,"Canberra, Australia",1.38
117,,"Brussels, Belgium",1.54
118,,"Melbourne, Australia",1.53
119,,"Perth, Australia",1.98
120,,"Sydney, Australia",2.63
