,Rank,City,Loaf of Fresh White Bread (500g)
0,,"Istanbul, Turkey",0.64
1,,"Helsinki, Finland",2.47
2,,"Cairo, Egypt",1.50
3,,"Rio de Janeiro, Brazil",2.03
4,,"Mexico City, Mexico",1.88
5,,"Rome, Italy",1.85
6,,"Sarajevo, Bosnia And Herzegovina",0.62
7,,"Kiev (Kyiv), Ukraine",0.40
8,,"Calgary, Canada",2.76
9,,"Edmonton, Canada",2.15
10,,"Amsterdam, Netherlands",1.23
11,,"Belgrade, Serbia",0.49
12,,"Halifax, Canada",1.80
13,,"Paris, France",1.73
14,,"Ottawa, Canada",1.94
15,,"Thessaloniki, Greece",0.99
16,,"Sofia, Bulgaria",0.75
17,,"Atlanta, GA, United States",2.24
18,,"Berlin, Germany",2.39
19,,"Beirut, Lebanon",1.00
20,,"Singapore, Singapore",1.63
21,,"Austin, TX, United States",1.75
22,,"Toronto, Canada",2.52
23,,"Auckland, New Zealand",2.68
24,,"Vancouver, Canada",2.31
25,,"Tokyo, Japan",2.19
26,,"Christchurch, New Zealand",1.70
27,,"Winnipeg, Canada",1.58
28,,"Boston, MA, United States",2.50
29,,"Charlotte, NC, United States",1.71
30,,"Chicago, IL, United States",2.25
31,,"Oslo, Norway",3.45
32,,"Bratislava, Slovakia",1.23
33,,"Dallas, TX, United States",1.83
34,,"Denver, CO, United States",2.38
35,,"Zagreb, Croatia",1.20
36,,"Detroit, MI, United States",2.45
37,,"Hamburg, Germany",4.94
38,,"Fort Worth, TX, United States",1.65
39,,"Wellington, New Zealand",2.15
40,,"Tehran, Iran",0.58
41,,"Santiago, Chile",2.05
42,,"Honolulu, HI, United States",4.00
43,,"Houston, TX, United States",1.63
44,,"Dubai, United Arab Emirates",1.30
45,,"Indianapolis, IN, United States",1.96
46,,"Bogota, Colombia",4.00
47,,"Muscat, Oman",0.83
48,,"Munich, Germany",2.84
49,,"Leeds, United Kingdom",1.69
50,,"Kansas City, MO, United States",1.63
51,,"Las Vegas, NV, United States",2.00
52,,"London, United Kingdom",1.54
53,,"Los Angeles, CA, United States",2.62
54,,"Panama City, Panama",5.00
55,,"Manchester, United Kingdom",1.91
56,,"Seoul, South Korea",1.67
57,,"Prague, Czech Republic",0.58
58,,"Miami, FL, United States",2.00
59,,"Kuala Lumpur, Malaysia",0.85
60,,"New York, NY, United States",3.50
61,,"Copenhagen, Denmark",3.42
62,,"Ljubljana, Slovenia",2.16
63,,"Islamabad, Pakistan",0.45
64,,"Chandigarh, India",0.38
65,,"Athens, Greece",0.93
66,,"Philadelphia, PA, United States",2.25
67,,"Hong Kong, Hong Kong",1.44
68,,"Portland, OR, United States",3.00
69,,"Lisbon, Portugal",1.42
70,,"Beijing, China",1.43
71,,"Richmond, VA, United States",2.20
72,,"Cape Town, South Africa",1.09
73,,"Budapest, Hungary",1.26
74,,"Saint Louis, MO, United States",2.51
75,,"Vilnius, Lithuania",0.89
76,,"Barcelona, Spain",1.23
77,,"San Francisco, CA, United States",2.50
78,,"San Jose, CA, United States",2.67
79,,"Bucharest, Romania",0.58
80,,"Ahmedabad, India",0.40
81,,"Tampa, FL, United States",2.00
82,,"Cluj-Napoca, Romania",0.63
83,,"Hartford, CT, United States",2.50
84,,"Madrid, Spain",0.62
85,,"Tallinn, Estonia",0.97
86,,"Bangalore, India",0.41
87,,"Washington, DC, United States",3.50
88,,"Chennai, India",0.38
89,,"Doha, Qatar",1.10
90,,"Delhi, India",0.33
91,,"Gurgaon, India",0.45
92,,"Vienna, Austria",3.70
93,,"Hyderabad, India",0.54
94,,"Taipei, Taiwan",1.21
95,,"San Juan, Puerto Rico",1.52
96,,"Kolkata, India",0.49
97,,"Belo Horizonte, Brazil",-
98,,"Bangkok, Thailand",0.96
99,,"Shanghai, China",-
100,,"Mumbai, India",0.37
101,,"Amman, Jordan",1.70
102,,"Pune, India",0.41
103,,"Geneva, Switzerland",2.07
104,,"Stockholm, Sweden",2.62
105,,"Buenos Aires, Argentina",1.24
106,,"Curitiba, Brazil",1.21
107,,"Cebu, Philippines",0.86
108,,"Montreal, Canada",2.16
109,,"Sao Paulo, Brazil",1.37
110,,"Dublin, Ireland",2.47
111,,"Moscow, Russia",0.82
112,,"Zurich, Switzerland",2.33
113,,"Manila, Philippines",0.94
114,,"Brisbane, Australia",2.71
115,,"Jakarta, Indonesia",1.15
116,,"Canberra, Australia",3.02
117,,"Brussels, Belgium",2.47
118,,"Melbourne, Australia",2.63
119,,"Perth, Australia",3.81
120,,"Sydney, Australia",2.80
