,Rank,City,"Fitness Club, Monthly Fee for 1 Adult"
0,,"Istanbul, Turkey",85.99
1,,"Helsinki, Finland",64.20
2,,"Cairo, Egypt",37.50
3,,"Rio de Janeiro, Brazil",138.05
4,,"Mexico City, Mexico",96.75
5,,"Rome, Italy",104.94
6,,"Sarajevo, Bosnia And Herzegovina",46.30
7,,"Kiev (Kyiv), Ukraine",52.50
8,,"Calgary, Canada",48.08
9,,"Edmonton, Canada",60.10
10,,"Amsterdam, Netherlands",104.94
11,,"Belgrade, Serbia",37.04
12,,"Halifax, Canada",76.92
13,,"Paris, France",86.42
14,,"Ottawa, Canada",38.46
15,,"Thessaloniki, Greece",61.73
16,,"Sofia, Bulgaria",49.55
17,,"Atlanta, GA, United States",30.00
18,,"Berlin, Germany",48.11
19,,"Beirut, Lebanon",80.00
20,,"Singapore, Singapore",96.43
21,,"Austin, TX, United States",36.67
22,,"Toronto, Canada",81.73
23,,"Auckland, New Zealand",60.88
24,,"Vancouver, Canada",52.88
25,,"Tokyo, Japan",30.93
26,,"Christchurch, New Zealand",43.08
27,,"Winnipeg, Canada",50.00
28,,"Boston, MA, United States",75.00
29,,"Charlotte, NC, United States",45.00
30,,"Chicago, IL, United States",34.50
31,,"Oslo, Norway",91.98
32,,"Bratislava, Slovakia",-
33,,"Dallas, TX, United States",33.33
34,,"Denver, CO, United States",35.00
35,,"Zagreb, Croatia",43.21
36,,"Detroit, MI, United States",49.67
37,,"Hamburg, Germany",80.25
38,,"Fort Worth, TX, United States",30.00
39,,"Wellington, New Zealand",47.62
40,,"Tehran, Iran",60.00
41,,"Santiago, Chile",39.50
42,,"Honolulu, HI, United States",49.99
43,,"Houston, TX, United States",27.49
44,,"Dubai, United Arab Emirates",45.35
45,,"Indianapolis, IN, United States",30.00
46,,"Bogota, Colombia",33.33
47,,"Muscat, Oman",25.00
48,,"Munich, Germany",49.38
49,,"Leeds, United Kingdom",72.46
50,,"Kansas City, MO, United States",45.00
51,,"Las Vegas, NV, United States",22.00
52,,"London, United Kingdom",83.33
53,,"Los Angeles, CA, United States",55.75
54,,"Panama City, Panama",35.00
55,,"Manchester, United Kingdom",43.48
56,,"Seoul, South Korea",50.00
57,,"Prague, Czech Republic",72.71
58,,"Miami, FL, United States",39.00
59,,"Kuala Lumpur, Malaysia",35.79
60,,"New York, NY, United States",72.63
61,,"Copenhagen, Denmark",45.57
62,,"Ljubljana, Slovenia",74.07
63,,"Islamabad, Pakistan",18.50
64,,"Chandigarh, India",28.40
65,,"Athens, Greece",56.79
66,,"Philadelphia, PA, United States",61.67
67,,"Hong Kong, Hong Kong",101.41
68,,"Portland, OR, United States",30.00
69,,"Lisbon, Portugal",80.25
70,,"Beijing, China",31.77
71,,"Richmond, VA, United States",36.67
72,,"Cape Town, South Africa",39.16
73,,"Budapest, Hungary",44.71
74,,"Saint Louis, MO, United States",29.67
75,,"Vilnius, Lithuania",61.86
76,,"Barcelona, Spain",57.20
77,,"San Francisco, CA, United States",42.50
78,,"San Jose, CA, United States",37.50
79,,"Bucharest, Romania",36.72
80,,"Ahmedabad, India",17.98
81,,"Tampa, FL, United States",43.00
82,,"Cluj-Napoca, Romania",47.60
83,,"Hartford, CT, United States",37.50
84,,"Madrid, Spain",61.73
85,,"Tallinn, Estonia",49.31
86,,"Bangalore, India",36.57
87,,"Washington, DC, United States",62.50
88,,"Chennai, India",21.93
89,,"Doha, Qatar",131.61
90,,"Delhi, India",35.05
91,,"Gurgaon, India",61.12
92,,"Vienna, Austria",123.46
93,,"Hyderabad, India",16.54
94,,"Taipei, Taiwan",50.83
95,,"San Juan, Puerto Rico",55.00
96,,"Kolkata, India",18.51
97,,"Belo Horizonte, Brazil",43.96
98,,"Bangkok, Thailand",23.82
99,,"Shanghai, China",29.33
100,,"Mumbai, India",24.05
101,,"Amman, Jordan",41.53
102,,"Pune, India",14.16
103,,"Geneva, Switzerland",152.30
104,,"Stockholm, Sweden",51.15
105,,"Buenos Aires, Argentina",32.50
106,,"Curitiba, Brazil",45.85
107,,"Cebu, Philippines",10.79
108,,"Montreal, Canada",36.86
109,,"Sao Paulo, Brazil",85.16
110,,"Dublin, Ireland",66.87
111,,"Moscow, Russia",76.25
112,,"Zurich, Switzerland",86.69
113,,"Manila, Philippines",37.76
114,,"Brisbane, Australia",53.67
115,,"Jakarta, Indonesia",48.47
116,,"Canberra, Australia",88.98
117,,"Brussels, Belgium",80.25
118,,"Melbourne, Australia",59.32
119,,"Perth, Australia",87.92
120,,"Sydney, Australia",81.74
