,Rank,City,1 Pair of Jeans (Levis 501 Or Similar)
0,,"Istanbul, Turkey",114.65
1,,"Helsinki, Finland",117.28
2,,"Cairo, Egypt",100.00
3,,"Rio de Janeiro, Brazil",109.89
4,,"Mexico City, Mexico",46.77
5,,"Rome, Italy",135.80
6,,"Sarajevo, Bosnia And Herzegovina",92.59
7,,"Kiev (Kyiv), Ukraine",-
8,,"Calgary, Canada",52.88
9,,"Edmonton, Canada",48.08
10,,"Amsterdam, Netherlands",138.27
11,,"Belgrade, Serbia",82.30
12,,"Halifax, Canada",-
13,,"Paris, France",86.48
14,,"Ottawa, Canada",38.45
15,,"Thessaloniki, Greece",89.51
16,,"Sofia, Bulgaria",116.98
17,,"Atlanta, GA, United States",48.50
18,,"Berlin, Germany",84.36
19,,"Beirut, Lebanon",36.00
20,,"Singapore, Singapore",102.38
21,,"Austin, TX, United States",55.00
22,,"Toronto, Canada",83.17
23,,"Auckland, New Zealand",87.28
24,,"Vancouver, Canada",48.08
25,,"Tokyo, Japan",149.89
26,,"Christchurch, New Zealand",68.03
27,,"Winnipeg, Canada",85.08
28,,"Boston, MA, United States",55.00
29,,"Charlotte, NC, United States",30.00
30,,"Chicago, IL, United States",25.00
31,,"Oslo, Norway",141.73
32,,"Bratislava, Slovakia",-
33,,"Dallas, TX, United States",39.00
34,,"Denver, CO, United States",32.33
35,,"Zagreb, Croatia",104.79
36,,"Detroit, MI, United States",33.33
37,,"Hamburg, Germany",109.88
38,,"Fort Worth, TX, United States",22.00
39,,"Wellington, New Zealand",81.63
40,,"Tehran, Iran",120.00
41,,"Santiago, Chile",80.00
42,,"Honolulu, HI, United States",79.99
43,,"Houston, TX, United States",24.95
44,,"Dubai, United Arab Emirates",150.00
45,,"Indianapolis, IN, United States",-
46,,"Bogota, Colombia",150.00
47,,"Muscat, Oman",-
48,,"Munich, Germany",-
49,,"Leeds, United Kingdom",115.94
50,,"Kansas City, MO, United States",40.00
51,,"Las Vegas, NV, United States",39.00
52,,"London, United Kingdom",97.58
53,,"Los Angeles, CA, United States",53.33
54,,"Panama City, Panama",-
55,,"Manchester, United Kingdom",79.71
56,,"Seoul, South Korea",-
57,,"Prague, Czech Republic",106.64
58,,"Miami, FL, United States",52.00
59,,"Kuala Lumpur, Malaysia",74.12
60,,"New York, NY, United States",51.33
61,,"Copenhagen, Denmark",141.16
62,,"Ljubljana, Slovenia",108.02
63,,"Islamabad, Pakistan",40.94
64,,"Chandigarh, India",23.73
65,,"Athens, Greece",111.11
66,,"Philadelphia, PA, United States",52.33
67,,"Hong Kong, Hong Kong",118.74
68,,"Portland, OR, United States",50.00
69,,"Lisbon, Portugal",92.59
70,,"Beijing, China",102.64
71,,"Richmond, VA, United States",25.00
72,,"Cape Town, South Africa",52.22
73,,"Budapest, Hungary",151.77
74,,"Saint Louis, MO, United States",50.00
75,,"Vilnius, Lithuania",89.39
76,,"Barcelona, Spain",104.94
77,,"San Francisco, CA, United States",52.33
78,,"San Jose, CA, United States",50.00
79,,"Bucharest, Romania",100.47
80,,"Ahmedabad, India",40.98
81,,"Tampa, FL, United States",50.00
82,,"Cluj-Napoca, Romania",88.24
83,,"Hartford, CT, United States",25.00
84,,"Madrid, Spain",97.53
85,,"Tallinn, Estonia",63.12
86,,"Bangalore, India",31.28
87,,"Washington, DC, United States",38.00
88,,"Chennai, India",44.04
89,,"Doha, Qatar",-
90,,"Delhi, India",39.91
91,,"Gurgaon, India",39.91
92,,"Vienna, Austria",123.46
93,,"Hyderabad, India",34.51
94,,"Taipei, Taiwan",63.50
95,,"San Juan, Puerto Rico",-
96,,"Kolkata, India",47.45
97,,"Belo Horizonte, Brazil",98.90
98,,"Bangkok, Thailand",46.25
99,,"Shanghai, China",-
100,,"Mumbai, India",44.58
101,,"Amman, Jordan",65.00
102,,"Pune, India",43.14
103,,"Geneva, Switzerland",103.45
104,,"Stockholm, Sweden",102.70
105,,"Buenos Aires, Argentina",88.17
106,,"Curitiba, Brazil",130.22
107,,"Cebu, Philippines",39.91
108,,"Montreal, Canada",67.31
109,,"Sao Paulo, Brazil",109.07
110,,"Dublin, Ireland",96.91
111,,"Moscow, Russia",98.35
112,,"Zurich, Switzerland",111.21
113,,"Manila, Philippines",-
114,,"Brisbane, Australia",101.69
115,,"Jakarta, Indonesia",49.20
116,,"Canberra, Australia",84.75
117,,"Brussels, Belgium",141.98
118,,"Melbourne, Australia",66.53
119,,"Perth, Australia",66.38
120,,"Sydney, Australia",95.34
