,Rank,City,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment"
0,,"Istanbul, Turkey",127.39
1,,"Helsinki, Finland",-
2,,"Cairo, Egypt",40.00
3,,"Rio de Janeiro, Brazil",-
4,,"Mexico City, Mexico",80.16
5,,"Rome, Italy",-
6,,"Sarajevo, Bosnia And Herzegovina",156.38
7,,"Kiev (Kyiv), Ukraine",30.00
8,,"Calgary, Canada",230.77
9,,"Edmonton, Canada",231.46
10,,"Amsterdam, Netherlands",-
11,,"Belgrade, Serbia",115.23
12,,"Halifax, Canada",192.31
13,,"Paris, France",-
14,,"Ottawa, Canada",144.23
15,,"Thessaloniki, Greece",111.11
16,,"Sofia, Bulgaria",50.31
17,,"Atlanta, GA, United States",209.00
18,,"Berlin, Germany",185.19
19,,"Beirut, Lebanon",250.00
20,,"Singapore, Singapore",121.43
21,,"Austin, TX, United States",227.50
22,,"Toronto, Canada",227.56
23,,"Auckland, New Zealand",193.08
24,,"Vancouver, Canada",240.38
25,,"Tokyo, Japan",159.03
26,,"Christchurch, New Zealand",170.07
27,,"Winnipeg, Canada",116.99
28,,"Boston, MA, United States",275.00
29,,"Charlotte, NC, United States",200.00
30,,"Chicago, IL, United States",183.33
31,,"Oslo, Norway",285.94
32,,"Bratislava, Slovakia",141.98
33,,"Dallas, TX, United States",200.00
34,,"Denver, CO, United States",150.00
35,,"Zagreb, Croatia",111.87
36,,"Detroit, MI, United States",175.00
37,,"Hamburg, Germany",123.46
38,,"Fort Worth, TX, United States",308.33
39,,"Wellington, New Zealand",97.51
40,,"Tehran, Iran",78.00
41,,"Santiago, Chile",-
42,,"Honolulu, HI, United States",275.00
43,,"Houston, TX, United States",316.25
44,,"Dubai, United Arab Emirates",72.79
45,,"Indianapolis, IN, United States",350.00
46,,"Bogota, Colombia",-
47,,"Muscat, Oman",-
48,,"Munich, Germany",-
49,,"Leeds, United Kingdom",86.46
50,,"Kansas City, MO, United States",240.00
51,,"Las Vegas, NV, United States",135.00
52,,"London, United Kingdom",169.08
53,,"Los Angeles, CA, United States",149.17
54,,"Panama City, Panama",200.00
55,,"Manchester, United Kingdom",183.57
56,,"Seoul, South Korea",-
57,,"Prague, Czech Republic",-
58,,"Miami, FL, United States",180.00
59,,"Kuala Lumpur, Malaysia",59.82
60,,"New York, NY, United States",156.25
61,,"Copenhagen, Denmark",142.85
62,,"Ljubljana, Slovenia",216.05
63,,"Islamabad, Pakistan",110.00
64,,"Chandigarh, India",64.71
65,,"Athens, Greece",120.99
66,,"Philadelphia, PA, United States",200.00
67,,"Hong Kong, Hong Kong",105.26
68,,"Portland, OR, United States",200.00
69,,"Lisbon, Portugal",55.56
70,,"Beijing, China",21.99
71,,"Richmond, VA, United States",350.00
72,,"Cape Town, South Africa",59.18
73,,"Budapest, Hungary",67.07
74,,"Saint Louis, MO, United States",182.50
75,,"Vilnius, Lithuania",169.84
76,,"Barcelona, Spain",185.19
77,,"San Francisco, CA, United States",193.33
78,,"San Jose, CA, United States",120.00
79,,"Bucharest, Romania",79.14
80,,"Ahmedabad, India",37.75
81,,"Tampa, FL, United States",275.00
82,,"Cluj-Napoca, Romania",69.66
83,,"Hartford, CT, United States",200.00
84,,"Madrid, Spain",123.46
85,,"Tallinn, Estonia",65.10
86,,"Bangalore, India",29.76
87,,"Washington, DC, United States",230.00
88,,"Chennai, India",24.59
89,,"Doha, Qatar",76.52
90,,"Delhi, India",47.45
91,,"Gurgaon, India",57.52
92,,"Vienna, Austria",308.64
93,,"Hyderabad, India",20.49
94,,"Taipei, Taiwan",42.33
95,,"San Juan, Puerto Rico",285.00
96,,"Kolkata, India",34.15
97,,"Belo Horizonte, Brazil",-
98,,"Bangkok, Thailand",101.39
99,,"Shanghai, China",26.05
100,,"Mumbai, India",41.96
101,,"Amman, Jordan",58.59
102,,"Pune, India",20.49
103,,"Geneva, Switzerland",129.31
104,,"Stockholm, Sweden",140.66
105,,"Buenos Aires, Argentina",65.00
106,,"Curitiba, Brazil",148.42
107,,"Cebu, Philippines",86.30
108,,"Montreal, Canada",193.91
109,,"Sao Paulo, Brazil",82.42
110,,"Dublin, Ireland",86.42
111,,"Moscow, Russia",71.11
112,,"Zurich, Switzerland",155.17
113,,"Manila, Philippines",116.29
114,,"Brisbane, Australia",127.12
115,,"Jakarta, Indonesia",57.44
116,,"Canberra, Australia",112.99
117,,"Brussels, Belgium",185.19
118,,"Melbourne, Australia",153.76
119,,"Perth, Australia",275.42
120,,"Sydney, Australia",154.42
