,Rank,City,"Meal for 2 People, Mid-range Restaurant, Three-course"
0,,"Istanbul, Turkey",28.66
1,,"Helsinki, Finland",37.04
2,,"Cairo, Egypt",24.50
3,,"Rio de Janeiro, Brazil",55.49
4,,"Mexico City, Mexico",38.70
5,,"Rome, Italy",-
6,,"Sarajevo, Bosnia And Herzegovina",16.05
7,,"Kiev (Kyiv), Ukraine",45.00
8,,"Calgary, Canada",43.27
9,,"Edmonton, Canada",48.08
10,,"Amsterdam, Netherlands",111.11
11,,"Belgrade, Serbia",23.46
12,,"Halifax, Canada",43.27
13,,"Paris, France",61.73
14,,"Ottawa, Canada",28.85
15,,"Thessaloniki, Greece",49.38
16,,"Sofia, Bulgaria",22.01
17,,"Atlanta, GA, United States",35.00
18,,"Berlin, Germany",30.86
19,,"Beirut, Lebanon",22.50
20,,"Singapore, Singapore",26.07
21,,"Austin, TX, United States",23.50
22,,"Toronto, Canada",44.71
23,,"Auckland, New Zealand",54.42
24,,"Vancouver, Canada",45.67
25,,"Tokyo, Japan",65.80
26,,"Christchurch, New Zealand",40.82
27,,"Winnipeg, Canada",38.46
28,,"Boston, MA, United States",45.00
29,,"Charlotte, NC, United States",26.50
30,,"Chicago, IL, United States",35.00
31,,"Oslo, Norway",92.74
32,,"Bratislava, Slovakia",28.72
33,,"Dallas, TX, United States",30.00
34,,"Denver, CO, United States",45.00
35,,"Zagreb, Croatia",24.69
36,,"Detroit, MI, United States",31.50
37,,"Hamburg, Germany",47.29
38,,"Fort Worth, TX, United States",32.50
39,,"Wellington, New Zealand",42.52
40,,"Tehran, Iran",20.00
41,,"Santiago, Chile",48.55
42,,"Honolulu, HI, United States",25.00
43,,"Houston, TX, United States",27.50
44,,"Dubai, United Arab Emirates",24.50
45,,"Indianapolis, IN, United States",35.00
46,,"Bogota, Colombia",25.00
47,,"Muscat, Oman",31.91
48,,"Munich, Germany",61.73
49,,"Leeds, United Kingdom",66.65
50,,"Kansas City, MO, United States",40.00
51,,"Las Vegas, NV, United States",28.00
52,,"London, United Kingdom",68.84
53,,"Los Angeles, CA, United States",40.00
54,,"Panama City, Panama",37.50
55,,"Manchester, United Kingdom",36.23
56,,"Seoul, South Korea",34.31
57,,"Prague, Czech Republic",19.17
58,,"Miami, FL, United States",50.00
59,,"Kuala Lumpur, Malaysia",15.34
60,,"New York, NY, United States",50.00
61,,"Copenhagen, Denmark",82.64
62,,"Ljubljana, Slovenia",37.04
63,,"Islamabad, Pakistan",9.62
64,,"Chandigarh, India",7.01
65,,"Athens, Greece",49.38
66,,"Philadelphia, PA, United States",40.00
67,,"Hong Kong, Hong Kong",60.98
68,,"Portland, OR, United States",40.00
69,,"Lisbon, Portugal",37.04
70,,"Beijing, China",11.73
71,,"Richmond, VA, United States",30.00
72,,"Cape Town, South Africa",28.72
73,,"Budapest, Hungary",21.01
74,,"Saint Louis, MO, United States",35.00
75,,"Vilnius, Lithuania",28.60
76,,"Barcelona, Spain",32.72
77,,"San Francisco, CA, United States",47.50
78,,"San Jose, CA, United States",27.50
79,,"Bucharest, Romania",18.20
80,,"Ahmedabad, India",8.63
81,,"Tampa, FL, United States",45.00
82,,"Cluj-Napoca, Romania",20.59
83,,"Hartford, CT, United States",27.50
84,,"Madrid, Spain",37.04
85,,"Tallinn, Estonia",39.45
86,,"Bangalore, India",10.79
87,,"Washington, DC, United States",42.59
88,,"Chennai, India",9.17
89,,"Doha, Qatar",14.81
90,,"Delhi, India",12.94
91,,"Gurgaon, India",12.94
92,,"Vienna, Austria",55.56
93,,"Hyderabad, India",8.84
94,,"Taipei, Taiwan",12.50
95,,"San Juan, Puerto Rico",37.50
96,,"Kolkata, India",12.94
97,,"Belo Horizonte, Brazil",43.96
98,,"Bangkok, Thailand",18.36
99,,"Shanghai, China",33.72
100,,"Mumbai, India",10.79
101,,"Amman, Jordan",17.77
102,,"Pune, India",6.47
103,,"Geneva, Switzerland",60.34
104,,"Stockholm, Sweden",75.56
105,,"Buenos Aires, Argentina",26.00
106,,"Curitiba, Brazil",21.49
107,,"Cebu, Philippines",8.09
108,,"Montreal, Canada",48.08
109,,"Sao Paulo, Brazil",32.97
110,,"Dublin, Ireland",74.07
111,,"Moscow, Russia",62.87
112,,"Zurich, Switzerland",68.97
113,,"Manila, Philippines",4.72
114,,"Brisbane, Australia",38.14
115,,"Jakarta, Indonesia",12.00
116,,"Canberra, Australia",42.37
117,,"Brussels, Belgium",95.06
118,,"Melbourne, Australia",40.68
119,,"Perth, Australia",72.03
120,,"Sydney, Australia",50.42
