,Rank,City,Local Cheese (1kg)
0,,"Istanbul, Turkey",15.92
1,,"Helsinki, Finland",8.64
2,,"Cairo, Egypt",9.00
3,,"Rio de Janeiro, Brazil",-
4,,"Mexico City, Mexico",9.29
5,,"Rome, Italy",11.48
6,,"Sarajevo, Bosnia And Herzegovina",9.88
7,,"Kiev (Kyiv), Ukraine",7.67
8,,"Calgary, Canada",9.02
9,,"Edmonton, Canada",8.65
10,,"Amsterdam, Netherlands",-
11,,"Belgrade, Serbia",8.02
12,,"Halifax, Canada",-
13,,"Paris, France",18.52
14,,"Ottawa, Canada",7.69
15,,"Thessaloniki, Greece",11.52
16,,"Sofia, Bulgaria",4.72
17,,"Atlanta, GA, United States",7.14
18,,"Berlin, Germany",13.17
19,,"Beirut, Lebanon",3.67
20,,"Singapore, Singapore",6.29
21,,"Austin, TX, United States",16.36
22,,"Toronto, Canada",17.00
23,,"Auckland, New Zealand",8.10
24,,"Vancouver, Canada",10.34
25,,"Tokyo, Japan",27.42
26,,"Christchurch, New Zealand",6.12
27,,"Winnipeg, Canada",12.63
28,,"Boston, MA, United States",8.00
29,,"Charlotte, NC, United States",6.73
30,,"Chicago, IL, United States",13.21
31,,"Oslo, Norway",10.30
32,,"Bratislava, Slovakia",-
33,,"Dallas, TX, United States",9.72
34,,"Denver, CO, United States",11.01
35,,"Zagreb, Croatia",8.64
36,,"Detroit, MI, United States",10.53
37,,"Hamburg, Germany",-
38,,"Fort Worth, TX, United States",8.00
39,,"Wellington, New Zealand",7.26
40,,"Tehran, Iran",4.57
41,,"Santiago, Chile",4.60
42,,"Honolulu, HI, United States",8.27
43,,"Houston, TX, United States",3.70
44,,"Dubai, United Arab Emirates",-
45,,"Indianapolis, IN, United States",10.34
46,,"Bogota, Colombia",8.82
47,,"Muscat, Oman",11.12
48,,"Munich, Germany",-
49,,"Leeds, United Kingdom",10.09
50,,"Kansas City, MO, United States",7.20
51,,"Las Vegas, NV, United States",9.00
52,,"London, United Kingdom",6.95
53,,"Los Angeles, CA, United States",7.60
54,,"Panama City, Panama",-
55,,"Manchester, United Kingdom",8.70
56,,"Seoul, South Korea",16.67
57,,"Prague, Czech Republic",-
58,,"Miami, FL, United States",5.00
59,,"Kuala Lumpur, Malaysia",5.80
60,,"New York, NY, United States",14.33
61,,"Copenhagen, Denmark",12.81
62,,"Ljubljana, Slovenia",6.33
63,,"Islamabad, Pakistan",5.25
64,,"Chandigarh, India",2.95
65,,"Athens, Greece",8.64
66,,"Philadelphia, PA, United States",9.73
67,,"Hong Kong, Hong Kong",19.47
68,,"Portland, OR, United States",15.43
69,,"Lisbon, Portugal",7.41
70,,"Beijing, China",-
71,,"Richmond, VA, United States",8.82
72,,"Cape Town, South Africa",7.83
73,,"Budapest, Hungary",8.16
74,,"Saint Louis, MO, United States",11.01
75,,"Vilnius, Lithuania",7.27
76,,"Barcelona, Spain",8.64
77,,"San Francisco, CA, United States",11.02
78,,"San Jose, CA, United States",8.61
79,,"Bucharest, Romania",4.51
80,,"Ahmedabad, India",4.21
81,,"Tampa, FL, United States",3.00
82,,"Cluj-Napoca, Romania",7.35
83,,"Hartford, CT, United States",13.23
84,,"Madrid, Spain",-
85,,"Tallinn, Estonia",6.44
86,,"Bangalore, India",4.82
87,,"Washington, DC, United States",13.28
88,,"Chennai, India",3.45
89,,"Doha, Qatar",-
90,,"Delhi, India",3.88
91,,"Gurgaon, India",2.48
92,,"Vienna, Austria",12.35
93,,"Hyderabad, India",3.60
94,,"Taipei, Taiwan",-
95,,"San Juan, Puerto Rico",2.45
96,,"Kolkata, India",4.31
97,,"Belo Horizonte, Brazil",-
98,,"Bangkok, Thailand",16.96
99,,"Shanghai, China",-
100,,"Mumbai, India",4.07
101,,"Amman, Jordan",12.34
102,,"Pune, India",3.80
103,,"Geneva, Switzerland",8.62
104,,"Stockholm, Sweden",10.47
105,,"Buenos Aires, Argentina",9.87
106,,"Curitiba, Brazil",8.17
107,,"Cebu, Philippines",8.77
108,,"Montreal, Canada",9.62
109,,"Sao Paulo, Brazil",9.62
110,,"Dublin, Ireland",15.43
111,,"Moscow, Russia",10.29
112,,"Zurich, Switzerland",14.66
113,,"Manila, Philippines",2.66
114,,"Brisbane, Australia",12.15
115,,"Jakarta, Indonesia",23.46
116,,"Canberra, Australia",7.20
117,,"Brussels, Belgium",16.05
118,,"Melbourne, Australia",12.71
119,,"Perth, Australia",11.58
120,,"Sydney, Australia",9.96
