,Rank,City,Monthly Pass (Regular Price)
0,,"Istanbul, Turkey",70.06
1,,"Helsinki, Finland",53.09
2,,"Cairo, Egypt",5.50
3,,"Rio de Janeiro, Brazil",129.12
4,,"Mexico City, Mexico",30.96
5,,"Rome, Italy",37.04
6,,"Sarajevo, Bosnia And Herzegovina",30.86
7,,"Kiev (Kyiv), Ukraine",18.75
8,,"Calgary, Canada",81.97
9,,"Edmonton, Canada",74.64
10,,"Amsterdam, Netherlands",86.42
11,,"Belgrade, Serbia",27.16
12,,"Halifax, Canada",62.50
13,,"Paris, France",74.07
14,,"Ottawa, Canada",81.73
15,,"Thessaloniki, Greece",29.63
16,,"Sofia, Bulgaria",23.89
17,,"Atlanta, GA, United States",85.00
18,,"Berlin, Germany",88.89
19,,"Beirut, Lebanon",-
20,,"Singapore, Singapore",35.71
21,,"Austin, TX, United States",35.00
22,,"Toronto, Canada",116.35
23,,"Auckland, New Zealand",71.31
24,,"Vancouver, Canada",77.88
25,,"Tokyo, Japan",109.67
26,,"Christchurch, New Zealand",65.99
27,,"Winnipeg, Canada",71.15
28,,"Boston, MA, United States",54.00
29,,"Charlotte, NC, United States",75.00
30,,"Chicago, IL, United States",71.00
31,,"Oslo, Norway",88.10
32,,"Bratislava, Slovakia",34.57
33,,"Dallas, TX, United States",55.00
34,,"Denver, CO, United States",-
35,,"Zagreb, Croatia",-
36,,"Detroit, MI, United States",42.50
37,,"Hamburg, Germany",98.77
38,,"Fort Worth, TX, United States",120.00
39,,"Wellington, New Zealand",70.95
40,,"Tehran, Iran",59.00
41,,"Santiago, Chile",20.00
42,,"Honolulu, HI, United States",55.00
43,,"Houston, TX, United States",35.00
44,,"Dubai, United Arab Emirates",50.00
45,,"Indianapolis, IN, United States",-
46,,"Bogota, Colombia",96.00
47,,"Muscat, Oman",35.00
48,,"Munich, Germany",62.96
49,,"Leeds, United Kingdom",92.75
50,,"Kansas City, MO, United States",45.00
51,,"Las Vegas, NV, United States",48.50
52,,"London, United Kingdom",144.20
53,,"Los Angeles, CA, United States",67.50
54,,"Panama City, Panama",12.00
55,,"Manchester, United Kingdom",64.49
56,,"Seoul, South Korea",-
57,,"Prague, Czech Republic",26.66
58,,"Miami, FL, United States",72.00
59,,"Kuala Lumpur, Malaysia",27.61
60,,"New York, NY, United States",90.00
61,,"Copenhagen, Denmark",55.37
62,,"Ljubljana, Slovenia",41.98
63,,"Islamabad, Pakistan",15.00
64,,"Chandigarh, India",7.55
65,,"Athens, Greece",43.21
66,,"Philadelphia, PA, United States",57.50
67,,"Hong Kong, Hong Kong",62.26
68,,"Portland, OR, United States",86.00
69,,"Lisbon, Portugal",24.69
70,,"Beijing, China",29.33
71,,"Richmond, VA, United States",100.00
72,,"Cape Town, South Africa",24.85
73,,"Budapest, Hungary",43.82
74,,"Saint Louis, MO, United States",68.00
75,,"Vilnius, Lithuania",42.91
76,,"Barcelona, Spain",55.56
77,,"San Francisco, CA, United States",70.00
78,,"San Jose, CA, United States",27.50
79,,"Bucharest, Romania",14.71
80,,"Ahmedabad, India",10.79
81,,"Tampa, FL, United States",48.00
82,,"Cluj-Napoca, Romania",14.71
83,,"Hartford, CT, United States",86.00
84,,"Madrid, Spain",59.26
85,,"Tallinn, Estonia",30.18
86,,"Bangalore, India",14.02
87,,"Washington, DC, United States",75.00
88,,"Chennai, India",10.79
89,,"Doha, Qatar",49.38
90,,"Delhi, India",10.79
91,,"Gurgaon, India",18.76
92,,"Vienna, Austria",61.73
93,,"Hyderabad, India",12.94
94,,"Taipei, Taiwan",37.60
95,,"San Juan, Puerto Rico",32.50
96,,"Kolkata, India",8.63
97,,"Belo Horizonte, Brazil",-
98,,"Bangkok, Thailand",27.75
99,,"Shanghai, China",-
100,,"Mumbai, India",10.79
101,,"Amman, Jordan",18.20
102,,"Pune, India",8.63
103,,"Geneva, Switzerland",60.34
104,,"Stockholm, Sweden",88.24
105,,"Buenos Aires, Argentina",21.62
106,,"Curitiba, Brazil",52.75
107,,"Cebu, Philippines",-
108,,"Montreal, Canada",67.31
109,,"Sao Paulo, Brazil",76.92
110,,"Dublin, Ireland",120.99
111,,"Moscow, Russia",29.87
112,,"Zurich, Switzerland",67.67
113,,"Manila, Philippines",21.40
114,,"Brisbane, Australia",84.75
115,,"Jakarta, Indonesia",7.06
116,,"Canberra, Australia",76.27
117,,"Brussels, Belgium",54.32
118,,"Melbourne, Australia",92.88
119,,"Perth, Australia",101.69
120,,"Sydney, Australia",121.19
