,Rank,City,Tennis Court Rent (1 Hour on Weekend)
0,,"Istanbul, Turkey",-
1,,"Helsinki, Finland",-
2,,"Cairo, Egypt",10.00
3,,"Rio de Janeiro, Brazil",14.29
4,,"Mexico City, Mexico",21.28
5,,"Rome, Italy",14.81
6,,"Sarajevo, Bosnia And Herzegovina",12.35
7,,"Kiev (Kyiv), Ukraine",-
8,,"Calgary, Canada",9.62
9,,"Edmonton, Canada",-
10,,"Amsterdam, Netherlands",30.86
11,,"Belgrade, Serbia",14.81
12,,"Halifax, Canada",24.04
13,,"Paris, France",30.86
14,,"Ottawa, Canada",17.31
15,,"Thessaloniki, Greece",-
16,,"Sofia, Bulgaria",14.68
17,,"Atlanta, GA, United States",20.91
18,,"Berlin, Germany",12.35
19,,"Beirut, Lebanon",25.00
20,,"Singapore, Singapore",8.93
21,,"Austin, TX, United States",30.00
22,,"Toronto, Canada",43.27
23,,"Auckland, New Zealand",19.39
24,,"Vancouver, Canada",40.38
25,,"Tokyo, Japan",10.31
26,,"Christchurch, New Zealand",13.61
27,,"Winnipeg, Canada",-
28,,"Boston, MA, United States",42.00
29,,"Charlotte, NC, United States",22.50
30,,"Chicago, IL, United States",-
31,,"Oslo, Norway",30.91
32,,"Bratislava, Slovakia",12.35
33,,"Dallas, TX, United States",20.00
34,,"Denver, CO, United States",-
35,,"Zagreb, Croatia",16.11
36,,"Detroit, MI, United States",22.50
37,,"Hamburg, Germany",12.35
38,,"Fort Worth, TX, United States",-
39,,"Wellington, New Zealand",11.76
40,,"Tehran, Iran",13.00
41,,"Santiago, Chile",15.00
42,,"Honolulu, HI, United States",-
43,,"Houston, TX, United States",67.00
44,,"Dubai, United Arab Emirates",30.00
45,,"Indianapolis, IN, United States",-
46,,"Bogota, Colombia",15.00
47,,"Muscat, Oman",10.00
48,,"Munich, Germany",18.52
49,,"Leeds, United Kingdom",14.49
50,,"Kansas City, MO, United States",31.00
51,,"Las Vegas, NV, United States",30.00
52,,"London, United Kingdom",13.04
53,,"Los Angeles, CA, United States",39.00
54,,"Panama City, Panama",-
55,,"Manchester, United Kingdom",-
56,,"Seoul, South Korea",-
57,,"Prague, Czech Republic",9.62
58,,"Miami, FL, United States",22.00
59,,"Kuala Lumpur, Malaysia",7.67
60,,"New York, NY, United States",42.45
61,,"Copenhagen, Denmark",9.94
62,,"Ljubljana, Slovenia",7.41
63,,"Islamabad, Pakistan",22.00
64,,"Chandigarh, India",11.43
65,,"Athens, Greece",39.09
66,,"Philadelphia, PA, United States",17.50
67,,"Hong Kong, Hong Kong",7.83
68,,"Portland, OR, United States",-
69,,"Lisbon, Portugal",7.41
70,,"Beijing, China",21.99
71,,"Richmond, VA, United States",-
72,,"Cape Town, South Africa",-
73,,"Budapest, Hungary",9.33
74,,"Saint Louis, MO, United States",-
75,,"Vilnius, Lithuania",-
76,,"Barcelona, Spain",17.28
77,,"San Francisco, CA, United States",51.67
78,,"San Jose, CA, United States",25.00
79,,"Bucharest, Romania",12.86
80,,"Ahmedabad, India",11.36
81,,"Tampa, FL, United States",12.50
82,,"Cluj-Napoca, Romania",16.87
83,,"Hartford, CT, United States",15.00
84,,"Madrid, Spain",7.41
85,,"Tallinn, Estonia",-
86,,"Bangalore, India",7.37
87,,"Washington, DC, United States",-
88,,"Chennai, India",9.28
89,,"Doha, Qatar",-
90,,"Delhi, India",12.94
91,,"Gurgaon, India",8.09
92,,"Vienna, Austria",17.90
93,,"Hyderabad, India",6.47
94,,"Taipei, Taiwan",3.70
95,,"San Juan, Puerto Rico",30.00
96,,"Kolkata, India",6.47
97,,"Belo Horizonte, Brazil",10.99
98,,"Bangkok, Thailand",3.69
99,,"Shanghai, China",-
100,,"Mumbai, India",7.19
101,,"Amman, Jordan",6.31
102,,"Pune, India",5.39
103,,"Geneva, Switzerland",21.55
104,,"Stockholm, Sweden",15.77
105,,"Buenos Aires, Argentina",15.00
106,,"Curitiba, Brazil",14.07
107,,"Cebu, Philippines",-
108,,"Montreal, Canada",24.04
109,,"Sao Paulo, Brazil",22.89
110,,"Dublin, Ireland",-
111,,"Moscow, Russia",-
112,,"Zurich, Switzerland",43.10
113,,"Manila, Philippines",-
114,,"Brisbane, Australia",22.46
115,,"Jakarta, Indonesia",6.69
116,,"Canberra, Australia",36.02
117,,"Brussels, Belgium",24.69
118,,"Melbourne, Australia",16.95
119,,"Perth, Australia",13.93
120,,"Sydney, Australia",23.31
