,Rank,City,One-way Ticket (Local Transport)
0,,"Istanbul, Turkey",1.00
1,,"Helsinki, Finland",3.09
2,,"Cairo, Egypt",0.32
3,,"Rio de Janeiro, Brazil",1.29
4,,"Mexico City, Mexico",0.33
5,,"Rome, Italy",1.23
6,,"Sarajevo, Bosnia And Herzegovina",0.86
7,,"Kiev (Kyiv), Ukraine",0.20
8,,"Calgary, Canada",2.64
9,,"Edmonton, Canada",2.64
10,,"Amsterdam, Netherlands",3.21
11,,"Belgrade, Serbia",0.56
12,,"Halifax, Canada",1.92
13,,"Paris, France",2.10
14,,"Ottawa, Canada",2.64
15,,"Thessaloniki, Greece",0.74
16,,"Sofia, Bulgaria",0.93
17,,"Atlanta, GA, United States",-
18,,"Berlin, Germany",2.59
19,,"Beirut, Lebanon",-
20,,"Singapore, Singapore",1.43
21,,"Austin, TX, United States",2.00
22,,"Toronto, Canada",2.88
23,,"Auckland, New Zealand",1.53
24,,"Vancouver, Canada",2.40
25,,"Tokyo, Japan",2.19
26,,"Christchurch, New Zealand",1.63
27,,"Winnipeg, Canada",2.26
28,,"Boston, MA, United States",2.00
29,,"Charlotte, NC, United States",5.00
30,,"Chicago, IL, United States",2.25
31,,"Oslo, Norway",4.71
32,,"Bratislava, Slovakia",0.62
33,,"Dallas, TX, United States",1.50
34,,"Denver, CO, United States",4.00
35,,"Zagreb, Croatia",1.67
36,,"Detroit, MI, United States",1.50
37,,"Hamburg, Germany",4.72
38,,"Fort Worth, TX, United States",5.00
39,,"Wellington, New Zealand",1.02
40,,"Tehran, Iran",0.25
41,,"Santiago, Chile",1.07
42,,"Honolulu, HI, United States",2.50
43,,"Houston, TX, United States",1.50
44,,"Dubai, United Arab Emirates",1.60
45,,"Indianapolis, IN, United States",-
46,,"Bogota, Colombia",0.80
47,,"Muscat, Oman",-
48,,"Munich, Germany",5.80
49,,"Leeds, United Kingdom",2.46
50,,"Kansas City, MO, United States",1.25
51,,"Las Vegas, NV, United States",2.00
52,,"London, United Kingdom",5.07
53,,"Los Angeles, CA, United States",1.75
54,,"Panama City, Panama",0.25
55,,"Manchester, United Kingdom",5.80
56,,"Seoul, South Korea",-
57,,"Prague, Czech Republic",1.07
58,,"Miami, FL, United States",2.00
59,,"Kuala Lumpur, Malaysia",0.92
60,,"New York, NY, United States",2.25
61,,"Copenhagen, Denmark",4.55
62,,"Ljubljana, Slovenia",0.99
63,,"Islamabad, Pakistan",0.28
64,,"Chandigarh, India",0.22
65,,"Athens, Greece",1.23
66,,"Philadelphia, PA, United States",3.00
67,,"Hong Kong, Hong Kong",1.03
68,,"Portland, OR, United States",2.15
69,,"Lisbon, Portugal",1.73
70,,"Beijing, China",0.29
71,,"Richmond, VA, United States",6.00
72,,"Cape Town, South Africa",1.57
73,,"Budapest, Hungary",1.43
74,,"Saint Louis, MO, United States",3.25
75,,"Vilnius, Lithuania",0.80
76,,"Barcelona, Spain",1.79
77,,"San Francisco, CA, United States",2.00
78,,"San Jose, CA, United States",2.00
79,,"Bucharest, Romania",0.38
80,,"Ahmedabad, India",0.43
81,,"Tampa, FL, United States",1.88
82,,"Cluj-Napoca, Romania",0.52
83,,"Hartford, CT, United States",4.00
84,,"Madrid, Spain",1.23
85,,"Tallinn, Estonia",1.18
86,,"Bangalore, India",0.38
87,,"Washington, DC, United States",4.00
88,,"Chennai, India",0.22
89,,"Doha, Qatar",0.99
90,,"Delhi, India",0.43
91,,"Gurgaon, India",0.54
92,,"Vienna, Austria",2.35
93,,"Hyderabad, India",0.32
94,,"Taipei, Taiwan",0.64
95,,"San Juan, Puerto Rico",1.50
96,,"Kolkata, India",0.26
97,,"Belo Horizonte, Brazil",1.26
98,,"Bangkok, Thailand",0.70
99,,"Shanghai, China",0.44
100,,"Mumbai, India",0.22
101,,"Amman, Jordan",0.57
102,,"Pune, India",0.22
103,,"Geneva, Switzerland",2.59
104,,"Stockholm, Sweden",3.84
105,,"Buenos Aires, Argentina",0.45
106,,"Curitiba, Brazil",1.21
107,,"Cebu, Philippines",0.22
108,,"Montreal, Canada",2.64
109,,"Sao Paulo, Brazil",1.48
110,,"Dublin, Ireland",2.22
111,,"Moscow, Russia",0.91
112,,"Zurich, Switzerland",3.36
113,,"Manila, Philippines",0.32
114,,"Brisbane, Australia",3.39
115,,"Jakarta, Indonesia",0.38
116,,"Canberra, Australia",3.39
117,,"Brussels, Belgium",2.10
118,,"Melbourne, Australia",3.39
119,,"Perth, Australia",2.54
120,,"Sydney, Australia",3.98
