,Rank,City,Domestic Beer (0.5 liter draught)
0,,"Istanbul, Turkey",3.18
1,,"Helsinki, Finland",6.79
2,,"Cairo, Egypt",1.10
3,,"Rio de Janeiro, Brazil",1.40
4,,"Mexico City, Mexico",1.32
5,,"Rome, Italy",5.56
6,,"Sarajevo, Bosnia And Herzegovina",2.16
7,,"Kiev (Kyiv), Ukraine",2.00
8,,"Calgary, Canada",5.29
9,,"Edmonton, Canada",4.57
10,,"Amsterdam, Netherlands",4.69
11,,"Belgrade, Serbia",1.49
12,,"Halifax, Canada",4.33
13,,"Paris, France",7.41
14,,"Ottawa, Canada",4.81
15,,"Thessaloniki, Greece",4.01
16,,"Sofia, Bulgaria",1.51
17,,"Atlanta, GA, United States",3.84
18,,"Berlin, Germany",2.72
19,,"Beirut, Lebanon",1.00
20,,"Singapore, Singapore",5.00
21,,"Austin, TX, United States",3.25
22,,"Toronto, Canada",5.76
23,,"Auckland, New Zealand",5.10
24,,"Vancouver, Canada",4.81
25,,"Tokyo, Japan",3.29
26,,"Christchurch, New Zealand",3.06
27,,"Winnipeg, Canada",3.85
28,,"Boston, MA, United States",3.25
29,,"Charlotte, NC, United States",3.00
30,,"Chicago, IL, United States",4.00
31,,"Oslo, Norway",10.82
32,,"Bratislava, Slovakia",1.48
33,,"Dallas, TX, United States",3.50
34,,"Denver, CO, United States",3.50
35,,"Zagreb, Croatia",2.35
36,,"Detroit, MI, United States",3.38
37,,"Hamburg, Germany",4.01
38,,"Fort Worth, TX, United States",2.50
39,,"Wellington, New Zealand",4.76
40,,"Tehran, Iran",1.14
41,,"Santiago, Chile",3.09
42,,"Honolulu, HI, United States",2.50
43,,"Houston, TX, United States",2.00
44,,"Dubai, United Arab Emirates",7.03
45,,"Indianapolis, IN, United States",4.00
46,,"Bogota, Colombia",1.66
47,,"Muscat, Oman",4.79
48,,"Munich, Germany",2.47
49,,"Leeds, United Kingdom",3.26
50,,"Kansas City, MO, United States",3.00
51,,"Las Vegas, NV, United States",2.00
52,,"London, United Kingdom",4.78
53,,"Los Angeles, CA, United States",3.38
54,,"Panama City, Panama",1.23
55,,"Manchester, United Kingdom",3.99
56,,"Seoul, South Korea",1.87
57,,"Prague, Czech Republic",1.24
58,,"Miami, FL, United States",2.75
59,,"Kuala Lumpur, Malaysia",3.14
60,,"New York, NY, United States",5.50
61,,"Copenhagen, Denmark",4.96
62,,"Ljubljana, Slovenia",2.72
63,,"Islamabad, Pakistan",-
64,,"Chandigarh, India",1.29
65,,"Athens, Greece",4.32
66,,"Philadelphia, PA, United States",3.00
67,,"Hong Kong, Hong Kong",0.96
68,,"Portland, OR, United States",3.50
69,,"Lisbon, Portugal",1.85
70,,"Beijing, China",1.47
71,,"Richmond, VA, United States",3.00
72,,"Cape Town, South Africa",1.96
73,,"Budapest, Hungary",1.41
74,,"Saint Louis, MO, United States",2.50
75,,"Vilnius, Lithuania",1.07
76,,"Barcelona, Spain",3.40
77,,"San Francisco, CA, United States",4.00
78,,"San Jose, CA, United States",4.00
79,,"Bucharest, Romania",1.23
80,,"Ahmedabad, India",2.16
81,,"Tampa, FL, United States",2.50
82,,"Cluj-Napoca, Romania",1.47
83,,"Hartford, CT, United States",3.00
84,,"Madrid, Spain",3.09
85,,"Tallinn, Estonia",2.21
86,,"Bangalore, India",1.62
87,,"Washington, DC, United States",4.00
88,,"Chennai, India",1.62
89,,"Doha, Qatar",4.94
90,,"Delhi, India",1.51
91,,"Gurgaon, India",1.40
92,,"Vienna, Austria",-
93,,"Hyderabad, India",1.97
94,,"Taipei, Taiwan",0.90
95,,"San Juan, Puerto Rico",1.50
96,,"Kolkata, India",1.13
97,,"Belo Horizonte, Brazil",1.76
98,,"Bangkok, Thailand",1.62
99,,"Shanghai, China",6.00
100,,"Mumbai, India",1.51
101,,"Amman, Jordan",3.00
102,,"Pune, India",1.73
103,,"Geneva, Switzerland",3.45
104,,"Stockholm, Sweden",5.12
105,,"Buenos Aires, Argentina",2.00
106,,"Curitiba, Brazil",1.22
107,,"Cebu, Philippines",0.54
108,,"Montreal, Canada",4.81
109,,"Sao Paulo, Brazil",1.92
110,,"Dublin, Ireland",6.17
111,,"Moscow, Russia",1.68
112,,"Zurich, Switzerland",4.74
113,,"Manila, Philippines",1.25
114,,"Brisbane, Australia",5.93
115,,"Jakarta, Indonesia",1.62
116,,"Canberra, Australia",4.66
117,,"Brussels, Belgium",4.07
118,,"Melbourne, Australia",4.66
119,,"Perth, Australia",6.78
120,,"Sydney, Australia",5.08
