,Rank,City,Eggs (regular) (12)
0,,"Istanbul, Turkey",3.18
1,,"Helsinki, Finland",-
2,,"Cairo, Egypt",1.51
3,,"Rio de Janeiro, Brazil",-
4,,"Mexico City, Mexico",1.41
5,,"Rome, Italy",3.09
6,,"Sarajevo, Bosnia And Herzegovina",3.70
7,,"Kiev (Kyiv), Ukraine",1.20
8,,"Calgary, Canada",2.26
9,,"Edmonton, Canada",2.59
10,,"Amsterdam, Netherlands",1.23
11,,"Belgrade, Serbia",1.36
12,,"Halifax, Canada",1.92
13,,"Paris, France",-
14,,"Ottawa, Canada",2.56
15,,"Thessaloniki, Greece",4.94
16,,"Sofia, Bulgaria",1.64
17,,"Atlanta, GA, United States",2.08
18,,"Berlin, Germany",2.00
19,,"Beirut, Lebanon",1.67
20,,"Singapore, Singapore",1.86
21,,"Austin, TX, United States",2.05
22,,"Toronto, Canada",3.37
23,,"Auckland, New Zealand",3.15
24,,"Vancouver, Canada",3.43
25,,"Tokyo, Japan",2.85
26,,"Christchurch, New Zealand",2.04
27,,"Winnipeg, Canada",2.66
28,,"Boston, MA, United States",3.00
29,,"Charlotte, NC, United States",2.12
30,,"Chicago, IL, United States",1.94
31,,"Oslo, Norway",6.80
32,,"Bratislava, Slovakia",1.47
33,,"Dallas, TX, United States",1.90
34,,"Denver, CO, United States",2.00
35,,"Zagreb, Croatia",2.20
36,,"Detroit, MI, United States",1.50
37,,"Hamburg, Germany",3.70
38,,"Fort Worth, TX, United States",2.46
39,,"Wellington, New Zealand",2.63
40,,"Tehran, Iran",1.90
41,,"Santiago, Chile",2.03
42,,"Honolulu, HI, United States",4.24
43,,"Houston, TX, United States",1.35
44,,"Dubai, United Arab Emirates",2.14
45,,"Indianapolis, IN, United States",1.42
46,,"Bogota, Colombia",1.77
47,,"Muscat, Oman",-
48,,"Munich, Germany",3.70
49,,"Leeds, United Kingdom",2.72
50,,"Kansas City, MO, United States",2.51
51,,"Las Vegas, NV, United States",3.33
52,,"London, United Kingdom",2.81
53,,"Los Angeles, CA, United States",2.20
54,,"Panama City, Panama",3.00
55,,"Manchester, United Kingdom",2.32
56,,"Seoul, South Korea",2.00
57,,"Prague, Czech Republic",-
58,,"Miami, FL, United States",2.29
59,,"Kuala Lumpur, Malaysia",1.16
60,,"New York, NY, United States",4.00
61,,"Copenhagen, Denmark",3.31
62,,"Ljubljana, Slovenia",2.16
63,,"Islamabad, Pakistan",0.85
64,,"Chandigarh, India",0.77
65,,"Athens, Greece",3.77
66,,"Philadelphia, PA, United States",1.93
67,,"Hong Kong, Hong Kong",2.07
68,,"Portland, OR, United States",2.00
69,,"Lisbon, Portugal",3.09
70,,"Beijing, China",1.30
71,,"Richmond, VA, United States",2.33
72,,"Cape Town, South Africa",1.80
73,,"Budapest, Hungary",1.85
74,,"Saint Louis, MO, United States",1.34
75,,"Vilnius, Lithuania",1.48
76,,"Barcelona, Spain",3.24
77,,"San Francisco, CA, United States",3.00
78,,"San Jose, CA, United States",2.33
79,,"Bucharest, Romania",2.00
80,,"Ahmedabad, India",0.75
81,,"Tampa, FL, United States",2.30
82,,"Cluj-Napoca, Romania",1.90
83,,"Hartford, CT, United States",2.65
84,,"Madrid, Spain",-
85,,"Tallinn, Estonia",1.46
86,,"Bangalore, India",0.80
87,,"Washington, DC, United States",2.00
88,,"Chennai, India",0.76
89,,"Doha, Qatar",2.70
90,,"Delhi, India",0.92
91,,"Gurgaon, India",0.97
92,,"Vienna, Austria",3.64
93,,"Hyderabad, India",0.85
94,,"Taipei, Taiwan",1.85
95,,"San Juan, Puerto Rico",2.54
96,,"Kolkata, India",0.86
97,,"Belo Horizonte, Brazil",0.66
98,,"Bangkok, Thailand",1.83
99,,"Shanghai, China",-
100,,"Mumbai, India",0.76
101,,"Amman, Jordan",1.20
102,,"Pune, India",0.85
103,,"Geneva, Switzerland",3.45
104,,"Stockholm, Sweden",2.72
105,,"Buenos Aires, Argentina",1.56
106,,"Curitiba, Brazil",1.80
107,,"Cebu, Philippines",1.17
108,,"Montreal, Canada",2.64
109,,"Sao Paulo, Brazil",4.09
110,,"Dublin, Ireland",3.50
111,,"Moscow, Russia",1.59
112,,"Zurich, Switzerland",5.39
113,,"Manila, Philippines",1.21
114,,"Brisbane, Australia",3.39
115,,"Jakarta, Indonesia",1.81
116,,"Canberra, Australia",2.82
117,,"Brussels, Belgium",3.09
118,,"Melbourne, Australia",4.03
119,,"Perth, Australia",4.52
120,,"Sydney, Australia",4.38
