,Rank,City,Price per Square Meter to Buy Apartment Outside of Centre
0,,"Istanbul, Turkey",1910.83
1,,"Helsinki, Finland",4875.31
2,,"Cairo, Egypt",734.55
3,,"Rio de Janeiro, Brazil",3296.70
4,,"Mexico City, Mexico",1934.98
5,,"Rome, Italy",-
6,,"Sarajevo, Bosnia And Herzegovina",987.65
7,,"Kiev (Kyiv), Ukraine",1350.00
8,,"Calgary, Canada",2478.80
9,,"Edmonton, Canada",-
10,,"Amsterdam, Netherlands",3703.70
11,,"Belgrade, Serbia",1728.40
12,,"Halifax, Canada",-
13,,"Paris, France",6790.12
14,,"Ottawa, Canada",1730.77
15,,"Thessaloniki, Greece",2160.49
16,,"Sofia, Bulgaria",917.84
17,,"Atlanta, GA, United States",-
18,,"Berlin, Germany",5432.10
19,,"Beirut, Lebanon",2500.00
20,,"Singapore, Singapore",6339.96
21,,"Austin, TX, United States",1345.49
22,,"Toronto, Canada",2805.99
23,,"Auckland, New Zealand",2714.97
24,,"Vancouver, Canada",4657.46
25,,"Tokyo, Japan",4386.93
26,,"Christchurch, New Zealand",2561.90
27,,"Winnipeg, Canada",-
28,,"Boston, MA, United States",-
29,,"Charlotte, NC, United States",1614.59
30,,"Chicago, IL, United States",1372.40
31,,"Oslo, Norway",-
32,,"Bratislava, Slovakia",1654.32
33,,"Dallas, TX, United States",-
34,,"Denver, CO, United States",1329.34
35,,"Zagreb, Croatia",1790.12
36,,"Detroit, MI, United States",1000.00
37,,"Hamburg, Germany",2469.14
38,,"Fort Worth, TX, United States",1345.49
39,,"Wellington, New Zealand",3945.58
40,,"Tehran, Iran",3250.00
41,,"Santiago, Chile",-
42,,"Honolulu, HI, United States",-
43,,"Houston, TX, United States",807.29
44,,"Dubai, United Arab Emirates",2928.93
45,,"Indianapolis, IN, United States",-
46,,"Bogota, Colombia",-
47,,"Muscat, Oman",-
48,,"Munich, Germany",-
49,,"Leeds, United Kingdom",1739.13
50,,"Kansas City, MO, United States",1668.41
51,,"Las Vegas, NV, United States",968.75
52,,"London, United Kingdom",7246.38
53,,"Los Angeles, CA, United States",2332.18
54,,"Panama City, Panama",800.00
55,,"Manchester, United Kingdom",-
56,,"Seoul, South Korea",-
57,,"Prague, Czech Republic",2666.02
58,,"Miami, FL, United States",1722.23
59,,"Kuala Lumpur, Malaysia",-
60,,"New York, NY, United States",-
61,,"Copenhagen, Denmark",3853.99
62,,"Ljubljana, Slovenia",3086.42
63,,"Islamabad, Pakistan",1200.00
64,,"Chandigarh, India",-
65,,"Athens, Greece",2839.51
66,,"Philadelphia, PA, United States",-
67,,"Hong Kong, Hong Kong",7369.68
68,,"Portland, OR, United States",-
69,,"Lisbon, Portugal",-
70,,"Beijing, China",2602.64
71,,"Richmond, VA, United States",-
72,,"Cape Town, South Africa",1127.09
73,,"Budapest, Hungary",1255.17
74,,"Saint Louis, MO, United States",-
75,,"Vilnius, Lithuania",1455.85
76,,"Barcelona, Spain",3703.70
77,,"San Francisco, CA, United States",6000.00
78,,"San Jose, CA, United States",1754.59
79,,"Bucharest, Romania",1227.50
80,,"Ahmedabad, India",539.26
81,,"Tampa, FL, United States",-
82,,"Cluj-Napoca, Romania",1081.74
83,,"Hartford, CT, United States",2300.00
84,,"Madrid, Spain",3580.25
85,,"Tallinn, Estonia",1163.82
86,,"Bangalore, India",702.28
87,,"Washington, DC, United States",2653.36
88,,"Chennai, India",882.29
89,,"Doha, Qatar",-
90,,"Delhi, India",872.55
91,,"Gurgaon, India",986.77
92,,"Vienna, Austria",-
93,,"Hyderabad, India",550.64
94,,"Taipei, Taiwan",4070.17
95,,"San Juan, Puerto Rico",-
96,,"Kolkata, India",489.53
97,,"Belo Horizonte, Brazil",-
98,,"Bangkok, Thailand",1659.56
99,,"Shanghai, China",3567.94
100,,"Mumbai, India",1192.03
101,,"Amman, Jordan",800.00
102,,"Pune, India",695.04
103,,"Geneva, Switzerland",-
104,,"Stockholm, Sweden",4688.83
105,,"Buenos Aires, Argentina",1250.00
106,,"Curitiba, Brazil",824.18
107,,"Cebu, Philippines",226.54
108,,"Montreal, Canada",-
109,,"Sao Paulo, Brazil",1684.98
110,,"Dublin, Ireland",-
111,,"Moscow, Russia",4494.23
112,,"Zurich, Switzerland",-
113,,"Manila, Philippines",744.50
114,,"Brisbane, Australia",2966.10
115,,"Jakarta, Indonesia",-
116,,"Canberra, Australia",3930.79
117,,"Brussels, Belgium",-
118,,"Melbourne, Australia",4237.29
119,,"Perth, Australia",3601.69
120,,"Sydney, Australia",6567.80
