,Rank,City,1 Pair of Men Leather Business Shoes
0,,"Istanbul, Turkey",50.96
1,,"Helsinki, Finland",172.84
2,,"Cairo, Egypt",155.00
3,,"Rio de Janeiro, Brazil",145.60
4,,"Mexico City, Mexico",77.96
5,,"Rome, Italy",185.19
6,,"Sarajevo, Bosnia And Herzegovina",95.68
7,,"Kiev (Kyiv), Ukraine",85.00
8,,"Calgary, Canada",129.81
9,,"Edmonton, Canada",115.38
10,,"Amsterdam, Netherlands",185.19
11,,"Belgrade, Serbia",121.40
12,,"Halifax, Canada",96.15
13,,"Paris, France",146.91
14,,"Ottawa, Canada",120.19
15,,"Thessaloniki, Greece",74.07
16,,"Sofia, Bulgaria",84.91
17,,"Atlanta, GA, United States",87.50
18,,"Berlin, Germany",111.11
19,,"Beirut, Lebanon",79.50
20,,"Singapore, Singapore",80.00
21,,"Austin, TX, United States",65.00
22,,"Toronto, Canada",143.75
23,,"Auckland, New Zealand",156.46
24,,"Vancouver, Canada",112.98
25,,"Tokyo, Japan",131.61
26,,"Christchurch, New Zealand",119.05
27,,"Winnipeg, Canada",107.68
28,,"Boston, MA, United States",240.00
29,,"Charlotte, NC, United States",75.00
30,,"Chicago, IL, United States",150.00
31,,"Oslo, Norway",154.56
32,,"Bratislava, Slovakia",-
33,,"Dallas, TX, United States",100.00
34,,"Denver, CO, United States",57.50
35,,"Zagreb, Croatia",95.68
36,,"Detroit, MI, United States",90.00
37,,"Hamburg, Germany",122.22
38,,"Fort Worth, TX, United States",45.00
39,,"Wellington, New Zealand",146.26
40,,"Tehran, Iran",50.00
41,,"Santiago, Chile",90.00
42,,"Honolulu, HI, United States",159.99
43,,"Houston, TX, United States",50.00
44,,"Dubai, United Arab Emirates",125.00
45,,"Indianapolis, IN, United States",250.00
46,,"Bogota, Colombia",50.00
47,,"Muscat, Oman",-
48,,"Munich, Germany",-
49,,"Leeds, United Kingdom",144.93
50,,"Kansas City, MO, United States",92.50
51,,"Las Vegas, NV, United States",60.00
52,,"London, United Kingdom",91.39
53,,"Los Angeles, CA, United States",72.50
54,,"Panama City, Panama",-
55,,"Manchester, United Kingdom",65.22
56,,"Seoul, South Korea",-
57,,"Prague, Czech Republic",67.86
58,,"Miami, FL, United States",100.00
59,,"Kuala Lumpur, Malaysia",58.73
60,,"New York, NY, United States",124.50
61,,"Copenhagen, Denmark",181.82
62,,"Ljubljana, Slovenia",98.77
63,,"Islamabad, Pakistan",41.00
64,,"Chandigarh, India",53.93
65,,"Athens, Greece",144.03
66,,"Philadelphia, PA, United States",83.00
67,,"Hong Kong, Hong Kong",160.40
68,,"Portland, OR, United States",50.00
69,,"Lisbon, Portugal",123.46
70,,"Beijing, China",146.63
71,,"Richmond, VA, United States",65.00
72,,"Cape Town, South Africa",86.16
73,,"Budapest, Hungary",34.69
74,,"Saint Louis, MO, United States",180.00
75,,"Vilnius, Lithuania",64.36
76,,"Barcelona, Spain",74.07
77,,"San Francisco, CA, United States",126.33
78,,"San Jose, CA, United States",100.00
79,,"Bucharest, Romania",84.20
80,,"Ahmedabad, India",75.50
81,,"Tampa, FL, United States",49.00
82,,"Cluj-Napoca, Romania",66.18
83,,"Hartford, CT, United States",50.00
84,,"Madrid, Spain",117.28
85,,"Tallinn, Estonia",71.01
86,,"Bangalore, India",62.55
87,,"Washington, DC, United States",70.00
88,,"Chennai, India",49.83
89,,"Doha, Qatar",-
90,,"Delhi, India",51.77
91,,"Gurgaon, India",56.08
92,,"Vienna, Austria",123.46
93,,"Hyderabad, India",57.52
94,,"Taipei, Taiwan",103.00
95,,"San Juan, Puerto Rico",-
96,,"Kolkata, India",38.81
97,,"Belo Horizonte, Brazil",104.40
98,,"Bangkok, Thailand",61.67
99,,"Shanghai, China",-
100,,"Mumbai, India",50.33
101,,"Amman, Jordan",100.00
102,,"Pune, India",44.58
103,,"Geneva, Switzerland",129.31
104,,"Stockholm, Sweden",117.07
105,,"Buenos Aires, Argentina",93.33
106,,"Curitiba, Brazil",178.57
107,,"Cebu, Philippines",62.57
108,,"Montreal, Canada",129.81
109,,"Sao Paulo, Brazil",91.58
110,,"Dublin, Ireland",118.93
111,,"Moscow, Russia",143.34
112,,"Zurich, Switzerland",150.86
113,,"Manila, Philippines",-
114,,"Brisbane, Australia",135.59
115,,"Jakarta, Indonesia",32.31
116,,"Canberra, Australia",127.12
117,,"Brussels, Belgium",135.80
118,,"Melbourne, Australia",151.69
119,,"Perth, Australia",105.93
120,,"Sydney, Australia",118.64
