,Rank,City,McMeal at McDonalds (or Equivalent Combo Meal)
0,,"Istanbul, Turkey",6.37
1,,"Helsinki, Finland",-
2,,"Cairo, Egypt",5.00
3,,"Rio de Janeiro, Brazil",10.99
4,,"Mexico City, Mexico",5.03
5,,"Rome, Italy",6.54
6,,"Sarajevo, Bosnia And Herzegovina",6.17
7,,"Kiev (Kyiv), Ukraine",4.50
8,,"Calgary, Canada",7.69
9,,"Edmonton, Canada",6.61
10,,"Amsterdam, Netherlands",7.25
11,,"Belgrade, Serbia",4.07
12,,"Halifax, Canada",6.25
13,,"Paris, France",9.88
14,,"Ottawa, Canada",6.73
15,,"Thessaloniki, Greece",9.26
16,,"Sofia, Bulgaria",-
17,,"Atlanta, GA, United States",6.00
18,,"Berlin, Germany",8.02
19,,"Beirut, Lebanon",5.00
20,,"Singapore, Singapore",5.00
21,,"Austin, TX, United States",7.00
22,,"Toronto, Canada",6.73
23,,"Auckland, New Zealand",6.09
24,,"Vancouver, Canada",6.73
25,,"Tokyo, Japan",6.31
26,,"Christchurch, New Zealand",5.78
27,,"Winnipeg, Canada",5.46
28,,"Boston, MA, United States",7.50
29,,"Charlotte, NC, United States",5.67
30,,"Chicago, IL, United States",5.00
31,,"Oslo, Norway",13.91
32,,"Bratislava, Slovakia",5.25
33,,"Dallas, TX, United States",6.00
34,,"Denver, CO, United States",6.00
35,,"Zagreb, Croatia",6.17
36,,"Detroit, MI, United States",5.79
37,,"Hamburg, Germany",10.97
38,,"Fort Worth, TX, United States",6.00
39,,"Wellington, New Zealand",4.76
40,,"Tehran, Iran",4.75
41,,"Santiago, Chile",7.00
42,,"Honolulu, HI, United States",8.59
43,,"Houston, TX, United States",5.50
44,,"Dubai, United Arab Emirates",5.67
45,,"Indianapolis, IN, United States",5.22
46,,"Bogota, Colombia",5.63
47,,"Muscat, Oman",5.56
48,,"Munich, Germany",8.64
49,,"Leeds, United Kingdom",7.54
50,,"Kansas City, MO, United States",6.00
51,,"Las Vegas, NV, United States",5.00
52,,"London, United Kingdom",7.23
53,,"Los Angeles, CA, United States",6.00
54,,"Panama City, Panama",5.00
55,,"Manchester, United Kingdom",7.25
56,,"Seoul, South Korea",5.58
57,,"Prague, Czech Republic",4.85
58,,"Miami, FL, United States",5.50
59,,"Kuala Lumpur, Malaysia",3.68
60,,"New York, NY, United States",6.50
61,,"Copenhagen, Denmark",9.92
62,,"Ljubljana, Slovenia",6.17
63,,"Islamabad, Pakistan",4.88
64,,"Chandigarh, India",3.24
65,,"Athens, Greece",8.64
66,,"Philadelphia, PA, United States",6.00
67,,"Hong Kong, Hong Kong",3.85
68,,"Portland, OR, United States",5.50
69,,"Lisbon, Portugal",7.41
70,,"Beijing, China",4.11
71,,"Richmond, VA, United States",6.00
72,,"Cape Town, South Africa",5.03
73,,"Budapest, Hungary",5.37
74,,"Saint Louis, MO, United States",6.25
75,,"Vilnius, Lithuania",5.02
76,,"Barcelona, Spain",8.64
77,,"San Francisco, CA, United States",5.00
78,,"San Jose, CA, United States",6.00
79,,"Bucharest, Romania",4.41
80,,"Ahmedabad, India",4.21
81,,"Tampa, FL, United States",7.00
82,,"Cluj-Napoca, Romania",5.03
83,,"Hartford, CT, United States",6.25
84,,"Madrid, Spain",7.41
85,,"Tallinn, Estonia",5.09
86,,"Bangalore, India",4.31
87,,"Washington, DC, United States",7.00
88,,"Chennai, India",3.24
89,,"Doha, Qatar",6.23
90,,"Delhi, India",4.31
91,,"Gurgaon, India",2.91
92,,"Vienna, Austria",12.35
93,,"Hyderabad, India",6.47
94,,"Taipei, Taiwan",4.00
95,,"San Juan, Puerto Rico",5.23
96,,"Kolkata, India",3.45
97,,"Belo Horizonte, Brazil",8.24
98,,"Bangkok, Thailand",3.70
99,,"Shanghai, China",3.58
100,,"Mumbai, India",3.77
101,,"Amman, Jordan",6.50
102,,"Pune, India",2.80
103,,"Geneva, Switzerland",10.30
104,,"Stockholm, Sweden",8.96
105,,"Buenos Aires, Argentina",7.00
106,,"Curitiba, Brazil",8.24
107,,"Cebu, Philippines",2.76
108,,"Montreal, Canada",6.93
109,,"Sao Paulo, Brazil",8.24
110,,"Dublin, Ireland",8.64
111,,"Moscow, Russia",7.45
112,,"Zurich, Switzerland",10.60
113,,"Manila, Philippines",3.33
114,,"Brisbane, Australia",6.78
115,,"Jakarta, Indonesia",4.31
116,,"Canberra, Australia",6.78
117,,"Brussels, Belgium",-
118,,"Melbourne, Australia",6.76
119,,"Perth, Australia",5.93
120,,"Sydney, Australia",6.78
