,Rank,City,Domestic Beer (0.5 liter bottle)
0,,"Istanbul, Turkey",1.79
1,,"Helsinki, Finland",-
2,,"Cairo, Egypt",1.50
3,,"Rio de Janeiro, Brazil",2.80
4,,"Mexico City, Mexico",1.14
5,,"Rome, Italy",1.85
6,,"Sarajevo, Bosnia And Herzegovina",0.99
7,,"Kiev (Kyiv), Ukraine",0.50
8,,"Calgary, Canada",4.25
9,,"Edmonton, Canada",3.39
10,,"Amsterdam, Netherlands",-
11,,"Belgrade, Serbia",0.51
12,,"Halifax, Canada",2.64
13,,"Paris, France",-
14,,"Ottawa, Canada",2.81
15,,"Thessaloniki, Greece",1.42
16,,"Sofia, Bulgaria",0.47
17,,"Atlanta, GA, United States",3.83
18,,"Berlin, Germany",1.10
19,,"Beirut, Lebanon",0.83
20,,"Singapore, Singapore",4.14
21,,"Austin, TX, United States",2.25
22,,"Toronto, Canada",3.02
23,,"Auckland, New Zealand",2.21
24,,"Vancouver, Canada",3.25
25,,"Tokyo, Japan",2.69
26,,"Christchurch, New Zealand",2.72
27,,"Winnipeg, Canada",2.89
28,,"Boston, MA, United States",2.92
29,,"Charlotte, NC, United States",3.83
30,,"Chicago, IL, United States",2.50
31,,"Oslo, Norway",3.86
32,,"Bratislava, Slovakia",1.08
33,,"Dallas, TX, United States",2.85
34,,"Denver, CO, United States",1.50
35,,"Zagreb, Croatia",0.99
36,,"Detroit, MI, United States",1.65
37,,"Hamburg, Germany",1.85
38,,"Fort Worth, TX, United States",4.00
39,,"Wellington, New Zealand",3.16
40,,"Tehran, Iran",0.62
41,,"Santiago, Chile",0.30
42,,"Honolulu, HI, United States",3.00
43,,"Houston, TX, United States",1.83
44,,"Dubai, United Arab Emirates",-
45,,"Indianapolis, IN, United States",5.00
46,,"Bogota, Colombia",-
47,,"Muscat, Oman",1.78
48,,"Munich, Germany",0.95
49,,"Leeds, United Kingdom",2.06
50,,"Kansas City, MO, United States",3.50
51,,"Las Vegas, NV, United States",1.00
52,,"London, United Kingdom",1.83
53,,"Los Angeles, CA, United States",2.80
54,,"Panama City, Panama",0.40
55,,"Manchester, United Kingdom",4.35
56,,"Seoul, South Korea",1.95
57,,"Prague, Czech Republic",-
58,,"Miami, FL, United States",-
59,,"Kuala Lumpur, Malaysia",2.53
60,,"New York, NY, United States",6.00
61,,"Copenhagen, Denmark",2.92
62,,"Ljubljana, Slovenia",1.17
63,,"Islamabad, Pakistan",-
64,,"Chandigarh, India",1.11
65,,"Athens, Greece",1.69
66,,"Philadelphia, PA, United States",3.12
67,,"Hong Kong, Hong Kong",1.07
68,,"Portland, OR, United States",-
69,,"Lisbon, Portugal",0.99
70,,"Beijing, China",0.69
71,,"Richmond, VA, United States",1.50
72,,"Cape Town, South Africa",1.17
73,,"Budapest, Hungary",1.36
74,,"Saint Louis, MO, United States",1.00
75,,"Vilnius, Lithuania",0.83
76,,"Barcelona, Spain",1.60
77,,"San Francisco, CA, United States",2.00
78,,"San Jose, CA, United States",3.00
79,,"Bucharest, Romania",0.72
80,,"Ahmedabad, India",0.81
81,,"Tampa, FL, United States",2.00
82,,"Cluj-Napoca, Romania",0.68
83,,"Hartford, CT, United States",2.00
84,,"Madrid, Spain",-
85,,"Tallinn, Estonia",1.03
86,,"Bangalore, India",1.51
87,,"Washington, DC, United States",1.98
88,,"Chennai, India",1.71
89,,"Doha, Qatar",-
90,,"Delhi, India",1.29
91,,"Gurgaon, India",1.40
92,,"Vienna, Austria",-
93,,"Hyderabad, India",1.62
94,,"Taipei, Taiwan",1.71
95,,"San Juan, Puerto Rico",1.25
96,,"Kolkata, India",1.83
97,,"Belo Horizonte, Brazil",1.37
98,,"Bangkok, Thailand",1.85
99,,"Shanghai, China",-
100,,"Mumbai, India",1.37
101,,"Amman, Jordan",1.90
102,,"Pune, India",1.92
103,,"Geneva, Switzerland",2.37
104,,"Stockholm, Sweden",2.00
105,,"Buenos Aires, Argentina",0.94
106,,"Curitiba, Brazil",1.02
107,,"Cebu, Philippines",0.78
108,,"Montreal, Canada",2.88
109,,"Sao Paulo, Brazil",1.95
110,,"Dublin, Ireland",2.72
111,,"Moscow, Russia",1.29
112,,"Zurich, Switzerland",0.98
113,,"Manila, Philippines",0.58
114,,"Brisbane, Australia",4.24
115,,"Jakarta, Indonesia",1.88
116,,"Canberra, Australia",4.52
117,,"Brussels, Belgium",-
118,,"Melbourne, Australia",1.78
119,,"Perth, Australia",6.36
120,,"Sydney, Australia",4.87
