City,Cost of living
Albania,1534.81977
Algeria,1197.6311449999998
Argentina,1452.587395
Armenia,1373.0603999999998
Australia,3040.482315
Austria,2729.592825
Azerbaijan,1269.3105
Bahrain,2276.930645
Bangladesh,1304.8478100000002
Belarus,1340.29387
Belgium,2982.1269650000004
Bolivia,1454.86
Bosnia And Herzegovina,1457.5645499999998
Brazil,1283.893355
Bulgaria,1594.825955
Cambodia,1607.554
Canada,2696.337265
Chile,1869.4151599999998
China,1602.3885100000002
Colombia,1196.52479
Costa Rica,2191.3045199999997
Croatia,2234.0695800000003
Cyprus,2291.0855
Czech Republic,1874.9469799999997
Denmark,3522.4691300000004
Dominican Republic,1635.38339
Ecuador,1624.5317499999999
Egypt,1199.64303
Estonia,2194.967645
Finland,2986.76184
France,3107.611535
Georgia,1230.859175
Germany,2779.992575
Ghana,1612.9848849999998
Greece,2311.513245
Guatemala,1858.77342
Hong Kong,3250.167095
Hungary,1726.555805
Iceland,3790.49843
India,1078.22189
Indonesia,1521.3056699999997
Iran,1646.68843
Iraq,1535.865675
Ireland,3186.179745
Israel,3371.85792
Italy,2825.1174699999997
Japan,3375.3745200000003
Jordan,2146.9355299999997
Kazakhstan,1284.661635
Kenya,1493.5297999999998
Kosovo (Disputed Territory),1042.01549
Kuwait,1935.01404
Latvia,2063.10991
Lebanon,3406.798805
Lithuania,1821.7141900000001
Luxembourg,2722.167855
Malaysia,1458.4015200000001
Malta,2774.75153
Mauritius,1236.0045
Mexico,1346.304445
Moldova,1172.6045
Montenegro,1501.8645000000001
Morocco,1314.0321199999998
Nepal,1140.25156
Netherlands,2979.8312
New Zealand,2946.02603
Nigeria,1355.395855
North Macedonia,1360.455115
Norway,3832.3543600000003
Oman,1919.1273999999999
Pakistan,894.049065
Panama,2270.4745000000003
Peru,1594.209485
Philippines,1572.719065
Poland,1673.40498
Portugal,1959.6673650000002
Puerto Rico,2755.73025
Qatar,2573.55966
Romania,1538.59617
Russia,1514.6297599999998
Saudi Arabia,2124.76058
Serbia,1509.9071
Singapore,3072.6075800000003
Slovakia,1943.77029
Slovenia,2339.2850599999997
South Africa,1479.789355
South Korea,3028.7685699999997
Spain,2284.87354
Sri Lanka,1344.3732449999998
Sweden,3033.309935
Switzerland,5100.903365
Syria,1267.0545
Taiwan,2364.367365
Tanzania,1263.0895
Thailand,1827.2021599999998
Trinidad And Tobago,2123.5427250000002
Tunisia,1152.5998849999999
Turkey,1334.43478
Uganda,1194.7134999999998
Ukraine,1234.690635
United Arab Emirates,2556.766505
United Kingdom,2728.1435650000003
United States,2992.0280000000002
Uruguay,2082.92497
Uzbekistan,1037.074
Venezuela,1664.7844999999998
Vietnam,1417.976515
