City,Cost of living
Albania,1189.5684999999999
Algeria,1056.3715
Argentina,2250.2455
Armenia,1240.3485
Australia,3031.5370000000003
Austria,2414.0015000000003
Azerbaijan,1489.2255
Bahrain,1426.2195
Bangladesh,1101.7975
Belarus,1331.0725
Belgium,2755.3644999999997
Bosnia And Herzegovina,1215.0130000000001
Brazil,1701.37
Bulgaria,1287.183
Cambodia,1510.252
Canada,2603.2605
Chile,1801.4769999999999
China,1891.1229999999998
Colombia,1317.8564999999999
Costa Rica,2031.8269999999998
Croatia,1737.7325
Cyprus,2039.8760000000002
Czech Republic,1478.7355
Denmark,2977.6635
Dominican Republic,1839.3249999999998
Ecuador,1581.9740000000002
Egypt,1225.31
Estonia,1748.2420000000002
Finland,2665.3904999999995
France,2800.366
Georgia,1038.5714999999998
Germany,2441.76
Greece,1946.848
Guatemala,1320.9505
Hong Kong,2859.0675
Hungary,1513.3935000000001
Iceland,3338.201
India,903.5559999999999
Indonesia,1378.77
Iran,1267.4669999999999
Iraq,1716.785
Ireland,2817.257
Israel,2656.8125
Italy,2475.6075
Jamaica,1816.247
Japan,2869.8215
Jordan,1817.7399999999998
Kazakhstan,1745.6234999999997
Kenya,1471.6689999999999
Kuwait,1948.572
Latvia,1725.405
Lebanon,2189.278
Lithuania,1641.239
Luxembourg,2019.393
Macedonia,1108.184
Malaysia,1452.9265
Malta,2311.8594999999996
Mauritius,999.3185000000001
Mexico,1405.92
Moldova,966.0539999999999
Montenegro,1394.154
Morocco,1197.9180000000001
Nepal,927.778
Netherlands,2588.843
New Zealand,2975.9315
Nigeria,1382.1164999999999
Norway,4016.201
Oman,1543.8139999999999
Pakistan,916.302
Panama,1750.0214999999998
Peru,1476.9474999999998
Philippines,1245.1125
Poland,1436.3045
Portugal,1729.6285
Puerto Rico,2391.156
Qatar,2338.4365
Romania,1245.0030000000002
Russia,1557.7055
Saudi Arabia,1730.9225000000001
Serbia,1194.8484999999998
Singapore,2702.9489999999996
Slovakia,1666.6405
Slovenia,1852.5705
South Africa,1557.837
South Korea,2716.0684999999994
Spain,2042.8600000000001
Sri Lanka,1178.927
Sweden,2733.2484999999997
Switzerland,4906.1085
Taiwan,2029.5235
Tanzania,1454.5065
Thailand,1487.6680000000001
Trinidad And Tobago,1265.2369999999999
Tunisia,1064.9119999999998
Turkey,1718.5549999999998
Ukraine,947.9124999999999
United Arab Emirates,2336.85
United Kingdom,3067.3230000000003
United States,2689.5460000000003
Uruguay,2267.0249999999996
Venezuela,2066.5895
Vietnam,1250.123
Zimbabwe,1633.5
