Country,Cost of living,Year
Macedonia,1312.381585,2019
Malaysia,1382.6376849999997,2019
Malta,2872.30959,2019
Mauritius,987.6780799999999,2019
Mexico,1374.395505,2019
Moldova,1111.8845000000001,2019
Montenegro,1492.42977,2019
Morocco,1345.968675,2019
Namibia,894.3384100000001,2019
Nepal,1219.5233,2019
Netherlands,2986.30305,2019
New Zealand,2927.86139,2019
Nigeria,1287.0680750000001,2019
Norway,4117.102800000001,2019
Oman,1987.4208249999997,2019
Pakistan,870.343915,2019
Palestinian Territory,1859.92242,2019
Panama,2164.0455,2019
Peru,1537.5894,2019
Philippines,1409.96512,2019
Poland,1615.507445,2019
Portugal,1954.458105,2019
Puerto Rico,2376.10658,2019
Qatar,2625.40609,2019
Romania,1480.13967,2019
Russia,1493.147895,2019
Saudi Arabia,1896.421205,2019
Serbia,1476.403,2019
Singapore,2955.68016,2019
Slovakia,1844.1837099999998,2019
Slovenia,2194.644975,2019
South Africa,1670.93966,2019
South Korea,3217.109055,2019
Spain,2193.1083550000003,2019
Sri Lanka,1038.448635,2019
Sweden,2837.08696,2019
Switzerland,4914.739455,2019
Taiwan,2344.52642,2019
Thailand,1815.91958,2019
Trinidad And Tobago,1280.4058799999998,2019
Tunisia,1012.2003650000001,2019
Turkey,1340.164575,2019
Uganda,524.495,2019
Ukraine,1198.74598,2019
United Arab Emirates,2498.397065,2019
United Kingdom,2659.46115,2019
United States,2849.91067,2019
Uruguay,2159.16764,2019
Uzbekistan,918.4205,2019
Venezuela,1115.432,2019
Vietnam,1396.65235,2019
Albania,1530.76977,2020
Algeria,1197.481145,2020
Argentina,1450.5373949999998,2020
Armenia,1371.1604,2020
Australia,3029.7823150000004,2020
Austria,2715.892825,2020
Azerbaijan,1268.0104999999999,2020
Bahrain,2253.680645,2020
Bangladesh,1296.14781,2020
Belarus,1337.89387,2020
Belgium,2974.076965,2020
Bolivia,1451.4099999999999,2020
Bosnia And Herzegovina,1454.16455,2020
Brazil,1281.193355,2020
Bulgaria,1591.725955,2020
Cambodia,1607.154,2020
Canada,2679.437265,2020
Chile,1861.3151599999999,2020
China,1598.08851,2020
Colombia,1194.22479,2020
Costa Rica,2186.15452,2020
Croatia,2229.61958,2020
Cyprus,2279.4355,2020
Czech Republic,1871.99698,2020
Denmark,3501.36913,2020
Dominican Republic,1627.58339,2020
Ecuador,1617.2817499999999,2020
Egypt,1195.64303,2020
Estonia,2181.717645,2020
Finland,2969.5618400000003,2020
France,3092.061535,2020
Georgia,1229.5591749999999,2020
Germany,2768.3425749999997,2020
Ghana,1622.284885,2020
Greece,2300.513245,2020
Guatemala,1858.8234200000002,2020
Hong Kong,3228.817095,2020
Hungary,1722.805805,2020
Iceland,3761.0484300000003,2020
India,1074.0718900000002,2020
Indonesia,1520.3056699999997,2020
Iran,1646.03843,2020
Iraq,1531.015675,2020
Ireland,3173.029745,2020
Israel,3344.65792,2020
Italy,2813.16747,2020
Japan,3361.8745200000003,2020
Jordan,2141.53553,2020
Kazakhstan,1281.9616350000001,2020
Kenya,1490.6297999999997,2020
Kosovo (Disputed Territory),1037.9154899999999,2020
Kuwait,1935.01404,2020
Latvia,2055.30991,2020
Lebanon,3395.4988049999997,2020
Lithuania,1813.2641900000003,2020
Luxembourg,2694.3178550000002,2020
Malaysia,1456.00152,2020
Malta,2766.85153,2020
Mauritius,1227.5544999999997,2020
Mexico,1344.304445,2020
Moldova,1170.8545,2020
Montenegro,1497.0145000000002,2020
Morocco,1310.38212,2020
Nepal,1137.15156,2020
Netherlands,2967.4312,2020
New Zealand,2929.47603,2020
Nigeria,1354.7958549999998,2020
North Macedonia,1356.3051150000001,2020
Norway,3806.65436,2020
Oman,1921.0774,2020
Pakistan,875.099065,2020
Panama,2264.6745,2020
Peru,1588.109485,2020
Philippines,1571.069065,2020
Poland,1667.2549800000002,2020
Portugal,1957.6673650000002,2020
Puerto Rico,2754.6802500000003,2020
Qatar,2558.4096600000003,2020
Romania,1533.59617,2020
Russia,1510.27976,2020
Saudi Arabia,2126.11058,2020
Serbia,1504.4071,2020
Singapore,3055.1075800000003,2020
Slovakia,1940.77029,2020
Slovenia,2329.6350599999996,2020
South Africa,1476.539355,2020
South Korea,3017.16857,2020
Spain,2276.87354,2020
Sri Lanka,1341.473245,2020
Sweden,3006.209935,2020
Switzerland,5082.103365,2020
Syria,1252.2545,2020
Taiwan,2360.317365,2020
Tanzania,1258.7894999999999,2020
Thailand,1821.5021599999998,2020
Trinidad And Tobago,2124.692725,2020
Tunisia,1147.1498849999998,2020
Turkey,1332.3347800000001,2020
Uganda,1194.3635,2020
Ukraine,1233.190635,2020
United Arab Emirates,2517.7665050000005,2020
United Kingdom,2715.2435649999998,2020
United States,2975.5280000000002,2020
Uruguay,2075.02497,2020
Uzbekistan,1038.0240000000001,2020
Venezuela,1663.9845,2020
Vietnam,1417.026515,2020
