Country,Cost of living,Year
Russia,1738.422,2012
Saudi Arabia,2243.938,2012
Serbia,1288.243,2012
Singapore,2397.571,2012
Slovakia,1632.686,2012
Slovenia,1991.042,2012
South Africa,1738.6875,2012
South Korea,2247.2525,2012
Spain,2067.5375,2012
Sri Lanka,1044.0729999999999,2012
Sweden,2709.9365,2012
Switzerland,3717.2585,2012
Taiwan,1674.5235,2012
Tanzania,1410.1735,2012
Thailand,1285.8615,2012
Tunisia,1127.645,2012
Turkey,1679.8775,2012
Ukraine,1256.3954999999999,2012
United Arab Emirates,2042.7365,2012
United Kingdom,2738.745,2012
United States,2244.9175,2012
Uruguay,2324.636,2012
Venezuela,3114.7445,2012
Vietnam,1127.8915,2012
Algeria,1046.166,2013
Argentina,1855.1084999999998,2013
Australia,3606.2805,2013
Austria,2461.066,2013
Azerbaijan,1708.4575,2013
Bahrain,1506.8795,2013
Bangladesh,1090.589,2013
Belarus,1394.4885,2013
Belgium,2795.8554999999997,2013
Bosnia And Herzegovina,1345.5085,2013
Brazil,1985.423,2013
Bulgaria,1365.4225000000001,2013
Canada,2758.1055,2013
Chile,1885.728,2013
China,1456.674,2013
Colombia,1459.0214999999998,2013
Costa Rica,1927.9505,2013
Croatia,1905.2925,2013
Cyprus,2412.9410000000003,2013
Czech Republic,1682.0095,2013
Denmark,3198.6525,2013
Dominican Republic,1633.6085,2013
Ecuador,1287.9945,2013
Egypt,995.4085,2013
Estonia,1768.6315,2013
Ethiopia,1143.345,2013
Finland,2890.4804999999997,2013
France,2820.9674999999997,2013
Georgia,1348.5504999999998,2013
Germany,2497.227,2013
Ghana,1608.6915,2013
Greece,2311.2790000000005,2013
Hong Kong,2198.5655,2013
Hungary,1677.8755,2013
Iceland,2790.5875,2013
India,828.7570000000001,2013
Indonesia,1282.6035000000002,2013
Iran,1313.6875,2013
Iraq,1338.7635,2013
Ireland,3027.1095,2013
Israel,2523.111,2013
Italy,2800.917,2013
Jamaica,1722.7645000000002,2013
Japan,2868.0755,2013
Jordan,1659.563,2013
Kazakhstan,1945.0405,2013
Kenya,1294.9254999999998,2013
Kuwait,1948.784,2013
Latvia,1837.4285,2013
Lebanon,2091.5064999999995,2013
Lithuania,1747.217,2013
Luxembourg,2642.995,2013
Macedonia,1146.9515,2013
Malaysia,1373.8519999999999,2013
Malta,2046.321,2013
Mexico,1378.3365,2013
Moldova,1271.2565,2013
Morocco,1247.6219999999998,2013
Nepal,796.008,2013
Netherlands,2822.52,2013
New Zealand,2969.1565,2013
Nigeria,2024.071,2013
Norway,4467.3535,2013
Oman,1074.0345,2013
Pakistan,907.47,2013
Panama,1556.5125,2013
Peru,1631.0245,2013
Philippines,1172.508,2013
Poland,1465.8094999999998,2013
Portugal,1869.3605,2013
Puerto Rico,2236.227,2013
Qatar,2097.76,2013
Romania,1353.84,2013
Russia,1956.2355,2013
Saudi Arabia,2104.6885,2013
Serbia,1435.3795,2013
Singapore,2550.4235,2013
Slovakia,1675.9865,2013
Slovenia,2088.7270000000003,2013
South Africa,1520.299,2013
South Korea,2464.3015,2013
Spain,2148.9365,2013
Sri Lanka,1173.5794999999998,2013
Sweden,3016.0655,2013
Switzerland,3968.4715000000006,2013
Syria,1050.7995,2013
Taiwan,1739.408,2013
Tanzania,1335.1995,2013
Thailand,1472.928,2013
Trinidad And Tobago,1553.273,2013
Tunisia,1050.4745,2013
Turkey,1708.9835,2013
Ukraine,1329.7064999999998,2013
United Arab Emirates,1978.7495,2013
United Kingdom,2710.732,2013
United States,2293.0675,2013
Uruguay,2466.9515,2013
Venezuela,3117.2520000000004,2013
Vietnam,1119.7069999999999,2013
Albania,1244.9275000000002,2014
Algeria,1043.8609999999999,2014
Argentina,2003.9329999999998,2014
Armenia,1280.1315,2014
Australia,3505.2375,2014
Austria,2535.7344999999996,2014
Azerbaijan,1823.0695,2014
Bahrain,1564.8429999999998,2014
Bangladesh,1068.556,2014
Belarus,1555.754,2014
Belgium,3031.6935000000003,2014
Bosnia And Herzegovina,1383.9850000000001,2014
Brazil,2030.942,2014
Bulgaria,1446.1660000000002,2014
Cambodia,1369.3595,2014
Canada,2646.3365,2014
Chile,1902.1455,2014
China,1426.0349999999999,2014
Colombia,1481.4945,2014
Costa Rica,1696.8269999999998,2014
Croatia,1965.3445,2014
Cyprus,2392.223,2014
Czech Republic,1647.021,2014
Denmark,3366.8709999999996,2014
Dominican Republic,1621.5515,2014
Ecuador,1248.113,2014
Egypt,1028.348,2014
Estonia,2137.9255000000003,2014
Finland,2995.4275000000002,2014
France,3006.499,2014
Georgia,1268.693,2014
Germany,2630.688,2014
Greece,2306.3925,2014
Hong Kong,2292.7659999999996,2014
Hungary,1707.868,2014
Iceland,3483.3179999999998,2014
India,836.5115000000001,2014
Indonesia,1258.1374999999998,2014
Iran,1234.1095,2014
Iraq,1467.828,2014
Ireland,3202.4614999999994,2014
Israel,2645.5795,2014
Italy,2722.591,2014
Jamaica,1667.2835,2014
Japan,3007.1814999999997,2014
Jordan,1765.9334999999999,2014
Kazakhstan,1603.366,2014
Kenya,1542.9769999999999,2014
Kuwait,1801.434,2014
Latvia,1817.8425000000002,2014
Lebanon,2057.5735,2014
Lithuania,1764.458,2014
Luxembourg,2052.877,2014
Macedonia,1195.777,2014
Malaysia,1363.289,2014
Malta,2284.93,2014
Mexico,1428.52,2014
Morocco,1244.4115000000002,2014
Nepal,808.1295,2014
Netherlands,2926.8469999999998,2014
New Zealand,3131.5294999999996,2014
Nigeria,1738.2715,2014
Norway,4534.042,2014
Oman,1297.8265,2014
Pakistan,906.392,2014
Panama,1649.1399999999999,2014
Peru,1478.4834999999998,2014
Philippines,1282.13,2014
Poland,1558.1705,2014
Portugal,1886.9175,2014
Puerto Rico,2124.361,2014
Qatar,2224.5375,2014
Romania,1436.2485000000001,2014
Russia,1888.8165,2014
Saudi Arabia,1515.8105,2014
Serbia,1486.1345000000001,2014
Singapore,2487.7110000000002,2014
Slovakia,1761.225,2014
Slovenia,2219.6445,2014
South Africa,1528.4645,2014
South Korea,2670.848,2014
Spain,2228.3019999999997,2014
Sri Lanka,1180.3049999999998,2014
Sweden,2917.458,2014
Switzerland,4197.1965,2014
Taiwan,1642.492,2014
Thailand,1419.507,2014
Trinidad And Tobago,1746.0915,2014
Tunisia,1069.716,2014
Turkey,1670.462,2014
Ukraine,1014.9345000000001,2014
United Arab Emirates,2117.8465,2014
United Kingdom,3020.515,2014
United States,2348.5135,2014
Uruguay,2206.444,2014
Venezuela,3199.8325,2014
Vietnam,1037.8165,2014
Albania,1189.5684999999999,2015
Algeria,1056.3715,2015
Argentina,2250.2455,2015
Armenia,1240.3485,2015
Australia,3031.5370000000003,2015
Austria,2414.0015000000003,2015
Azerbaijan,1489.2255,2015
Bahrain,1426.2195,2015
Bangladesh,1101.7975,2015
Belarus,1331.0725,2015
Belgium,2755.3644999999997,2015
Bosnia And Herzegovina,1215.0130000000001,2015
Brazil,1701.37,2015
Bulgaria,1287.183,2015
Cambodia,1510.252,2015
Canada,2603.2605,2015
Chile,1801.4769999999999,2015
China,1891.1229999999998,2015
Colombia,1317.8564999999999,2015
Costa Rica,2031.8269999999998,2015
Croatia,1737.7325,2015
Cyprus,2039.8760000000002,2015
Czech Republic,1478.7355,2015
Denmark,2977.6635,2015
Dominican Republic,1839.3249999999998,2015
Ecuador,1581.9740000000002,2015
Egypt,1225.31,2015
Estonia,1748.2420000000002,2015
Finland,2665.3904999999995,2015
France,2800.366,2015
Georgia,1038.5714999999998,2015
Germany,2441.76,2015
Greece,1946.848,2015
Guatemala,1320.9505,2015
Hong Kong,2859.0675,2015
Hungary,1513.3935000000001,2015
Iceland,3338.201,2015
India,903.5559999999999,2015
Indonesia,1378.77,2015
Iran,1267.4669999999999,2015
Iraq,1716.785,2015
Ireland,2817.257,2015
Israel,2656.8125,2015
Italy,2475.6075,2015
Jamaica,1816.247,2015
Japan,2869.8215,2015
Jordan,1817.7399999999998,2015
Kazakhstan,1745.6234999999997,2015
Kenya,1471.6689999999999,2015
Kuwait,1948.572,2015
Latvia,1725.405,2015
Lebanon,2189.278,2015
Lithuania,1641.239,2015
Luxembourg,2019.393,2015
Macedonia,1108.184,2015
Malaysia,1452.9265,2015
Malta,2311.8594999999996,2015
Mauritius,999.3185000000001,2015
Mexico,1405.92,2015
Moldova,966.0539999999999,2015
Montenegro,1394.154,2015
Morocco,1197.9180000000001,2015
Nepal,927.778,2015
Netherlands,2588.843,2015
New Zealand,2975.9315,2015
Nigeria,1382.1164999999999,2015
Norway,4016.201,2015
Oman,1543.8139999999999,2015
Pakistan,916.302,2015
Panama,1750.0214999999998,2015
Peru,1476.9474999999998,2015
Philippines,1245.1125,2015
Poland,1436.3045,2015
Portugal,1729.6285,2015
Puerto Rico,2391.156,2015
Qatar,2338.4365,2015
Romania,1245.0030000000002,2015
Russia,1557.7055,2015
Saudi Arabia,1730.9225000000001,2015
Serbia,1194.8484999999998,2015
Singapore,2702.9489999999996,2015
Slovakia,1666.6405,2015
Slovenia,1852.5705,2015
South Africa,1557.837,2015
South Korea,2716.0684999999994,2015
Spain,2042.8600000000001,2015
Sri Lanka,1178.927,2015
Sweden,2733.2484999999997,2015
Switzerland,4906.1085,2015
Taiwan,2029.5235,2015
Tanzania,1454.5065,2015
Thailand,1487.6680000000001,2015
Trinidad And Tobago,1265.2369999999999,2015
Tunisia,1064.9119999999998,2015
Turkey,1718.5549999999998,2015
Ukraine,947.9124999999999,2015
United Arab Emirates,2336.85,2015
United Kingdom,3067.3230000000003,2015
United States,2689.5460000000003,2015
Uruguay,2267.0249999999996,2015
Venezuela,2066.5895,2015
Vietnam,1250.123,2015
Zimbabwe,1633.5,2015
Albania,1252.78789,2016
Algeria,1171.79469,2016
Argentina,2134.1533449999997,2016
Armenia,1278.3910700000001,2016
Australia,3015.473135,2016
Austria,2746.560665,2016
Azerbaijan,1230.5372149999998,2016
Bahrain,2163.36345,2016
Bangladesh,1279.63857,2016
Belarus,1206.5959349999998,2016
Belgium,2950.4077949999996,2016
Bolivia,1143.9965000000002,2016
Bosnia And Herzegovina,1374.4162299999998,2016
Brazil,1731.550465,2016
Bulgaria,1401.0229399999998,2016
Cambodia,1529.769,2016
Canada,2602.226725,2016
Chile,1856.893725,2016
China,1670.15589,2016
Colombia,1270.4839000000002,2016
Costa Rica,2166.0258649999996,2016
Croatia,1849.058785,2016
Cyprus,2082.8453899999995,2016
Czech Republic,1609.007975,2016
Denmark,3226.03706,2016
