City,Cost of living
Albania,1436.4249650000002
Algeria,1213.3230549999998
Argentina,1849.572275
Armenia,1289.1986850000003
Australia,3130.170875
Austria,2905.72944
Azerbaijan,1120.11874
Bahamas,2068.4094999999998
Bahrain,2067.035495
Bangladesh,1126.8853550000001
Belarus,1316.587665
Belgium,3020.484075
Belize,1095.9795
Bolivia,875.5504999999999
Bosnia And Herzegovina,1456.123765
Brazil,1677.637225
Bulgaria,1534.6504650000002
Cambodia,1251.4094999999998
Canada,2741.460945
Chile,2126.18287
China,1711.19152
Colombia,1362.454455
Costa Rica,2111.33039
Croatia,2048.336755
Cyprus,2365.28809
Czech Republic,1877.9329050000001
Denmark,3392.917645
Dominican Republic,1892.32893
Ecuador,1665.454865
Egypt,984.5536900000002
El Salvador,933.9561550000001
Estonia,2079.751325
Fiji,749.8184999999999
Finland,2950.1742799999997
France,3115.53557
Georgia,1275.42123
Germany,2786.7072399999997
Ghana,281.33500000000004
Greece,2314.2906199999998
Guatemala,1451.707245
Hong Kong,3095.72832
Hungary,1779.869125
Iceland,4510.972475
India,1062.87956
Indonesia,1458.972405
Iran,1450.105075
Iraq,1512.61304
Ireland,3150.52894
Israel,3071.32082
Italy,2802.6602199999998
Jamaica,1283.87265
Japan,3316.3019050000003
Jordan,2138.848365
Kazakhstan,1373.576305
Kenya,1589.0215050000002
Kosovo (Disputed Territory),1016.9198299999999
Kuwait,1765.20923
Latvia,2023.571215
Lebanon,2348.7722000000003
Lithuania,1895.79295
Luxembourg,2591.9905
Macedonia,1299.1411050000002
Malaysia,1528.850185
Malta,2524.264725
Mauritius,1146.491225
Mexico,1308.742325
Moldova,1188.4769999999999
Montenegro,1590.4032049999996
Morocco,1328.96009
Namibia,1134.40408
Nepal,1201.98721
Netherlands,3060.606605
New Zealand,3007.2460949999995
Nigeria,1156.2987050000002
Norway,4277.48937
Oman,1726.3594699999999
Pakistan,996.428455
Panama,2093.10328
Peru,1544.2822800000001
Philippines,1340.5804600000001
Poland,1598.9476
Portugal,2050.01505
Puerto Rico,2454.047655
Qatar,2305.62244
Romania,1505.37754
Russia,1530.204875
Saudi Arabia,1931.6858399999999
Serbia,1488.766345
Singapore,2777.38411
Slovakia,1887.75493
Slovenia,2175.9618899999996
South Africa,1861.31699
South Korea,3223.4939299999996
Spain,2276.18883
Sri Lanka,1420.556935
Sweden,2994.18698
Switzerland,4882.612695
Taiwan,2182.307385
Tanzania,1249.6822000000002
Thailand,1834.791405
Trinidad And Tobago,1583.04736
Tunisia,1100.9558900000002
Turkey,1487.280275
Uganda,740.4259999999999
Ukraine,1143.62394
United Arab Emirates,2328.2243099999996
United Kingdom,2796.095775
United States,2842.655595
Uruguay,2352.646675
Uzbekistan,944.3995
Venezuela,1008.7418399999999
Vietnam,1417.893885
Zimbabwe,2053.514
