City,Cost of living
Albania,1180.2495
Argentina,1938.3649999999998
Australia,3497.34
Austria,2395.373
Bahrain,2066.1890000000003
Bangladesh,994.9079999999999
Belarus,1434.6200000000001
Belgium,2618.636
Bosnia And Herzegovina,1291.5924999999997
Brazil,1986.2285000000002
Bulgaria,1241.257
Cambodia,1399.1815000000001
Canada,2649.2335000000003
Chile,1825.683
China,1553.4795
Colombia,1579.804
Costa Rica,1712.9524999999999
Croatia,1784.009
Cyprus,2527.703
Czech Republic,1564.6585
Denmark,2953.1295
Dominican Republic,1861.152
Ecuador,1174.0655000000002
Egypt,1125.74
Estonia,1776.9940000000001
Finland,2648.1205
France,2650.5465
Georgia,1284.13
Germany,2294.246
Greece,2253.426
Hong Kong,2175.0145
Hungary,1550.1619999999998
Iceland,3001.85
India,774.418
Indonesia,1294.498
Iran,1470.3625000000002
Iraq,1620.239
Ireland,2821.8325
Israel,2286.5350000000003
Italy,2539.6185
Japan,3653.2474999999995
Jordan,1740.465
Kazakhstan,1843.9779999999998
Kenya,1599.266
Kuwait,2101.804
Latvia,1681.65
Lebanon,2164.76
Lithuania,1495.04
Luxembourg,3098.0330000000004
Macedonia,1212.1374999999998
Malaysia,1260.196
Malta,2167.295
Mauritius,1611.7440000000001
Mexico,1292.112
Morocco,1280.7105000000001
Nepal,893.115
Netherlands,2552.0519999999997
New Zealand,2768.0245
Nigeria,2604.607
Norway,4257.0885
Oman,1826.037
Pakistan,894.2384999999999
Peru,1378.149
Philippines,1253.6464999999998
Poland,1322.004
Portugal,1790.6905000000002
Puerto Rico,2221.629
Qatar,2085.9995
Romania,1276.8184999999999
Russia,1738.422
Saudi Arabia,2243.938
Serbia,1288.243
Singapore,2397.571
Slovakia,1632.686
Slovenia,1991.042
South Africa,1738.6875
South Korea,2247.2525
Spain,2067.5375
Sri Lanka,1044.0729999999999
Sweden,2709.9365
Switzerland,3717.2585
Taiwan,1674.5235
Tanzania,1410.1735
Thailand,1285.8615
Tunisia,1127.645
Turkey,1679.8775
Ukraine,1256.3954999999999
United Arab Emirates,2042.7365
United Kingdom,2738.745
United States,2244.9175
Uruguay,2324.636
Venezuela,3114.7445
Vietnam,1127.8915
