City,Cost of living
Albania,1290.389
Algeria,1304.46086
Argentina,2162.854675
Armenia,1275.168325
Australia,3013.260195
Austria,2763.594395
Azerbaijan,1141.56055
Bahrain,1913.346515
Bangladesh,1167.321285
Belarus,1273.33852
Belgium,2784.55051
Bolivia,1253.572765
Bosnia And Herzegovina,1362.51583
Brazil,1852.1718549999998
Bulgaria,1403.6068799999998
Cambodia,1221.0475000000001
Canada,2475.2722249999997
Chile,1873.9879449999999
China,1549.73866
Colombia,1322.476915
Costa Rica,2042.9402049999999
Croatia,1925.6724000000002
Cyprus,2029.3381800000002
Czech Republic,1704.495745
Denmark,3200.941485
Dominican Republic,1800.38771
Ecuador,1621.752385
Egypt,876.037765
Estonia,1986.79546
Finland,2852.327805
France,2935.813895
Georgia,1183.9662799999999
Germany,2637.29462
Greece,2208.15707
Guatemala,1284.69555
Hong Kong,2955.5366050000002
Hungary,1662.769015
Iceland,4741.983195
India,1060.84051
Indonesia,1398.387935
Iran,1398.4748749999999
Iraq,1595.5439299999998
Ireland,2949.3601000000003
Israel,3068.9454800000003
Italy,2672.4658799999997
Jamaica,648.975
Japan,3300.4554799999996
Jordan,2019.58457
Kazakhstan,1398.811065
Kenya,1472.2743699999999
Kosovo (Disputed Territory),920.234335
Kuwait,1834.3068399999997
Latvia,1834.32237
Lebanon,2328.03921
Lithuania,1798.74308
Luxembourg,2266.8165
Macedonia,1239.8272
Malaysia,1454.66211
Malta,2258.0225
Mauritius,1251.341655
Mexico,1321.850535
Moldova,1177.01458
Montenegro,1479.533
Morocco,1274.41516
Nepal,1235.84019
Netherlands,2756.305615
New Zealand,3057.76449
Nigeria,1436.1923499999998
Norway,4014.070935
Oman,1752.2019
Pakistan,998.834875
Panama,1903.665235
Peru,1450.8155350000002
Philippines,1408.962935
Poland,1546.98994
Portugal,1889.20433
Puerto Rico,2449.414885
Qatar,2342.364695
Romania,1420.2913549999998
Russia,1620.879425
Saudi Arabia,1792.76651
Serbia,1345.48931
Singapore,3047.36206
Slovakia,1763.812585
Slovenia,2139.411415
South Africa,1709.2640350000001
South Korea,2969.4680749999998
Spain,2188.83587
Sri Lanka,1354.361845
Sweden,2924.05813
Switzerland,5032.008285
Taiwan,2340.033875
Tanzania,826.175
Thailand,1749.765715
Trinidad And Tobago,1348.2464999999997
Tunisia,1025.1223650000002
Turkey,1630.369675
Ukraine,998.2454399999999
United Arab Emirates,2506.67533
United Kingdom,2656.63367
United States,2780.97908
Uruguay,2490.5185
Venezuela,964.005
Vietnam,1253.9175
Zimbabwe,1147.0095000000001
