City,Cost of living
Albania,1475.16296
Algeria,1104.0297150000001
Argentina,1547.585985
Armenia,791.88
Australia,3015.915325
Austria,2807.8008899999995
Azerbaijan,1275.11978
Bahrain,2299.137655
Bangladesh,1191.37179
Belarus,1422.3792
Belgium,2876.05253
Bolivia,1215.0911700000001
Bosnia And Herzegovina,1488.702065
Brazil,1622.5992800000001
Brunei,684.744
Bulgaria,1521.20931
Cambodia,1550.642
Canada,2682.93372
Chile,1925.92923
China,1606.5146399999999
Colombia,1242.8892150000001
Costa Rica,2128.230085
Croatia,1988.734055
Cyprus,2334.156815
Czech Republic,1839.829235
Denmark,3332.679175
Dominican Republic,1717.797685
Ecuador,1582.04237
Egypt,1081.291725
El Salvador,735.5070000000001
Estonia,2103.641825
Ethiopia,1363.4339049999999
Finland,2811.3809
France,3106.09717
Georgia,1195.2782199999997
Germany,2708.395765
Greece,2240.53315
Guatemala,991.5156099999999
Honduras,1332.42677
Hong Kong,2937.093135
Hungary,1701.75524
Iceland,4047.24918
India,1060.45299
Indonesia,1384.89201
Iran,1546.26877
Iraq,1501.7897899999998
Ireland,3115.17404
Israel,3122.713985
Italy,2762.93122
Jamaica,1164.3
Japan,3430.405785
Jordan,2040.881085
Kazakhstan,1231.30863
Kenya,1624.973825
Kosovo (Disputed Territory),1137.231785
Kuwait,1697.36375
Latvia,1915.6453900000001
Lebanon,2519.09076
Lithuania,1749.048995
Luxembourg,2949.7650000000003
Macedonia,1312.381585
Malaysia,1382.6376849999997
Malta,2872.30959
Mauritius,987.6780799999999
Mexico,1374.395505
Moldova,1111.8845000000001
Montenegro,1492.42977
Morocco,1345.968675
Namibia,894.3384100000001
Nepal,1219.5233
Netherlands,2986.30305
New Zealand,2927.86139
Nigeria,1287.0680750000001
Norway,4117.102800000001
Oman,1987.4208249999997
Pakistan,870.343915
Palestinian Territory,1859.92242
Panama,2164.0455
Peru,1537.5894
Philippines,1409.96512
Poland,1615.507445
Portugal,1954.458105
Puerto Rico,2376.10658
Qatar,2625.40609
Romania,1480.13967
Russia,1493.147895
Saudi Arabia,1896.421205
Serbia,1476.403
Singapore,2955.68016
Slovakia,1844.1837099999998
Slovenia,2194.644975
South Africa,1670.93966
South Korea,3217.109055
Spain,2193.1083550000003
Sri Lanka,1038.448635
Sweden,2837.08696
Switzerland,4914.739455
Taiwan,2344.52642
Thailand,1815.91958
Trinidad And Tobago,1280.4058799999998
Tunisia,1012.2003650000001
Turkey,1340.164575
Uganda,524.495
Ukraine,1198.74598
United Arab Emirates,2498.397065
United Kingdom,2659.46115
United States,2849.91067
Uruguay,2159.16764
Uzbekistan,918.4205
Venezuela,1115.432
Vietnam,1396.65235
