City,Cost of living
Albania,1244.9275000000002
Algeria,1043.8609999999999
Argentina,2003.9329999999998
Armenia,1280.1315
Australia,3505.2375
Austria,2535.7344999999996
Azerbaijan,1823.0695
Bahrain,1564.8429999999998
Bangladesh,1068.556
Belarus,1555.754
Belgium,3031.6935000000003
Bosnia And Herzegovina,1383.9850000000001
Brazil,2030.942
Bulgaria,1446.1660000000002
Cambodia,1369.3595
Canada,2646.3365
Chile,1902.1455
China,1426.0349999999999
Colombia,1481.4945
Costa Rica,1696.8269999999998
Croatia,1965.3445
Cyprus,2392.223
Czech Republic,1647.021
Denmark,3366.8709999999996
Dominican Republic,1621.5515
Ecuador,1248.113
Egypt,1028.348
Estonia,2137.9255000000003
Finland,2995.4275000000002
France,3006.499
Georgia,1268.693
Germany,2630.688
Greece,2306.3925
Hong Kong,2292.7659999999996
Hungary,1707.868
Iceland,3483.3179999999998
India,836.5115000000001
Indonesia,1258.1374999999998
Iran,1234.1095
Iraq,1467.828
Ireland,3202.4614999999994
Israel,2645.5795
Italy,2722.591
Jamaica,1667.2835
Japan,3007.1814999999997
Jordan,1765.9334999999999
Kazakhstan,1603.366
Kenya,1542.9769999999999
Kuwait,1801.434
Latvia,1817.8425000000002
Lebanon,2057.5735
Lithuania,1764.458
Luxembourg,2052.877
Macedonia,1195.777
Malaysia,1363.289
Malta,2284.93
Mexico,1428.52
Morocco,1244.4115000000002
Nepal,808.1295
Netherlands,2926.8469999999998
New Zealand,3131.5294999999996
Nigeria,1738.2715
Norway,4534.042
Oman,1297.8265
Pakistan,906.392
Panama,1649.1399999999999
Peru,1478.4834999999998
Philippines,1282.13
Poland,1558.1705
Portugal,1886.9175
Puerto Rico,2124.361
Qatar,2224.5375
Romania,1436.2485000000001
Russia,1888.8165
Saudi Arabia,1515.8105
Serbia,1486.1345000000001
Singapore,2487.7110000000002
Slovakia,1761.225
Slovenia,2219.6445
South Africa,1528.4645
South Korea,2670.848
Spain,2228.3019999999997
Sri Lanka,1180.3049999999998
Sweden,2917.458
Switzerland,4197.1965
Taiwan,1642.492
Thailand,1419.507
Trinidad And Tobago,1746.0915
Tunisia,1069.716
Turkey,1670.462
Ukraine,1014.9345000000001
United Arab Emirates,2117.8465
United Kingdom,3020.515
United States,2348.5135
Uruguay,2206.444
Venezuela,3199.8325
Vietnam,1037.8165
