City,Cost of living
Argentina,1287.854
Australia,2305.9525000000003
Austria,2098.4984999999997
Belgium,2467.6735000000003
Bosnia And Herzegovina,1201.162
Brazil,1623.5425
Bulgaria,1071.0045
Canada,2103.9105
Chile,1207.4285
China,968.479
Colombia,1496.2269999999999
Croatia,1446.405
Czech Republic,1208.2885
Denmark,2381.1075
Ecuador,1149.6299999999999
Egypt,1045.4859999999999
Estonia,1107.4975
Finland,2231.7704999999996
France,2081.2735000000002
Germany,1866.085
Greece,1950.1265
Hong Kong,1875.9434999999999
Hungary,1248.5585
India,647.5564999999999
Indonesia,1071.3165
Iran,1110.965
Ireland,2247.7029999999995
Israel,1912.08
Italy,1945.2785
Japan,2150.622
Jordan,1221.674
Kazakhstan,1147.81
Lithuania,1330.747
Malaysia,772.0425
Malta,1531.0515
Mexico,1208.9015
Morocco,1560.628
Netherlands,2267.9120000000003
New Zealand,2013.429
Norway,2819.7025000000003
Pakistan,640.148
Panama,1073.08
Philippines,826.5034999999999
Poland,1075.1225
Portugal,1416.0105
Puerto Rico,1657.4520000000002
Qatar,1686.837
Romania,993.3685
Russia,1409.464
Saudi Arabia,2611.602
Serbia,992.2049999999999
Singapore,1711.978
Slovakia,1252.691
Slovenia,1588.209
South Africa,1399.328
South Korea,1378.1965
Spain,1537.7930000000001
Sweden,1976.0135
Switzerland,2702.7844999999998
Syria,984.074
Taiwan,1018.3489999999999
Thailand,935.6765
Turkey,1350.9065
Ukraine,1001.6764999999999
United Arab Emirates,1752.095
United Kingdom,1957.8065000000001
United States,1746.0774999999999
Vietnam,654.25
