City,Cost of living
Albania,1252.78789
Algeria,1171.79469
Argentina,2134.1533449999997
Armenia,1278.3910700000001
Australia,3015.473135
Austria,2746.560665
Azerbaijan,1230.5372149999998
Bahrain,2163.36345
Bangladesh,1279.63857
Belarus,1206.5959349999998
Belgium,2950.4077949999996
Bolivia,1143.9965000000002
Bosnia And Herzegovina,1374.4162299999998
Brazil,1731.550465
Bulgaria,1401.0229399999998
Cambodia,1529.769
Canada,2602.226725
Chile,1856.893725
China,1670.15589
Colombia,1270.4839000000002
Costa Rica,2166.0258649999996
Croatia,1849.058785
Cyprus,2082.8453899999995
Czech Republic,1609.007975
Denmark,3226.03706
Dominican Republic,1855.9573450000003
Ecuador,1650.453855
Egypt,1287.5168099999999
El Salvador,1383.7925
Estonia,1961.89014
Finland,2814.3519450000003
France,2977.5313799999994
Georgia,1281.368425
Germany,2612.423285
Greece,2174.74289
Guatemala,1552.215445
Hong Kong,2841.5918650000003
Hungary,1637.9605999999999
Iceland,3794.84426
India,970.118655
Indonesia,1501.35051
Iran,1379.77834
Iraq,1612.0063099999998
Ireland,2987.25896
Israel,2793.55052
Italy,2725.4899649999998
Jamaica,1161.718
Japan,3390.1438749999998
Jordan,2053.15851
Kazakhstan,1205.1610099999998
Kenya,1479.277125
Kosovo (Disputed Territory),1015.2182400000002
Kuwait,2158.810105
Latvia,1858.963055
Lebanon,2210.15451
Lithuania,1816.251135
Luxembourg,2985.4035
Macedonia,1187.10106
Malaysia,1506.8418649999999
Malta,2468.79431
Mauritius,1385.5779850000001
Mexico,1244.685765
Moldova,1072.6054
Montenegro,1450.8145
Morocco,1278.3020450000001
Nepal,1140.0543549999998
Netherlands,2811.6638199999998
New Zealand,2913.2696800000003
Nigeria,2030.519335
Norway,4047.1432149999996
Oman,1913.699395
Pakistan,980.071805
Panama,2108.1205
Peru,1520.75074
Philippines,1382.958105
Poland,1477.235835
Portugal,1862.6975549999997
Puerto Rico,2474.326845
Qatar,2428.33777
Romania,1376.0413449999999
Russia,1390.27316
Saudi Arabia,1717.563995
Serbia,1334.0895
Singapore,2976.57447
Slovakia,1772.99226
Slovenia,2064.65674
South Africa,1434.524375
South Korea,2851.299865
Spain,2162.989045
Sri Lanka,1275.391815
Sweden,3086.083525
Switzerland,4855.287469999999
Taiwan,2233.94642
Thailand,1606.63227
Trinidad And Tobago,2003.05483
Tunisia,1118.120745
Turkey,1762.8098049999999
Ukraine,936.425885
United Arab Emirates,2442.872225
United Kingdom,3004.957595
United States,2751.7861900000003
Uruguay,2322.5253249999996
Venezuela,1348.0965
Vietnam,1339.957075
Zimbabwe,1674.128
