Country,Field,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,B. Mining and quarrying,1.9135946725882746,1.897128117218891,1.8806615618495073,1.8641950064801236,1.8477284511107328,1.8312618957413491,1.8147953403719654,1.7983287850025818,1.781862229633198,1.7653956742638144,1.7489291188944236,1.73246256352504,1.7159960081556562
Austria,C. Manufacturing,1.6959540537547042,1.663733796532469,1.631513539310248,1.599293282088027,1.5670730248657918,1.5348527676435708,1.5026325104213498,1.4704122531991288,1.4381919959768936,1.4059717387546726,1.3737514815324516,1.3415312243102164,1.3093109670879954
Austria,"D. Electricity; gas, steam and air conditioning supply",2.5189776485300257,2.4674190123049016,2.4158603760797774,2.3643017398546533,2.3127431036295434,2.2611844674044193,2.209625831179295,2.158067194954171,2.106508558729061,2.054949922503937,2.003391286278813,1.9518326500536887,1.9002740138285787
Austria,"E. Water supply; sewerage, waste management and remediation activities",1.4391889011688193,1.4066467108623897,1.3741045205559743,1.3415623302495447,1.3090201399431152,1.2764779496366856,1.243935759330256,1.2113935690238407,1.178851378717411,1.1463091884109815,1.113766998104552,1.0812248077981366,1.048682617491707
Austria,F. Construction,1.3922033520269252,1.3536586161232833,1.3151138802196556,1.2765691443160279,1.2380244084124001,1.1994796725087582,1.1609349366051305,1.1223902007015027,1.083845464797875,1.045300728894233,1.0067559929906054,0.9682112570869776,0.9296665211833499
Austria,G. Wholesale and retail trade; repair of motor vehicles and motorcycles,1.2614541530314227,1.2281928020472037,1.194931451062999,1.16167010007878,1.1284087490945751,1.095147398110356,1.0618860471261513,1.0286246961419323,0.9953633451577133,0.9621019941735085,0.9288406431892895,0.8955792922050847,0.8623179412208657
Austria,H. Transportation and storage,1.5226598354728225,1.4781252752047465,1.4335907149366562,1.3890561546685802,1.34452159440049,1.2999870341323998,1.2554524738643238,1.2109179135962336,1.1663833533281576,1.1218487930600674,1.0773142327919913,1.0327796725239011,0.9882451122558109
Austria,I. Accommodation and food service activities,0.735987861676179,0.7022577467589457,0.6685276318417124,0.634797516924479,0.6010674020072599,0.5673372870900266,0.5336071721727933,0.49987705725556,0.46614694233832665,0.43241682742109333,0.39868671250386,0.3649565975866267,0.3312264826694076
Austria,J. Information and communication,2.115872563666869,2.053274056952148,1.9906755502374267,1.9280770435227197,1.8654785368079985,1.8028800300932772,1.7402815233785702,1.677683016663849,1.6150845099491278,1.5524860032344066,1.4898874965196995,1.4272889898049783,1.364690483090257
Austria,K. Financial and insurance activities,2.28394506159745,2.2388127515285845,2.193680441459705,2.1485481313908252,2.10341582132196,2.05828351125308,2.0131512011842148,1.9680188911153351,1.9228865810464555,1.87775427097759,1.8326219609087104,1.787489650839845,1.7423573407709654
Austria,L. Real estate activities,1.4568940430718982,1.4110639840315713,1.3652339249912444,1.3194038659509175,1.2735738069105906,1.2277437478702637,1.1819136888299369,1.13608362978961,1.0902535707492973,1.0444235117089704,0.9985934526686435,0.9527633936283166,0.9069333345879897
Austria,"M. Professional, scientific and technical activities",1.7771530895877277,1.7176275756802966,1.6581020617728655,1.5985765478654343,1.5390510339580175,1.4795255200505864,1.4200000061431552,1.3604744922357384,1.3009489783283072,1.2414234644208761,1.181897950513445,1.1223724366060281,1.062846922698597
Austria,N. Administrative and support service activities,1.0018361533130928,0.9613092747133862,0.9207823961136796,0.880255517513973,0.8397286389142806,0.799201760314574,0.7586748817148674,0.7181480031151608,0.6776211245154684,0.6370942459157618,0.5965673673160552,0.5560404887163628,0.5155136101166562
Austria,P. Education,1.4568608312376057,1.3887472023730538,1.3206335735085304,1.2525199446439785,1.184406315779455,1.1162926869149032,1.0481790580503798,0.980065429185828,0.9119518003213045,0.8438381714567527,0.7757245425922292,0.7076109137276774,0.6394972848631539
Austria,Q. Human health and social work activities,1.25214274201862,1.208968216786971,1.1657936915553222,1.1226191663236733,1.0794446410920244,1.0362701158603755,0.9930955906287267,0.9499210653970636,0.9067465401654147,0.8635720149337658,0.8203974897021169,0.777222964470468,0.7340484392388191
Austria,"R. Arts, entertainment and recreation",1.300450561397355,1.237026517005674,1.173602472613993,1.1101784282223264,1.0467543838306455,0.9833303394389787,0.9199062950472978,0.8564822506556311,0.7930582062639502,0.7296341618722693,0.6662101174806025,0.6027860730889358,0.5393620286972407
Austria,S. Other service activities,1.2354757836793766,1.1906147190264846,1.1457536543735927,1.1008925897207007,1.0560315250678087,1.0111704604149168,0.9663093957620248,0.9214483311091328,0.8765872664562409,0.8317262018033489,0.7868651371504569,0.742004072497565,0.697143007844673
Austria,Total,1.4557023367167403,1.4123241674987241,1.368945998280708,1.3255678290626776,1.2821896598446614,1.2388114906266452,1.195433321408629,1.1520551521905986,1.1086769829725824,1.0652988137545663,1.02192064453655,0.9785424753185197,0.9351643061005035
Canada,Total,1.4927962081246307,1.455210458782119,1.4176247094396075,1.380038960097096,1.3424532107545843,1.304867461412087,1.2672817120695754,1.2296959627270638,1.1921102133845523,1.1545244640420407,1.116938714699529,1.0793529653570175,1.041767216014506
Colombia,F. Construction,0.25697410382615216,0.25899919676069727,0.2610242896952424,0.2630493826297875,0.2650744755643326,0.2670995684988786,0.26912466143342373,0.27114975436796884,0.27317484730251396,0.27519994023705907,0.2772250331716042,0.2792501261061493,0.2812752190406944
Colombia,Total,0.32658503319673304,0.32437392322686165,0.32216281325699025,0.31995170328711975,0.31774059331724835,0.31552948334737696,0.31331837337750557,0.31110726340763506,0.30889615343776367,0.30668504346789227,0.3044739334980209,0.30226282352815037,0.300051713558279
