Country,Field,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,B. Mining and quarrying,1.95525038497764,1.7783841737154782,1.9679148090923628,2.0145172864116603,1.8405002574204832,1.7929607748793854,1.5661150524778233,1.7560862074334898,1.8640774265868716,1.8591453612652713
Austria,C. Manufacturing,1.7410925001852513,1.5162219632832192,1.6702325692073843,1.735520298927375,1.6026441254003525,1.531440639121392,1.3726658391505073,1.415580378610516,1.4590021081855207,1.4652285404753185
Austria,"D. Electricity; gas, steam and air conditioning supply",2.522560773810417,2.282622480824472,2.552550270876394,2.5951843631987113,2.2407708693477177,2.2741783714715993,2.046909093122107,2.0920978890608875,2.138482060506609,2.1242816829508167
Austria,"E. Water supply; sewerage, waste management and remediation activities",1.533877674918519,1.2389924614834247,1.365044191447428,1.4133468992704787,1.4528058832657755,1.2483173684854791,1.1167530501278768,1.1531467880256718,1.1923565972309529,1.2128495336433918
Austria,F. Construction,1.5401964785774207,1.1651677850775004,1.2684997284347783,1.2892258882939343,1.4664271831297795,1.1467391383145367,1.02728479146846,1.0640345795027566,1.096802513834129,1.1231423179725541
Austria,G. Wholesale and retail trade; repair of motor vehicles and motorcycles,1.3778375347897556,1.067230391188521,1.1740968943041439,1.203962022960782,1.2584361651426834,1.0653887331884422,0.952726088793673,0.9835053960586717,1.0143186108331796,1.020278898764791
Austria,H. Transportation and storage,1.6400107028906619,1.288213723177849,1.431017215272945,1.4462675929861286,1.460141036058783,1.309444091066223,1.1304538215980022,1.1519201246606958,1.1813299291668142,1.183744905786393
Austria,I. Accommodation and food service activities,0.9823642952329962,0.48916740767360267,0.5342174266805212,0.5536828349991426,0.910556684857977,0.4908696204206997,0.44210565434570515,0.4643662624015417,0.48429167630333136,0.49040158257090666
Austria,J. Information and communication,2.267964451725841,1.8150493592702899,1.9840041613560813,2.0436591298242304,2.0023902344665814,1.7630850685055492,1.5661150524778233,1.6056589230417802,1.6464312612381076,1.6474351926001423
Austria,K. Financial and insurance activities,2.288183670371935,2.0782146125665757,2.2709615579703035,2.3372311022946963,2.088834615769119,2.046208339141462,1.9276180815762174,1.941261716880852,1.9277789962781935,1.9022039700258095
Austria,L. Real estate activities,1.6956028322155101,1.154621402733797,1.2593779757891568,1.2876087028954117,1.6136468545898635,1.1403058365953787,1.0381638520990033,1.0758887068881902,1.126203504285484,1.1151681058125174
Austria,"M. Professional, scientific and technical activities",2.070861618438135,1.4122627041422242,1.55491441207695,1.5747038072119965,1.8509784837489887,1.4068839642394584,1.2557923966336277,1.289675506090321,1.3311909578804653,1.3456189195808683
Austria,N. Administrative and support service activities,1.2470630786726795,0.7307383748504681,0.8050812963158556,0.8235089997586411,1.1389835962716128,0.7266524068025639,0.6472422119247091,0.6683433731598662,0.6933626968421034,0.7136759615458347
Austria,P. Education,1.8472255281573944,1.04764579886501,1.139772386179522,1.149457186438722,1.5905963341193645,1.015749161713445,0.9015420746222621,0.9205547690365756,0.9420418963318656,0.9489098780077673
Austria,Q. Human health and social work activities,1.5079782044161574,0.953226271135836,1.044296650250295,1.069589356807172,1.4177036278837551,0.9610557408518591,0.8636583310276164,0.8952109631124071,0.9261156394791148,0.9397389997978098
Austria,"R. Arts, entertainment and recreation",1.6804443748708897,0.9281141188566105,0.9901255462092959,0.9945771466510852,1.4297553627952768,0.8861386374449225,0.7790252104262186,0.8003779440289391,0.8309730247243831,0.8308922503404437
Austria,S. Other service activities,1.4624885364464164,0.9522232282718095,1.0496611592432576,1.0739045600564956,1.3427864786317336,0.9348585740315403,0.8475399905284816,0.8747738106481432,0.8963100958250303,0.9014634937308538
Austria,Total,1.6103180440681752,1.2143854387040687,1.3285697050104515,1.3561440448976174,1.4700947595262832,1.1945394400127751,1.0663773195776107,1.0991880738707316,1.1302870712292745,1.1351018554595587
Canada,Total,1.633001974180936,1.4044590737737699,1.4125104487769762,1.3444083266575553,1.3301445224369617,1.2006328218017368,1.1810615771767543,1.2882017451636052,1.2059838640555256,1.2361990068096054
Colombia,F. Construction,0.234844044386313,0.25945518890015595,0.26475436193350566,0.29636986158188905,0.29380466819147827,0.24712857583507764,0.24392280767981386,0.26582694640079974,0.2651482504795676,0.2896155149274507
Colombia,Total,0.3021065653807878,0.32633823790926325,0.32334390848485,0.3596040222847985,0.3507674176313175,0.2892272413574619,0.286670299403243,0.30152511206594484,0.3064896367364162,0.3202779420690363
Germany,B. Mining and quarrying,2.4893346230209237,2.285221294847089,2.338580954265584,2.3688034768164843,1.9467797017358195,2.0424857479850598,1.8935484262459403,1.940848762661185,1.9343121233869314,1.9137417311683027
Germany,C. Manufacturing,2.2406857136732787,2.147675935832272,2.2556996939299445,2.1911704462589903,1.7700312617839893,1.9879595046196183,1.8905818319560719,1.9498428279507127,1.9913420843228677,1.965820530663841
Germany,"D. Electricity; gas, steam and air conditioning supply",2.939748189391158,2.801151317355954,2.9086636742528915,2.7740609884483867,2.3149267415976356,2.519141930410851,2.340137616710915,2.394897389204093,2.405867914127359,2.4361949185074137
Germany,"E. Water supply; sewerage, waste management and remediation activities",1.9955896971467002,1.7593503858889414,1.8446539734623053,1.764104744983135,1.5028844165480664,1.5921835069785728,1.510092190132963,1.5604741194975025,1.583623811940682,1.564472243959516
Germany,F. Construction,1.7995107404003567,1.6278806744405323,1.7124929061661216,1.6151875660482604,1.3993601673782676,1.468137736714501,1.4113677600297456,1.483372381050093,1.5274479489979096,1.5161115126023685
