,Rank,City,1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans)
0,,Algeria,0.11
1,,Argentina,0.34
2,,Australia,0.93
3,,Austria,0.09
4,,Azerbaijan,0.11
5,,Bahrain,0.10
6,,Bangladesh,0.02
7,,Belarus,0.03
8,,Belgium,0.26
9,,Bosnia And Herzegovina,0.14
10,,Brazil,0.55
11,,Bulgaria,0.21
12,,Canada,0.30
13,,Chile,0.31
14,,China,0.05
15,,Colombia,0.13
16,,Costa Rica,0.07
17,,Croatia,0.16
18,,Cyprus,0.13
19,,Czech Republic,0.24
20,,Denmark,0.13
21,,Dominican Republic,0.20
22,,Ecuador,0.22
23,,Egypt,0.03
24,,Estonia,-
25,,Ethiopia,0.04
26,,Finland,0.11
27,,France,0.25
28,,Georgia,0.10
29,,Germany,0.12
30,,Ghana,-
31,,Greece,0.49
32,,Hong Kong,0.05
33,,Hungary,0.16
34,,Iceland,0.15
35,,India,0.02
36,,Indonesia,0.11
37,,Iran,0.05
38,,Iraq,0.10
39,,Ireland,0.29
40,,Israel,0.11
41,,Italy,0.23
42,,Jamaica,0.22
43,,Japan,0.36
44,,Jordan,0.07
45,,Kazakhstan,0.09
46,,Kenya,0.04
47,,Kuwait,0.16
48,,Latvia,0.09
49,,Lebanon,0.35
50,,Lithuania,0.08
51,,Luxembourg,0.16
52,,Macedonia,0.13
53,,Malaysia,0.09
54,,Malta,-
55,,Mexico,0.19
56,,Moldova,0.14
57,,Morocco,0.23
58,,Nepal,0.02
59,,Netherlands,0.21
60,,New Zealand,0.52
61,,Nigeria,0.18
62,,Norway,0.16
63,,Oman,0.13
64,,Pakistan,0.03
65,,Panama,-
66,,Peru,0.26
67,,Philippines,0.17
68,,Poland,0.09
69,,Portugal,0.24
70,,Puerto Rico,0.18
71,,Qatar,0.19
72,,Romania,0.20
73,,Russia,0.05
74,,Saudi Arabia,0.14
75,,Serbia,0.13
76,,Singapore,0.15
77,,Slovakia,0.16
78,,Slovenia,0.13
79,,South Africa,0.20
80,,South Korea,0.17
81,,Spain,0.18
82,,Sri Lanka,0.02
83,,Sweden,0.19
84,,Switzerland,0.41
85,,Syria,0.07
86,,Taiwan,0.21
87,,Tanzania,-
88,,Thailand,0.06
89,,Trinidad And Tobago,0.16
90,,Tunisia,0.11
91,,Turkey,0.23
92,,Ukraine,0.08
93,,United Arab Emirates,0.14
94,,United Kingdom,0.25
95,,United States,0.15
96,,Uruguay,0.22
97,,Venezuela,0.21
98,,Vietnam,0.11
