,Rank,City,Banana (1kg)
0,,Albania,1.47
1,,Algeria,2.12
2,,Argentina,1.38
3,,Armenia,1.39
4,,Australia,2.48
5,,Austria,1.92
6,,Azerbaijan,1.49
7,,Bahrain,2.22
8,,Bangladesh,1.20
9,,Belarus,1.34
10,,Belgium,1.88
11,,Bolivia,-
12,,Bosnia And Herzegovina,1.22
13,,Brazil,1.01
14,,Brunei,-
15,,Bulgaria,1.44
16,,Cambodia,1.47
17,,Canada,1.27
18,,Chile,1.20
19,,China,1.35
20,,Colombia,0.72
21,,Costa Rica,1.40
22,,Croatia,1.60
23,,Cyprus,1.60
24,,Czech Republic,1.30
25,,Denmark,2.78
26,,Dominican Republic,0.81
27,,Ecuador,0.97
28,,Egypt,0.70
29,,El Salvador,-
30,,Estonia,1.18
31,,Ethiopia,1.05
32,,Finland,1.71
33,,France,2.25
34,,Georgia,1.30
35,,Germany,1.75
36,,Greece,1.61
37,,Guatemala,-
38,,Honduras,-
39,,Hong Kong,2.22
40,,Hungary,1.43
41,,Iceland,1.94
42,,India,0.73
43,,Indonesia,1.26
44,,Iran,2.18
45,,Iraq,1.09
46,,Ireland,2.00
47,,Israel,2.27
48,,Italy,1.91
49,,Jamaica,-
50,,Japan,2.82
51,,Jordan,1.62
52,,Kazakhstan,1.38
53,,Kenya,1.29
54,,Kosovo (Disputed Territory),1.24
55,,Kuwait,1.61
56,,Latvia,1.30
57,,Lebanon,1.35
58,,Lithuania,1.15
59,,Luxembourg,2.01
60,,Macedonia,1.04
61,,Malaysia,1.18
62,,Malta,2.14
63,,Mauritius,-
64,,Mexico,0.93
65,,Moldova,1.38
66,,Montenegro,1.23
67,,Morocco,1.20
68,,Namibia,-
69,,Nepal,0.89
70,,Netherlands,1.83
71,,New Zealand,1.92
72,,Nigeria,1.45
73,,Norway,2.75
74,,Oman,1.68
75,,Pakistan,0.60
76,,Palestinian Territory,1.54
77,,Panama,1.64
78,,Peru,1.20
79,,Philippines,1.40
80,,Poland,1.16
81,,Portugal,1.24
82,,Puerto Rico,-
83,,Qatar,1.51
84,,Romania,1.25
85,,Russia,1.01
86,,Saudi Arabia,1.38
87,,Serbia,1.12
88,,Singapore,2.38
89,,Slovakia,1.76
90,,Slovenia,1.45
91,,South Africa,1.28
92,,South Korea,3.56
93,,Spain,1.72
94,,Sri Lanka,0.82
95,,Sweden,2.34
96,,Switzerland,2.95
97,,Taiwan,1.71
98,,Thailand,1.10
99,,Trinidad And Tobago,1.91
100,,Tunisia,1.65
101,,Turkey,1.94
102,,Uganda,-
103,,Ukraine,1.05
104,,United Arab Emirates,1.75
105,,United Kingdom,1.35
106,,United States,1.53
107,,Uruguay,2.18
108,,Uzbekistan,2.31
109,,Venezuela,0.93
110,,Vietnam,0.88
