,Rank,City,Imported Beer (0.33 liter bottle)
0,,Albania,1.74
1,,Argentina,4.47
2,,Australia,6.80
3,,Austria,3.70
4,,Bahrain,8.11
5,,Bangladesh,4.96
6,,Belarus,3.00
7,,Belgium,4.01
8,,Bosnia And Herzegovina,1.85
9,,Brazil,3.45
10,,Bulgaria,1.75
11,,Cambodia,2.00
12,,Canada,5.83
13,,Chile,2.90
14,,China,3.92
15,,Colombia,2.94
16,,Costa Rica,3.75
17,,Croatia,2.62
18,,Cyprus,4.32
19,,Czech Republic,1.68
20,,Denmark,6.66
21,,Dominican Republic,2.73
22,,Ecuador,2.00
23,,Egypt,3.09
24,,Estonia,2.47
25,,Finland,6.79
26,,France,4.94
27,,Georgia,2.44
28,,Germany,3.52
29,,Greece,5.25
30,,Hong Kong,3.22
31,,Hungary,1.85
32,,Iceland,5.92
33,,India,2.22
34,,Indonesia,3.58
35,,Iran,5.00
36,,Iraq,3.50
37,,Ireland,5.25
38,,Israel,5.64
39,,Italy,4.94
40,,Japan,6.59
41,,Jordan,7.04
42,,Kazakhstan,2.04
43,,Kenya,2.36
44,,Kuwait,8.22
45,,Latvia,1.77
46,,Lebanon,3.50
47,,Lithuania,1.79
48,,Luxembourg,3.70
49,,Macedonia,1.85
50,,Malaysia,3.77
51,,Malta,2.47
52,,Mauritius,2.59
53,,Mexico,2.09
54,,Morocco,3.87
55,,Nepal,3.22
56,,Netherlands,3.70
57,,New Zealand,5.83
58,,Nigeria,3.09
59,,Norway,9.82
60,,Oman,9.09
61,,Pakistan,5.41
62,,Peru,2.30
63,,Philippines,1.96
64,,Poland,1.69
65,,Portugal,2.47
66,,Puerto Rico,3.00
67,,Qatar,10.99
68,,Romania,1.65
69,,Russia,2.70
70,,Saudi Arabia,1.02
71,,Serbia,1.87
72,,Singapore,6.20
73,,Slovakia,1.91
74,,Slovenia,3.09
75,,South Africa,2.12
76,,South Korea,4.53
77,,Spain,3.09
78,,Sri Lanka,3.26
79,,Sweden,6.88
80,,Switzerland,5.15
81,,Taiwan,2.37
82,,Tanzania,1.98
83,,Thailand,2.83
84,,Tunisia,2.78
85,,Turkey,3.49
86,,Ukraine,1.84
87,,United Arab Emirates,7.59
88,,United Kingdom,4.62
89,,United States,4.50
90,,Uruguay,2.99
91,,Venezuela,6.00
92,,Vietnam,1.51
