,Rank,City,Monthly Pass (Regular Price)
0,,Albania,11.37
1,,Algeria,10.93
2,,Argentina,19.49
3,,Armenia,12.54
4,,Australia,102.83
5,,Austria,49.95
6,,Azerbaijan,7.97
7,,Bahrain,37.14
8,,Bangladesh,12.72
9,,Belarus,15.00
10,,Belgium,55.62
11,,Bolivia,-
12,,Bosnia And Herzegovina,29.04
13,,Brazil,45.39
14,,Bulgaria,29.03
15,,Cambodia,-
16,,Canada,71.12
17,,Chile,46.26
18,,China,18.26
19,,Colombia,27.12
20,,Costa Rica,49.51
21,,Croatia,54.37
22,,Cyprus,45.41
23,,Czech Republic,23.11
24,,Denmark,61.06
25,,Dominican Republic,16.55
26,,Ecuador,10.00
27,,Egypt,6.76
28,,El Salvador,26.00
29,,Estonia,26.11
30,,Finland,59.48
31,,France,79.46
32,,Georgia,14.15
33,,Germany,86.73
34,,Greece,34.06
35,,Guatemala,-
36,,Hong Kong,57.94
37,,Hungary,34.72
38,,Iceland,92.18
39,,India,10.50
40,,Indonesia,15.14
41,,Iran,16.51
42,,Iraq,31.29
43,,Ireland,124.87
44,,Israel,56.41
45,,Italy,39.73
46,,Jamaica,-
47,,Japan,88.63
48,,Jordan,42.31
49,,Kazakhstan,17.99
50,,Kenya,29.67
51,,Kosovo (Disputed Territory),9.08
52,,Kuwait,49.80
53,,Latvia,56.76
54,,Lebanon,40.00
55,,Lithuania,32.92
56,,Luxembourg,28.38
57,,Macedonia,22.70
58,,Malaysia,24.67
59,,Malta,29.52
60,,Mauritius,-
61,,Mexico,16.17
62,,Moldova,8.84
63,,Montenegro,31.22
64,,Morocco,20.73
65,,Nepal,9.13
66,,Netherlands,82.87
67,,New Zealand,97.58
68,,Nigeria,67.85
69,,Norway,84.92
70,,Oman,-
71,,Pakistan,8.93
72,,Panama,30.00
73,,Peru,30.19
74,,Philippines,10.86
75,,Poland,25.61
76,,Portugal,40.47
77,,Puerto Rico,30.00
78,,Qatar,31.60
79,,Romania,15.11
80,,Russia,24.59
81,,Saudi Arabia,38.66
82,,Serbia,29.47
83,,Singapore,73.90
84,,Slovakia,29.52
85,,Slovenia,42.00
86,,South Africa,28.52
87,,South Korea,47.68
88,,Spain,56.76
89,,Sri Lanka,6.68
90,,Sweden,97.09
91,,Switzerland,78.61
92,,Taiwan,31.11
93,,Thailand,34.05
94,,Trinidad And Tobago,-
95,,Tunisia,14.11
96,,Turkey,60.33
97,,Ukraine,8.01
98,,United Arab Emirates,62.62
99,,United Kingdom,87.35
100,,United States,75.00
101,,Uruguay,39.16
102,,Venezuela,5.00
103,,Vietnam,6.71
104,,Zimbabwe,30.00
