,Rank,City,Potato (1kg)
0,,Albania,0.56
1,,Algeria,0.40
2,,Argentina,1.06
3,,Armenia,0.48
4,,Australia,2.08
5,,Austria,1.66
6,,Azerbaijan,0.50
7,,Bahrain,1.13
8,,Bangladesh,0.31
9,,Belarus,0.37
10,,Belgium,1.51
11,,Bolivia,-
12,,Bosnia And Herzegovina,0.59
13,,Brazil,1.24
14,,Bulgaria,0.57
15,,Cambodia,1.29
16,,Canada,1.95
17,,Chile,1.16
18,,China,0.92
19,,Colombia,0.82
20,,Costa Rica,1.73
21,,Croatia,0.74
22,,Cyprus,0.81
23,,Czech Republic,0.69
24,,Denmark,1.75
25,,Dominican Republic,1.27
26,,Ecuador,1.18
27,,Egypt,0.50
28,,El Salvador,1.58
29,,Estonia,0.43
30,,Finland,1.03
31,,France,1.81
32,,Georgia,0.44
33,,Germany,1.51
34,,Greece,0.85
35,,Guatemala,1.37
36,,Hong Kong,2.40
37,,Hungary,0.70
38,,Iceland,2.59
39,,India,0.37
40,,Indonesia,1.33
41,,Iran,0.54
42,,Iraq,0.77
43,,Ireland,1.64
44,,Israel,1.02
45,,Italy,1.30
46,,Jamaica,-
47,,Japan,3.55
48,,Jordan,1.02
49,,Kazakhstan,0.37
50,,Kenya,1.00
51,,Kosovo (Disputed Territory),0.34
52,,Kuwait,1.29
53,,Latvia,0.60
54,,Lebanon,0.83
55,,Lithuania,0.47
56,,Luxembourg,2.07
57,,Macedonia,0.49
58,,Malaysia,1.04
59,,Malta,1.35
60,,Mauritius,-
61,,Mexico,0.96
62,,Moldova,0.39
63,,Montenegro,0.53
64,,Morocco,0.45
65,,Nepal,0.43
66,,Netherlands,1.53
67,,New Zealand,1.80
68,,Nigeria,1.94
69,,Norway,2.19
70,,Oman,1.08
71,,Pakistan,0.32
72,,Panama,1.46
73,,Peru,0.83
74,,Philippines,1.61
75,,Poland,0.44
76,,Portugal,0.79
77,,Puerto Rico,2.50
78,,Qatar,1.10
79,,Romania,0.50
80,,Russia,0.45
81,,Saudi Arabia,0.98
82,,Serbia,0.48
83,,Singapore,1.95
84,,Slovakia,0.80
85,,Slovenia,0.77
86,,South Africa,1.21
87,,South Korea,3.09
88,,Spain,1.04
89,,Sri Lanka,1.04
90,,Sweden,1.16
91,,Switzerland,2.78
92,,Taiwan,2.67
93,,Thailand,1.42
94,,Trinidad And Tobago,0.80
95,,Tunisia,0.46
96,,Turkey,0.62
97,,Ukraine,0.28
98,,United Arab Emirates,1.16
99,,United Kingdom,1.69
100,,United States,2.48
101,,Uruguay,1.65
102,,Venezuela,1.33
103,,Vietnam,0.97
104,,Zimbabwe,1.54
