,Rank,City,Imported Beer (0.33 liter bottle)
0,,Albania,1.68
1,,Algeria,1.85
2,,Argentina,4.40
3,,Armenia,1.66
4,,Australia,6.02
5,,Austria,4.25
6,,Azerbaijan,2.18
7,,Bahrain,9.28
8,,Bangladesh,4.65
9,,Belarus,2.00
10,,Belgium,3.36
11,,Bolivia,2.88
12,,Bosnia And Herzegovina,1.72
13,,Brazil,3.64
14,,Bulgaria,1.72
15,,Cambodia,1.80
16,,Canada,5.20
17,,Chile,3.01
18,,China,2.65
19,,Colombia,2.06
20,,Costa Rica,3.52
21,,Croatia,2.42
22,,Cyprus,3.36
23,,Czech Republic,1.71
24,,Denmark,6.02
25,,Dominican Republic,3.18
26,,Ecuador,3.00
27,,Egypt,1.93
28,,Estonia,3.75
29,,Finland,6.72
30,,France,5.60
31,,Georgia,1.66
32,,Germany,3.36
33,,Greece,4.48
34,,Guatemala,3.41
35,,Hong Kong,6.41
36,,Hungary,1.82
37,,Iceland,10.13
38,,India,3.11
39,,Indonesia,3.76
40,,Iran,1.12
41,,Iraq,2.50
42,,Ireland,5.60
43,,Israel,7.64
44,,Italy,4.48
45,,Jamaica,2.31
46,,Japan,4.99
47,,Jordan,7.04
48,,Kazakhstan,1.58
49,,Kenya,2.42
50,,Kosovo (Disputed Territory),1.68
51,,Kuwait,2.22
52,,Latvia,2.24
53,,Lebanon,3.30
54,,Lithuania,2.24
55,,Luxembourg,4.48
56,,Macedonia,1.82
57,,Malaysia,3.52
58,,Malta,2.80
59,,Mauritius,2.99
60,,Mexico,2.75
61,,Moldova,1.65
62,,Montenegro,2.24
63,,Morocco,3.07
64,,Nepal,3.90
65,,Netherlands,4.31
66,,New Zealand,6.49
67,,Nigeria,1.59
68,,Norway,9.41
69,,Oman,7.79
70,,Pakistan,3.34
71,,Panama,3.00
72,,Peru,2.76
73,,Philippines,1.82
74,,Poland,1.87
75,,Portugal,2.24
76,,Puerto Rico,3.25
77,,Qatar,10.93
78,,Romania,1.96
79,,Russia,2.63
80,,Saudi Arabia,1.33
81,,Serbia,1.83
82,,Singapore,7.22
83,,Slovakia,1.90
84,,Slovenia,3.36
85,,South Africa,2.32
86,,South Korea,4.44
87,,Spain,3.36
88,,Sri Lanka,3.11
89,,Sweden,6.88
90,,Switzerland,6.19
91,,Taiwan,1.99
92,,Tanzania,1.79
93,,Thailand,3.52
94,,Trinidad And Tobago,2.38
95,,Tunisia,1.54
96,,Turkey,3.96
97,,Ukraine,1.15
98,,United Arab Emirates,10.89
99,,United Kingdom,4.84
100,,United States,6.00
101,,Uruguay,3.51
102,,Venezuela,2.00
103,,Vietnam,1.32
104,,Zimbabwe,2.00
