,Rank,City,One-way Ticket (Local Transport)
0,,Argentina,0.49
1,,Australia,3.94
2,,Austria,2.68
3,,Bangladesh,0.21
4,,Belgium,2.90
5,,Bosnia And Herzegovina,1.10
6,,Brazil,1.74
7,,Bulgaria,0.74
8,,Canada,2.84
9,,Chile,1.15
10,,China,0.31
11,,Colombia,0.91
12,,Costa Rica,0.50
13,,Croatia,1.60
14,,Cyprus,1.45
15,,Czech Republic,1.38
16,,Denmark,4.45
17,,Ecuador,0.25
18,,Egypt,0.25
19,,Estonia,1.45
20,,Finland,4.06
21,,France,2.03
22,,Germany,3.41
23,,Greece,2.03
24,,Hong Kong,0.77
25,,Hungary,1.73
26,,Iceland,3.22
27,,India,0.27
28,,Indonesia,0.41
29,,Iran,0.20
30,,Ireland,2.61
31,,Israel,1.75
32,,Italy,1.74
33,,Japan,2.46
34,,Jordan,1.40
35,,Latvia,1.43
36,,Lebanon,1.42
37,,Lithuania,1.05
38,,Macedonia,0.72
39,,Malaysia,0.67
40,,Malta,1.74
41,,Mexico,0.52
42,,Morocco,0.52
43,,Netherlands,3.19
44,,New Zealand,2.56
45,,Norway,5.04
46,,Pakistan,0.20
47,,Panama,1.45
48,,Peru,0.50
49,,Philippines,0.28
50,,Poland,0.95
51,,Portugal,1.74
52,,Puerto Rico,1.50
53,,Qatar,2.31
54,,Romania,0.58
55,,Russia,0.54
56,,Saudi Arabia,0.53
57,,Serbia,0.72
58,,Singapore,1.46
59,,Slovakia,1.01
60,,Slovenia,1.16
61,,South Africa,1.47
62,,South Korea,0.93
63,,Spain,1.74
64,,Sri Lanka,0.42
65,,Sweden,3.58
66,,Switzerland,3.53
67,,Syria,0.21
68,,Taiwan,0.67
69,,Thailand,0.75
70,,Tunisia,0.50
71,,Turkey,1.10
72,,Ukraine,0.26
73,,United Arab Emirates,1.09
74,,United Kingdom,3.28
75,,United States,2.00
76,,Uruguay,0.93
77,,Venezuela,0.50
78,,Vietnam,0.23
