,Rank,City,Loaf of Fresh White Bread (500g)
0,,Argentina,1.25
1,,Australia,2.90
2,,Austria,2.88
3,,Belgium,2.22
4,,Bosnia And Herzegovina,0.65
5,,Brazil,1.51
6,,Bulgaria,0.54
7,,Canada,2.23
8,,Chile,1.19
9,,China,1.31
10,,Colombia,4.00
11,,Croatia,1.26
12,,Czech Republic,0.88
13,,Denmark,2.89
14,,Ecuador,1.35
15,,Egypt,1.68
16,,Estonia,0.97
17,,Finland,2.48
18,,France,1.34
19,,Germany,2.64
20,,Greece,0.99
21,,Hong Kong,1.44
22,,Hungary,1.21
23,,India,0.38
24,,Indonesia,0.94
25,,Iran,0.69
26,,Ireland,2.23
27,,Israel,1.94
28,,Italy,2.21
29,,Japan,1.75
30,,Jordan,1.30
31,,Kazakhstan,0.47
32,,Lithuania,0.83
33,,Malaysia,0.75
34,,Malta,0.82
35,,Mexico,1.55
36,,Morocco,0.43
37,,Netherlands,1.57
38,,New Zealand,1.93
39,,Norway,3.03
40,,Pakistan,0.47
41,,Panama,2.48
42,,Philippines,0.98
43,,Poland,0.84
44,,Portugal,1.31
45,,Puerto Rico,1.50
46,,Qatar,1.18
47,,Romania,0.62
48,,Russia,0.71
49,,Saudi Arabia,0.85
50,,Serbia,0.53
51,,Singapore,1.63
52,,Slovakia,1.40
53,,Slovenia,2.13
54,,South Africa,1.14
55,,South Korea,1.63
56,,Spain,0.91
57,,Sweden,2.59
58,,Switzerland,2.40
59,,Syria,0.50
60,,Taiwan,1.31
61,,Thailand,1.02
62,,Turkey,0.61
63,,Ukraine,0.60
64,,United Arab Emirates,1.02
65,,United Kingdom,1.61
66,,United States,2.28
67,,Vietnam,1.00
