,Rank,City,Coke/Pepsi (0.33 liter bottle)
0,,Argentina,1.33
1,,Australia,3.25
2,,Austria,3.54
3,,Bangladesh,0.42
4,,Belgium,2.83
5,,Bosnia And Herzegovina,1.70
6,,Brazil,1.57
7,,Bulgaria,1.26
8,,Canada,1.80
9,,Chile,1.17
10,,China,0.53
11,,Colombia,1.14
12,,Costa Rica,1.62
13,,Croatia,2.51
14,,Cyprus,2.60
15,,Czech Republic,1.57
16,,Denmark,4.26
17,,Ecuador,0.74
18,,Egypt,0.60
19,,Estonia,1.98
20,,Finland,2.91
21,,France,3.53
22,,Germany,3.08
23,,Greece,2.40
24,,Hong Kong,1.62
25,,Hungary,1.33
26,,Iceland,2.54
27,,India,0.44
28,,Indonesia,0.81
29,,Iran,0.48
30,,Ireland,2.84
31,,Israel,2.36
32,,Italy,2.98
33,,Japan,1.75
34,,Jordan,0.53
35,,Latvia,1.22
36,,Lebanon,0.73
37,,Lithuania,1.17
38,,Macedonia,1.63
39,,Malaysia,0.62
40,,Malta,1.76
41,,Mexico,0.85
42,,Morocco,0.88
43,,Netherlands,3.19
44,,New Zealand,2.27
45,,Norway,4.95
46,,Pakistan,0.44
47,,Panama,0.93
48,,Peru,1.14
49,,Philippines,0.50
50,,Poland,1.18
51,,Portugal,1.62
52,,Puerto Rico,1.05
53,,Qatar,1.17
54,,Romania,1.28
55,,Russia,1.22
56,,Saudi Arabia,0.54
57,,Serbia,1.37
58,,Singapore,1.13
59,,Slovakia,1.51
60,,Slovenia,2.71
61,,South Africa,1.11
62,,South Korea,1.05
63,,Spain,2.51
64,,Sri Lanka,0.75
65,,Sweden,2.89
66,,Switzerland,4.20
67,,Syria,0.47
68,,Taiwan,0.76
69,,Thailand,0.55
70,,Tunisia,0.69
71,,Turkey,1.49
72,,Ukraine,0.66
73,,United Arab Emirates,0.49
74,,United Kingdom,2.01
75,,United States,1.59
76,,Uruguay,1.70
77,,Venezuela,1.69
78,,Vietnam,0.59
