,Rank,City,Cigarettes 20 Pack (Marlboro)
0,,Albania,2.32
1,,Algeria,1.86
2,,Argentina,2.25
3,,Armenia,1.25
4,,Australia,17.49
5,,Austria,5.36
6,,Azerbaijan,2.38
7,,Bahrain,2.65
8,,Bangladesh,2.57
9,,Belarus,1.20
10,,Belgium,6.34
11,,Bosnia And Herzegovina,2.51
12,,Brazil,2.20
13,,Bulgaria,2.85
14,,Cambodia,1.50
15,,Canada,9.57
16,,Chile,4.64
17,,China,2.90
18,,Colombia,1.56
19,,Costa Rica,3.36
20,,Croatia,3.61
21,,Cyprus,4.92
22,,Czech Republic,3.58
23,,Denmark,6.45
24,,Dominican Republic,3.62
25,,Ecuador,4.38
26,,Egypt,3.02
27,,Estonia,3.83
28,,Finland,6.56
29,,France,7.65
30,,Georgia,1.30
31,,Germany,5.90
32,,Greece,4.37
33,,Guatemala,2.87
34,,Hong Kong,7.09
35,,Hungary,3.73
36,,Iceland,9.44
37,,India,2.99
38,,Indonesia,1.36
39,,Iran,2.20
40,,Iraq,2.56
41,,Ireland,10.93
42,,Israel,8.26
43,,Italy,5.46
44,,Jamaica,4.75
45,,Japan,3.61
46,,Jordan,2.68
47,,Kazakhstan,1.61
48,,Kenya,2.05
49,,Kuwait,2.48
50,,Latvia,3.61
51,,Lebanon,2.00
52,,Lithuania,3.28
53,,Luxembourg,5.57
54,,Macedonia,2.12
55,,Malaysia,3.66
56,,Malta,5.68
57,,Mauritius,4.32
58,,Mexico,3.03
59,,Moldova,1.02
60,,Montenegro,2.62
61,,Morocco,3.35
62,,Nepal,1.47
63,,Netherlands,6.78
64,,New Zealand,15.60
65,,Nigeria,-
66,,Norway,12.96
67,,Oman,2.60
68,,Pakistan,1.18
69,,Panama,4.88
70,,Peru,2.53
71,,Philippines,1.35
72,,Poland,3.98
73,,Portugal,4.92
74,,Puerto Rico,6.85
75,,Qatar,2.75
76,,Romania,3.69
77,,Russia,1.73
78,,Saudi Arabia,2.67
79,,Serbia,2.26
80,,Singapore,9.59
81,,Slovakia,3.83
82,,Slovenia,4.26
83,,South Africa,2.93
84,,South Korea,4.03
85,,Spain,5.46
86,,Sri Lanka,5.23
87,,Sweden,6.42
88,,Switzerland,8.46
89,,Taiwan,2.91
90,,Tanzania,1.89
91,,Thailand,2.67
92,,Trinidad And Tobago,-
93,,Tunisia,2.79
94,,Turkey,3.73
95,,Ukraine,1.00
96,,United Arab Emirates,2.72
97,,United Kingdom,13.53
98,,United States,6.59
99,,Uruguay,3.36
100,,Venezuela,3.00
101,,Vietnam,1.08
102,,Zimbabwe,2.00
