,Rank,City,Potato (1kg)
0,,Albania,0.49
1,,Argentina,1.25
2,,Australia,2.85
3,,Austria,1.68
4,,Bahrain,0.47
5,,Bangladesh,0.28
6,,Belarus,0.48
7,,Belgium,1.44
8,,Bosnia And Herzegovina,0.65
9,,Brazil,1.28
10,,Bulgaria,0.55
11,,Cambodia,1.69
12,,Canada,1.76
13,,Chile,1.12
14,,China,1.01
15,,Colombia,1.17
16,,Costa Rica,1.23
17,,Croatia,0.75
18,,Cyprus,0.89
19,,Czech Republic,0.58
20,,Denmark,1.89
21,,Dominican Republic,1.58
22,,Ecuador,1.48
23,,Egypt,0.51
24,,Estonia,0.51
25,,Finland,0.99
26,,France,1.62
27,,Georgia,0.55
28,,Germany,1.36
29,,Greece,0.81
30,,Hong Kong,2.22
31,,Hungary,0.66
32,,Iceland,1.48
33,,India,0.35
34,,Indonesia,1.32
35,,Iran,0.73
36,,Iraq,0.98
37,,Ireland,2.04
38,,Israel,1.15
39,,Italy,1.43
40,,Japan,4.52
41,,Jordan,0.96
42,,Kazakhstan,0.54
43,,Kenya,0.99
44,,Kuwait,1.12
45,,Latvia,0.49
46,,Lebanon,0.88
47,,Lithuania,0.45
48,,Luxembourg,1.72
49,,Macedonia,0.59
50,,Malaysia,1.07
51,,Malta,1.83
52,,Mauritius,0.78
53,,Mexico,1.02
54,,Morocco,0.49
55,,Nepal,0.64
56,,Netherlands,1.55
57,,New Zealand,1.69
58,,Nigeria,2.16
59,,Norway,1.89
60,,Oman,0.93
61,,Pakistan,0.36
62,,Peru,0.61
63,,Philippines,1.43
64,,Poland,0.48
65,,Portugal,0.87
66,,Puerto Rico,2.42
67,,Qatar,1.19
68,,Romania,0.50
69,,Russia,0.78
70,,Saudi Arabia,1.00
71,,Serbia,0.54
72,,Singapore,2.14
73,,Slovakia,0.59
74,,Slovenia,0.97
75,,South Africa,1.39
76,,South Korea,3.36
77,,Spain,1.08
78,,Sri Lanka,0.76
79,,Sweden,1.01
80,,Switzerland,2.12
81,,Taiwan,1.50
82,,Tanzania,0.57
83,,Thailand,1.42
84,,Tunisia,0.54
85,,Turkey,0.68
86,,Ukraine,0.42
87,,United Arab Emirates,1.15
88,,United Kingdom,1.96
89,,United States,2.27
90,,Uruguay,1.60
91,,Venezuela,4.56
92,,Vietnam,0.77
