,Rank,City,Water (0.33 liter bottle)
0,,Algeria,0.29
1,,Argentina,1.22
2,,Australia,2.46
3,,Austria,1.68
4,,Azerbaijan,0.53
5,,Bahrain,0.36
6,,Bangladesh,0.19
7,,Belarus,0.68
8,,Belgium,2.28
9,,Bosnia And Herzegovina,0.76
10,,Brazil,0.98
11,,Bulgaria,0.67
12,,Canada,1.54
13,,Chile,1.04
14,,China,0.35
15,,Colombia,0.86
16,,Costa Rica,1.59
17,,Croatia,1.56
18,,Cyprus,0.92
19,,Czech Republic,1.07
20,,Denmark,2.60
21,,Dominican Republic,0.50
22,,Ecuador,0.48
23,,Egypt,0.29
24,,Estonia,0.94
25,,Ethiopia,0.41
26,,Finland,2.08
27,,France,2.07
28,,Georgia,0.32
29,,Germany,2.09
30,,Ghana,0.91
31,,Greece,0.65
32,,Hong Kong,0.76
33,,Hungary,0.77
34,,Iceland,1.74
35,,India,0.24
36,,Indonesia,0.27
37,,Iran,0.27
38,,Iraq,0.23
39,,Ireland,1.64
40,,Israel,1.74
41,,Italy,1.41
42,,Jamaica,0.74
43,,Japan,1.08
44,,Jordan,0.42
45,,Kazakhstan,0.52
46,,Kenya,0.57
47,,Kuwait,0.38
48,,Latvia,0.84
49,,Lebanon,0.54
50,,Lithuania,0.90
51,,Luxembourg,2.45
52,,Macedonia,0.85
53,,Malaysia,0.39
54,,Malta,1.20
55,,Mexico,0.64
56,,Moldova,0.63
57,,Morocco,0.41
58,,Nepal,0.25
59,,Netherlands,2.18
60,,New Zealand,2.30
61,,Nigeria,0.56
62,,Norway,3.88
63,,Oman,0.26
64,,Pakistan,0.25
65,,Panama,1.03
66,,Peru,0.72
67,,Philippines,0.35
68,,Poland,0.78
69,,Portugal,1.16
70,,Puerto Rico,1.03
71,,Qatar,0.39
72,,Romania,0.92
73,,Russia,0.93
74,,Saudi Arabia,0.27
75,,Serbia,1.01
76,,Singapore,0.91
77,,Slovakia,1.04
78,,Slovenia,1.89
79,,South Africa,0.78
80,,South Korea,0.83
81,,Spain,1.54
82,,Sri Lanka,0.31
83,,Sweden,2.37
84,,Switzerland,3.58
85,,Syria,0.34
86,,Taiwan,0.67
87,,Tanzania,0.46
88,,Thailand,0.33
89,,Trinidad And Tobago,0.78
90,,Tunisia,0.30
91,,Turkey,0.37
92,,Ukraine,0.63
93,,United Arab Emirates,0.32
94,,United Kingdom,1.38
95,,United States,1.29
96,,Uruguay,1.30
97,,Venezuela,1.45
98,,Vietnam,0.38
