,Rank,City,Eggs (regular) (12)
0,,Albania,1.58
1,,Algeria,1.06
2,,Argentina,1.76
3,,Armenia,1.79
4,,Australia,3.02
5,,Austria,2.92
6,,Azerbaijan,1.10
7,,Bahrain,2.95
8,,Bangladesh,1.22
9,,Belarus,1.26
10,,Belgium,2.68
11,,Bolivia,1.39
12,,Bosnia And Herzegovina,1.63
13,,Brazil,1.46
14,,Brunei,-
15,,Bulgaria,1.82
16,,Cambodia,1.54
17,,Canada,2.45
18,,Chile,2.52
19,,China,1.81
20,,Colombia,1.54
21,,Costa Rica,2.60
22,,Croatia,2.20
23,,Cyprus,3.00
24,,Czech Republic,1.77
25,,Denmark,3.43
26,,Dominican Republic,1.56
27,,Ecuador,1.76
28,,Egypt,1.09
29,,El Salvador,-
30,,Estonia,1.68
31,,Ethiopia,2.06
32,,Finland,2.06
33,,France,3.49
34,,Georgia,1.34
35,,Germany,2.36
36,,Greece,3.26
37,,Guatemala,-
38,,Honduras,1.92
39,,Hong Kong,2.75
40,,Hungary,1.66
41,,Iceland,5.30
42,,India,0.91
43,,Indonesia,1.35
44,,Iran,1.67
45,,Iraq,1.59
46,,Ireland,2.96
47,,Israel,3.45
48,,Italy,2.94
49,,Jamaica,2.58
50,,Japan,2.17
51,,Jordan,1.74
52,,Kazakhstan,0.95
53,,Kenya,1.86
54,,Kosovo (Disputed Territory),1.23
55,,Kuwait,1.97
56,,Latvia,1.77
57,,Lebanon,3.24
58,,Lithuania,1.58
59,,Luxembourg,4.59
60,,Macedonia,1.50
61,,Malaysia,1.21
62,,Malta,2.92
63,,Mauritius,2.08
64,,Mexico,1.46
65,,Moldova,0.93
66,,Montenegro,1.71
67,,Morocco,1.25
68,,Namibia,2.07
69,,Nepal,1.32
70,,Netherlands,2.72
71,,New Zealand,3.57
72,,Nigeria,1.29
73,,Norway,4.24
74,,Oman,3.01
75,,Pakistan,0.76
76,,Palestinian Territory,2.61
77,,Panama,2.03
78,,Peru,1.56
79,,Philippines,1.66
80,,Poland,1.95
81,,Portugal,1.86
82,,Puerto Rico,2.85
83,,Qatar,3.01
84,,Romania,2.19
85,,Russia,1.18
86,,Saudi Arabia,2.00
87,,Serbia,1.43
88,,Singapore,2.12
89,,Slovakia,1.94
90,,Slovenia,2.44
91,,South Africa,1.99
92,,South Korea,2.53
93,,Spain,1.80
94,,Sri Lanka,1.43
95,,Sweden,2.92
96,,Switzerland,5.57
97,,Taiwan,2.20
98,,Thailand,1.58
99,,Trinidad And Tobago,3.13
100,,Tunisia,0.97
101,,Turkey,1.66
102,,Uganda,1.86
103,,Ukraine,1.05
104,,United Arab Emirates,2.87
105,,United Kingdom,2.30
106,,United States,2.22
107,,Uruguay,2.28
108,,Uzbekistan,0.95
109,,Venezuela,1.54
110,,Vietnam,1.38
