,Rank,City,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment"
0,,Albania,50.44
1,,Algeria,42.03
2,,Argentina,119.74
3,,Armenia,84.92
4,,Australia,145.61
5,,Austria,162.72
6,,Azerbaijan,70.22
7,,Bahrain,44.33
8,,Bangladesh,37.51
9,,Belarus,42.09
10,,Belgium,155.21
11,,Bosnia And Herzegovina,125.73
12,,Brazil,77.03
13,,Bulgaria,93.55
14,,Cambodia,74.77
15,,Canada,119.58
16,,Chile,118.33
17,,China,60.36
18,,Colombia,92.96
19,,Costa Rica,67.94
20,,Croatia,182.48
21,,Cyprus,110.82
22,,Czech Republic,161.64
23,,Denmark,175.33
24,,Dominican Republic,74.69
25,,Ecuador,38.93
26,,Egypt,27.17
27,,Estonia,169.58
28,,Finland,108.99
29,,France,173.87
30,,Georgia,38.07
31,,Germany,237.48
32,,Greece,154.58
33,,Guatemala,75.52
34,,Hong Kong,208.05
35,,Hungary,165.33
36,,Iceland,118.12
37,,India,34.97
38,,Indonesia,74.49
39,,Iran,31.27
40,,Iraq,95.90
41,,Ireland,163.36
42,,Israel,173.36
43,,Italy,156.24
44,,Jamaica,113.68
45,,Japan,145.81
46,,Jordan,60.36
47,,Kazakhstan,102.97
48,,Kenya,41.47
49,,Kuwait,45.48
50,,Latvia,198.94
51,,Lebanon,133.67
52,,Lithuania,167.56
53,,Luxembourg,254.49
54,,Macedonia,127.17
55,,Malaysia,52.43
56,,Malta,80.82
57,,Mauritius,45.15
58,,Mexico,48.02
59,,Moldova,118.07
60,,Montenegro,111.80
61,,Morocco,38.94
62,,Nepal,49.07
63,,Netherlands,176.16
64,,New Zealand,132.98
65,,Nigeria,137.24
66,,Norway,213.34
67,,Oman,54.07
68,,Pakistan,68.61
69,,Panama,75.16
70,,Peru,55.24
71,,Philippines,76.07
72,,Poland,165.27
73,,Portugal,100.64
74,,Puerto Rico,226.61
75,,Qatar,78.73
76,,Romania,101.88
77,,Russia,109.09
78,,Saudi Arabia,39.13
79,,Serbia,131.61
80,,Singapore,128.39
81,,Slovakia,194.22
82,,Slovenia,203.95
83,,South Africa,88.41
84,,South Korea,136.78
85,,Spain,132.82
86,,Sri Lanka,40.86
87,,Sweden,86.15
88,,Switzerland,194.95
89,,Taiwan,63.36
90,,Tanzania,89.77
91,,Thailand,67.09
92,,Trinidad And Tobago,58.61
93,,Tunisia,46.01
94,,Turkey,97.37
95,,Ukraine,52.27
96,,United Arab Emirates,151.57
97,,United Kingdom,215.88
98,,United States,146.20
99,,Uruguay,119.68
100,,Venezuela,26.97
101,,Vietnam,59.47
102,,Zimbabwe,130.00
