,Rank,City,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate"
0,,Albania,5.54
1,,Algeria,6.20
2,,Argentina,29.68
3,,Armenia,12.02
4,,Australia,4.42
5,,Austria,2.13
6,,Azerbaijan,8.42
7,,Bahamas,-
8,,Bahrain,6.35
9,,Bangladesh,11.09
10,,Belarus,13.98
11,,Belgium,2.08
12,,Belize,8.72
13,,Bolivia,-
14,,Bosnia And Herzegovina,5.11
15,,Brazil,10.23
16,,Bulgaria,4.22
17,,Cambodia,9.57
18,,Canada,3.64
19,,Chile,4.05
20,,China,5.03
21,,Colombia,11.91
22,,Costa Rica,9.72
23,,Croatia,4.48
24,,Cyprus,3.56
25,,Czech Republic,2.59
26,,Denmark,2.09
27,,Dominican Republic,13.85
28,,Ecuador,10.81
29,,Egypt,13.75
30,,El Salvador,8.60
31,,Estonia,2.67
32,,Fiji,5.54
33,,Finland,1.52
34,,France,1.77
35,,Georgia,11.38
36,,Germany,1.97
37,,Ghana,-
38,,Greece,4.95
39,,Guatemala,7.94
40,,Hong Kong,2.37
41,,Hungary,5.23
42,,Iceland,6.36
43,,India,9.30
44,,Indonesia,10.04
45,,Iran,19.25
46,,Iraq,8.83
47,,Ireland,3.80
48,,Israel,3.62
49,,Italy,2.32
50,,Jamaica,7.92
51,,Japan,1.43
52,,Jordan,8.05
53,,Kazakhstan,16.54
54,,Kenya,14.00
55,,Kosovo (Disputed Territory),4.83
56,,Kuwait,5.15
57,,Latvia,2.61
58,,Lebanon,6.39
59,,Lithuania,2.18
60,,Luxembourg,1.99
61,,Macedonia,6.33
62,,Malaysia,4.53
63,,Malta,3.38
64,,Mauritius,7.29
65,,Mexico,10.99
66,,Moldova,-
67,,Montenegro,6.18
68,,Morocco,5.47
69,,Namibia,11.25
70,,Nepal,11.59
71,,Netherlands,2.57
72,,New Zealand,4.84
73,,Nigeria,18.12
74,,Norway,2.76
75,,Oman,5.20
76,,Pakistan,11.91
77,,Panama,5.39
78,,Peru,10.20
79,,Philippines,7.18
80,,Poland,3.84
81,,Portugal,2.59
82,,Puerto Rico,4.61
83,,Qatar,4.70
84,,Romania,5.44
85,,Russia,10.58
86,,Saudi Arabia,4.18
87,,Serbia,3.63
88,,Singapore,2.18
89,,Slovakia,1.78
90,,Slovenia,3.54
91,,South Africa,10.50
92,,South Korea,3.57
93,,Spain,2.39
94,,Sri Lanka,14.76
95,,Sweden,2.57
96,,Switzerland,1.76
97,,Taiwan,1.93
98,,Tanzania,-
99,,Thailand,5.49
100,,Trinidad And Tobago,6.78
101,,Tunisia,8.04
102,,Turkey,18.11
103,,Uganda,20.20
104,,Ukraine,19.95
105,,United Arab Emirates,4.05
106,,United Kingdom,3.32
107,,United States,4.22
108,,Uruguay,8.16
109,,Uzbekistan,15.50
110,,Venezuela,20.79
111,,Vietnam,8.59
112,,Zimbabwe,-
