,Rank,City,"Meal, Inexpensive Restaurant"
0,,Algeria,4.44
1,,Argentina,10.01
2,,Australia,15.38
3,,Austria,10.39
4,,Azerbaijan,10.20
5,,Bahrain,5.41
6,,Bangladesh,2.62
7,,Belarus,9.00
8,,Belgium,15.58
9,,Bosnia And Herzegovina,4.00
10,,Brazil,7.01
11,,Bulgaria,5.33
12,,Canada,12.50
13,,Chile,6.99
14,,China,4.08
15,,Colombia,4.34
16,,Costa Rica,7.10
17,,Croatia,7.79
18,,Cyprus,13.32
19,,Czech Republic,5.07
20,,Denmark,17.42
21,,Dominican Republic,7.39
22,,Ecuador,3.00
23,,Egypt,4.37
24,,Estonia,7.79
25,,Ethiopia,3.68
26,,Finland,12.47
27,,France,15.58
28,,Georgia,7.25
29,,Germany,10.39
30,,Ghana,7.38
31,,Greece,12.99
32,,Hong Kong,5.15
33,,Hungary,5.69
34,,Iceland,14.26
35,,India,1.77
36,,Indonesia,2.40
37,,Iran,5.00
38,,Iraq,6.44
39,,Ireland,17.69
40,,Israel,13.59
41,,Italy,19.48
42,,Jamaica,5.13
43,,Japan,7.96
44,,Jordan,5.63
45,,Kazakhstan,10.07
46,,Kenya,3.59
47,,Kuwait,5.17
48,,Latvia,7.42
49,,Lebanon,10.00
50,,Lithuania,5.77
51,,Luxembourg,24.68
52,,Macedonia,4.01
53,,Malaysia,2.30
54,,Malta,12.99
55,,Mexico,4.68
56,,Moldova,4.08
57,,Morocco,3.60
58,,Nepal,1.67
59,,Netherlands,19.48
60,,New Zealand,12.00
61,,Nigeria,7.70
62,,Norway,25.55
63,,Oman,3.95
64,,Pakistan,2.06
65,,Panama,5.95
66,,Peru,4.10
67,,Philippines,2.85
68,,Poland,6.08
69,,Portugal,9.09
70,,Puerto Rico,10.00
71,,Qatar,8.98
72,,Romania,5.04
73,,Russia,12.54
74,,Saudi Arabia,4.00
75,,Serbia,6.55
76,,Singapore,7.94
77,,Slovakia,5.65
78,,Slovenia,9.09
79,,South Africa,7.95
80,,South Korea,6.14
81,,Spain,12.99
82,,Sri Lanka,1.58
83,,Sweden,12.84
84,,Switzerland,20.83
85,,Syria,4.25
86,,Taiwan,2.82
87,,Tanzania,3.13
88,,Thailand,2.02
89,,Trinidad And Tobago,6.34
90,,Tunisia,3.68
91,,Turkey,5.58
92,,Ukraine,6.22
93,,United Arab Emirates,8.17
94,,United Kingdom,15.15
95,,United States,10.00
96,,Uruguay,12.58
97,,Venezuela,13.98
98,,Vietnam,2.38
