,Rank,City,"Fitness Club, Monthly Fee for 1 Adult"
0,,Albania,33.43
1,,Algeria,21.89
2,,Argentina,42.15
3,,Armenia,55.72
4,,Australia,62.14
5,,Austria,45.35
6,,Azerbaijan,73.30
7,,Bahrain,70.73
8,,Bangladesh,21.06
9,,Belarus,39.52
10,,Belgium,50.69
11,,Bosnia And Herzegovina,29.55
12,,Brazil,54.69
13,,Bulgaria,30.11
14,,Cambodia,45.29
15,,Canada,46.69
16,,Chile,51.34
17,,China,36.12
18,,Colombia,49.69
19,,Costa Rica,44.10
20,,Croatia,48.16
21,,Cyprus,64.26
22,,Czech Republic,37.29
23,,Denmark,41.89
24,,Dominican Republic,42.79
25,,Ecuador,43.64
26,,Egypt,38.81
27,,Estonia,71.20
28,,Finland,71.09
29,,France,62.31
30,,Georgia,66.24
31,,Germany,40.80
32,,Greece,45.72
33,,Hong Kong,58.99
34,,Hungary,47.39
35,,Iceland,65.96
36,,India,21.43
37,,Indonesia,34.94
38,,Iran,27.16
39,,Iraq,37.79
40,,Ireland,59.14
41,,Israel,69.85
42,,Italy,65.38
43,,Jamaica,57.60
44,,Japan,78.04
45,,Jordan,65.43
46,,Kazakhstan,70.23
47,,Kenya,76.69
48,,Kuwait,130.28
49,,Latvia,54.54
50,,Lebanon,73.05
51,,Lithuania,59.54
52,,Luxembourg,-
53,,Macedonia,18.41
54,,Malaysia,43.84
55,,Malta,60.62
56,,Mexico,45.51
57,,Morocco,36.60
58,,Nepal,16.19
59,,Netherlands,40.46
60,,New Zealand,60.10
61,,Nigeria,62.98
62,,Norway,75.53
63,,Oman,60.30
64,,Pakistan,17.40
65,,Panama,77.50
66,,Peru,55.20
67,,Philippines,42.48
68,,Poland,39.09
69,,Portugal,52.90
70,,Puerto Rico,37.31
71,,Qatar,119.61
72,,Romania,36.02
73,,Russia,66.97
74,,Saudi Arabia,90.09
75,,Serbia,29.41
76,,Singapore,109.37
77,,Slovakia,34.73
78,,Slovenia,59.87
79,,South Africa,36.51
80,,South Korea,68.96
81,,Spain,56.23
82,,Sri Lanka,24.14
83,,Sweden,46.04
84,,Switzerland,111.34
85,,Taiwan,57.02
86,,Thailand,46.77
87,,Trinidad And Tobago,46.95
88,,Tunisia,25.75
89,,Turkey,53.23
90,,Ukraine,26.30
91,,United Arab Emirates,97.83
92,,United Kingdom,60.16
93,,United States,39.84
94,,Uruguay,67.18
95,,Venezuela,91.94
96,,Vietnam,35.85
