,Rank,City,"Cinema, International Release, 1 Seat"
0,,Albania,4.65
1,,Algeria,5.15
2,,Argentina,8.01
3,,Armenia,5.19
4,,Australia,13.59
5,,Austria,11.68
6,,Azerbaijan,4.11
7,,Bahamas,10.00
8,,Bahrain,7.94
9,,Bangladesh,5.33
10,,Belarus,4.00
11,,Belgium,12.55
12,,Belize,-
13,,Bolivia,6.50
14,,Bosnia And Herzegovina,4.19
15,,Brazil,8.06
16,,Bulgaria,7.17
17,,Cambodia,5.00
18,,Canada,10.61
19,,Chile,7.93
20,,China,7.79
21,,Colombia,4.17
22,,Costa Rica,5.48
23,,Croatia,5.53
24,,Cyprus,10.51
25,,Czech Republic,8.14
26,,Denmark,15.69
27,,Dominican Republic,6.06
28,,Ecuador,6.00
29,,Egypt,3.91
30,,El Salvador,5.00
31,,Estonia,8.82
32,,Fiji,4.85
33,,Finland,15.18
34,,France,11.68
35,,Georgia,5.67
36,,Germany,12.85
37,,Ghana,-
38,,Greece,9.34
39,,Guatemala,6.02
40,,Hong Kong,12.75
41,,Hungary,6.57
42,,Iceland,14.35
43,,India,3.72
44,,Indonesia,3.60
45,,Iran,3.24
46,,Iraq,8.38
47,,Ireland,12.26
48,,Israel,11.22
49,,Italy,9.34
50,,Jamaica,10.65
51,,Japan,16.50
52,,Jordan,11.28
53,,Kazakhstan,4.56
54,,Kenya,7.88
55,,Kosovo (Disputed Territory),3.50
56,,Kuwait,11.58
57,,Latvia,8.17
58,,Lebanon,10.00
59,,Lithuania,8.17
60,,Luxembourg,11.56
61,,Macedonia,4.74
62,,Malaysia,4.02
63,,Malta,9.34
64,,Mauritius,8.68
65,,Mexico,3.51
66,,Moldova,5.89
67,,Montenegro,5.08
68,,Morocco,6.32
69,,Namibia,5.30
70,,Nepal,3.71
71,,Netherlands,14.01
72,,New Zealand,11.19
73,,Nigeria,5.56
74,,Norway,15.88
75,,Oman,8.44
76,,Pakistan,5.19
77,,Panama,6.50
78,,Peru,5.50
79,,Philippines,4.75
80,,Poland,6.76
81,,Portugal,7.82
82,,Puerto Rico,7.50
83,,Qatar,10.99
84,,Romania,6.26
85,,Russia,5.61
86,,Saudi Arabia,17.60
87,,Serbia,4.45
88,,Singapore,8.96
89,,Slovakia,7.59
90,,Slovenia,7.01
91,,South Africa,6.30
92,,South Korea,9.30
93,,Spain,9.34
94,,Sri Lanka,4.11
95,,Sweden,14.73
96,,Switzerland,18.22
97,,Taiwan,10.05
98,,Tanzania,4.38
99,,Thailand,6.24
100,,Trinidad And Tobago,7.43
101,,Tunisia,3.91
102,,Turkey,4.42
103,,Uganda,5.30
104,,Ukraine,3.45
105,,United Arab Emirates,10.89
106,,United Kingdom,13.26
107,,United States,12.00
108,,Uruguay,9.65
109,,Uzbekistan,4.00
110,,Venezuela,2.00
111,,Vietnam,3.51
112,,Zimbabwe,8.00
