,Rank,City,1 Pair of Nike Running Shoes (Mid-Range)
0,,Albania,81.86
1,,Algeria,68.87
2,,Argentina,85.03
3,,Armenia,88.40
4,,Australia,90.85
5,,Austria,89.07
6,,Azerbaijan,92.11
7,,Bahrain,76.27
8,,Bangladesh,57.14
9,,Belarus,93.87
10,,Belgium,91.56
11,,Bolivia,67.48
12,,Bosnia And Herzegovina,68.35
13,,Brazil,59.62
14,,Bulgaria,76.03
15,,Cambodia,44.20
16,,Canada,76.05
17,,Chile,53.97
18,,China,80.30
19,,Colombia,67.11
20,,Costa Rica,94.22
21,,Croatia,90.55
22,,Cyprus,80.83
23,,Czech Republic,76.03
24,,Denmark,115.90
25,,Dominican Republic,82.15
26,,Ecuador,101.77
27,,Egypt,130.10
28,,Estonia,78.70
29,,Finland,91.38
30,,France,92.88
31,,Georgia,86.77
32,,Germany,91.07
33,,Ghana,39.85
34,,Greece,79.86
35,,Guatemala,93.42
36,,Hong Kong,88.61
37,,Hungary,74.79
38,,Iceland,136.83
39,,India,48.46
40,,Indonesia,69.48
41,,Iran,215.11
42,,Iraq,59.79
43,,Ireland,90.15
44,,Israel,117.25
45,,Italy,92.20
46,,Japan,77.12
47,,Jordan,103.05
48,,Kazakhstan,81.17
49,,Kenya,50.53
50,,Kosovo (Disputed Territory),46.59
51,,Kuwait,86.57
52,,Latvia,78.23
53,,Lebanon,161.11
54,,Lithuania,80.21
55,,Luxembourg,102.06
56,,Malaysia,66.79
57,,Malta,90.44
58,,Mauritius,76.44
59,,Mexico,65.05
60,,Moldova,76.34
61,,Montenegro,80.08
62,,Morocco,71.75
63,,Nepal,42.80
64,,Netherlands,98.92
65,,New Zealand,93.33
66,,Nigeria,58.80
67,,North Macedonia,76.76
68,,Norway,100.40
69,,Oman,75.95
70,,Pakistan,46.43
71,,Panama,73.15
72,,Peru,81.88
73,,Philippines,75.72
74,,Poland,74.91
75,,Portugal,74.57
76,,Puerto Rico,98.75
77,,Qatar,91.80
78,,Romania,68.77
79,,Russia,80.03
80,,Saudi Arabia,92.33
81,,Serbia,83.72
82,,Singapore,85.88
83,,Slovakia,72.19
84,,Slovenia,82.97
85,,South Africa,72.73
86,,South Korea,74.83
87,,Spain,80.69
88,,Sri Lanka,55.60
89,,Sweden,94.52
90,,Switzerland,116.59
91,,Syria,-
92,,Taiwan,89.33
93,,Tanzania,53.97
94,,Thailand,87.88
95,,Trinidad And Tobago,121.07
96,,Tunisia,90.15
97,,Turkey,66.65
98,,Uganda,46.40
99,,Ukraine,87.35
100,,United Arab Emirates,87.46
101,,United Kingdom,78.60
102,,United States,77.21
103,,Uruguay,80.83
104,,Uzbekistan,85.00
105,,Venezuela,75.38
106,,Vietnam,89.41
